decision_id,family,capacity,horizon,alt_policy,baseline_lru_all_tied,alt_all_tied,optimal_set_jaccard,kendall_tau_b,pairwise_concordant,pairwise_discordant,pairwise_a_tie_b_strict,pairwise_a_strict_b_tie,pairwise_both_tied,ccr_mean_over_LRU_optimal,ccr_best_case,ccr_worst_case,ccr_prob_still_optimal,ccr_n_LRU_optimal
twemcache|c32|t12050|h16,twemcache,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t12050|h16,twemcache,32,16,random_mean,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t13839|h16,twemcache,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t13839|h16,twemcache,32,16,random_mean,False,False,0.9354838709677419,0.5901818420974786,31,0,58,0,407,0.006451612903225784,0.0,0.09999999999999964,0.9354838709677419,31
twemcache|c32|t19015|h16,twemcache,32,16,mru,False,False,0.9032258064516129,0.47519096331149147,28,0,3,84,381,0.0,0.0,0.0,1.0,28
twemcache|c32|t19015|h16,twemcache,32,16,random_mean,False,False,0.9032258064516129,0.47519096331149147,28,0,3,84,381,0.0,0.0,0.0,1.0,28
twemcache|c32|t20414|h16,twemcache,32,16,mru,False,False,1.0,0.9887002022289872,87,0,2,0,407,0.0,0.0,0.0,1.0,29
twemcache|c32|t20414|h16,twemcache,32,16,random_mean,False,False,0.6551724137931034,0.5584155773160766,87,0,192,0,217,0.06896551724137906,0.0,0.1999999999999993,0.6551724137931034,29
twemcache|c32|t21398|h16,twemcache,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t21398|h16,twemcache,32,16,random_mean,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t21725|h16,twemcache,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t21725|h16,twemcache,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t26052|h16,twemcache,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t26052|h16,twemcache,32,16,random_mean,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t26614|h16,twemcache,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
twemcache|c32|t26614|h16,twemcache,32,16,random_mean,False,False,0.03225806451612903,0.7128791772183247,31,0,30,0,435,0.19354838709677522,0.0,0.20000000000000107,0.03225806451612903,31
twemcache|c32|t26844|h16,twemcache,32,16,mru,False,False,1.0,0.9999999999999998,87,0,0,0,409,0.0,0.0,0.0,1.0,29
twemcache|c32|t26844|h16,twemcache,32,16,random_mean,False,False,0.896551724137931,0.7196229171289243,87,0,81,0,328,0.031034482758620762,0.0,0.3000000000000007,0.896551724137931,29
twemcache|c32|t28397|h16,twemcache,32,16,mru,False,False,0.9666666666666667,0.8027729719194863,58,0,29,2,407,0.03333333333333333,0.0,1.0,0.9666666666666667,30
twemcache|c32|t28397|h16,twemcache,32,16,random_mean,False,False,0.7666666666666667,0.4958158260214506,59,0,177,1,259,0.059999999999999845,0.0,0.8999999999999986,0.7666666666666667,30
twemcache|c32|t29662|h16,twemcache,32,16,mru,False,False,1.0,0.9999999999999999,60,0,0,0,436,0.0,0.0,0.0,1.0,30
twemcache|c32|t29662|h16,twemcache,32,16,random_mean,False,False,0.7666666666666667,0.5198752449100363,60,0,162,0,274,0.09333333333333342,0.0,0.40000000000000036,0.7666666666666667,30
twemcache|c32|t30128|h16,twemcache,32,16,mru,False,False,1.0,0.9999999999999998,87,0,0,0,409,0.0,0.0,0.0,1.0,29
twemcache|c32|t30128|h16,twemcache,32,16,random_mean,False,False,0.27586206896551724,0.5818259196514108,87,0,170,0,239,0.1448275862068973,0.0,0.20000000000000107,0.27586206896551724,29
twemcache|c32|t32967|h16,twemcache,32,16,mru,True,False,0.96875,,0,0,31,0,465,0.03125,0.0,1.0,0.96875,32
twemcache|c32|t32967|h16,twemcache,32,16,random_mean,True,False,0.875,,0,0,115,0,381,0.037500000000000144,0.0,0.9000000000000004,0.875,32
twemcache|c32|t36689|h16,twemcache,32,16,mru,False,False,1.0,0.9887002022289872,87,0,2,0,407,0.0,0.0,0.0,1.0,29
twemcache|c32|t36689|h16,twemcache,32,16,random_mean,False,False,0.5517241379310345,0.5403205610790989,87,0,211,0,198,0.04482758620689639,0.0,0.09999999999999964,0.5517241379310345,29
twemcache|c32|t40348|h16,twemcache,32,16,mru,False,False,1.0,0.9999999999999998,87,0,0,0,409,0.0,0.0,0.0,1.0,29
twemcache|c32|t40348|h16,twemcache,32,16,random_mean,False,False,0.5172413793103449,0.5272146351966106,87,0,226,0,183,0.10344827586206866,0.0,0.40000000000000036,0.5172413793103449,29
twemcache|c32|t41435|h16,twemcache,32,16,mru,False,False,1.0,1.0,156,0,0,0,340,0.0,0.0,0.0,1.0,26
twemcache|c32|t41435|h16,twemcache,32,16,random_mean,False,False,0.4230769230769231,0.6704981158384709,156,0,191,0,149,0.061538461538461355,0.0,0.20000000000000018,0.4230769230769231,26
twemcache|c32|t43386|h16,twemcache,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t43386|h16,twemcache,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t46787|h16,twemcache,32,16,mru,False,False,1.0,0.9999999999999999,60,0,0,0,436,0.0,0.0,0.0,1.0,30
twemcache|c32|t46787|h16,twemcache,32,16,random_mean,False,False,0.7666666666666667,0.5198752449100363,60,0,162,0,274,0.02333333333333325,0.0,0.09999999999999964,0.7666666666666667,30
twemcache|c32|t47237|h16,twemcache,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t47237|h16,twemcache,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
twemcache|c32|t6522|h16,twemcache,32,16,mru,False,False,0.5806451612903226,0.2036532699906392,18,0,13,234,231,0.0,0.0,0.0,1.0,18
twemcache|c32|t6522|h16,twemcache,32,16,random_mean,False,False,1.0,0.9751632664464013,252,0,13,0,231,0.0,0.0,0.0,1.0,18
cloudphysics|c32|t12544|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t12544|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t17345|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t17345|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t17373|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t17373|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t18467|h16,cloudphysics,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
cloudphysics|c32|t18467|h16,cloudphysics,32,16,random_mean,False,False,0.5483870967741935,0.3394725845892895,31,0,238,0,227,0.04516129032258048,0.0,0.09999999999999964,0.5483870967741935,31
cloudphysics|c32|t20415|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t20415|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t21047|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t21047|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t21183|h16,cloudphysics,32,16,mru,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
cloudphysics|c32|t21183|h16,cloudphysics,32,16,random_mean,False,False,1.0,1.0,31,0,0,0,465,0.0,0.0,0.0,1.0,31
cloudphysics|c32|t240|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t240|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t24456|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t24456|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t2521|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t2521|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t30795|h16,cloudphysics,32,16,mru,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
cloudphysics|c32|t30795|h16,cloudphysics,32,16,random_mean,True,True,1.0,,0,0,0,0,496,0.0,0.0,0.0,1.0,32
