capacity,horizon,cell_count,decisions,candidate_rows,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density
32,16,5.0,204438.0,6542016.0,0.6617996654242362,0.3382003345757638,0.9765879508701905,0.023807951554994624,0.9765879508701905,0.3444907502519101,0.04282441375869454
32,32,5.0,204438.0,6542016.0,0.6393772194993103,0.3606227805006897,0.9647105723984778,0.036736382179438226,0.9647105723984778,0.3763537111495906,0.05555269891747289
32,64,5.0,204438.0,6542016.0,0.6383157729971923,0.3616842270028077,0.9608181942691671,0.04120472955125754,0.9608181942691671,0.3816169205333645,0.05753163905832792
32,128,5.0,204438.0,6542016.0,0.6383157729971923,0.3616842270028077,0.9606847491660063,0.041378987761570694,0.9606847491660063,0.3817881215820932,0.05758123410867681
64,16,5.0,199724.0,12782336.0,0.6267699425206785,0.37323005747932136,0.9854881768089964,0.014670010239129942,0.9854881768089964,0.37695019126394425,0.027732946565466668
64,32,5.0,199724.0,12782336.0,0.5906450902245098,0.40935490977549016,0.9774696894214016,0.023168065680639244,0.9774696894214016,0.4182221465622559,0.04106967217935353
64,64,5.0,199724.0,12782336.0,0.5709378942941259,0.4290621057058741,0.9657170645490777,0.03679358765095828,0.9657170645490777,0.44922993731349264,0.05421035592609861
64,128,5.0,199724.0,12782336.0,0.5699415192966294,0.43005848070337066,0.9602650876960205,0.043247102876970166,0.9602650876960205,0.45651999759668344,0.05705976181654488
128,16,5.0,194226.0,24860928.0,0.6033898654145171,0.3966101345854829,0.9913493575139269,0.008696819362495195,0.9913493575139269,0.39830403756448673,0.016839975455575647
128,32,5.0,194226.0,24860928.0,0.5585451999217407,0.4414548000782593,0.9859421981351619,0.014230120452462558,0.9859421981351619,0.4453368755985295,0.026678470230839888
128,64,5.0,194226.0,24860928.0,0.5194567153728131,0.4805432846271869,0.977720743167753,0.022946327667253578,0.977720743167753,0.48924448837951656,0.0402223213960666
128,128,5.0,194226.0,24860928.0,0.5001853510858484,0.49981464891415156,0.9656600509844202,0.036569793372154054,0.9656600509844202,0.5187925406485229,0.05472947650237147
256,16,5.0,189374.0,48479744.0,0.5818380559105263,0.4181619440894737,0.9951313274261514,0.004881152012683876,0.9951313274261514,0.41880617191377906,0.009594465987732092
256,32,5.0,189374.0,48479744.0,0.5296608826977304,0.47033911730226957,0.991831743170921,0.008214647338071722,0.991831743170921,0.4718440757442944,0.01587829454920304
256,64,5.0,189374.0,48479744.0,0.48529365171565264,0.5147063482843474,0.9865299618743861,0.013651846016348567,0.9865299618743861,0.5182073568705312,0.025566847457112015
256,128,5.0,189374.0,48479744.0,0.45724333857868554,0.5427566614213144,0.9783862720067169,0.02236270059511864,0.9783862720067169,0.5509520842354283,0.03934783752562876
