pair,tied_to_tied,tied_to_discriminative,discriminative_to_tied,discriminative_to_discriminative,info_increase,info_decrease,info_unchanged,n_decisions,mean_delta_expected_random_regret,mean_delta_optimal_set_fraction,mean_delta_loss_range
H16_to_H128,428066.0,59791.0,0.0,299905.0,270678.0,0.0,517084.0,787762.0,0.022879912690952308,-0.020881286955958752,0.09132707594425724
H16_to_H32,457467.0,30390.0,0.0,299905.0,184819.0,0.0,602943.0,787762.0,0.007675308540206272,-0.00724170280014772,0.043079001018073944
H32_to_H64,437320.0,20147.0,0.0,330295.0,171216.0,0.0,616546.0,787762.0,0.008070231713385476,-0.007291378733361052,0.031198509194401317
H64_to_H128,428066.0,9254.0,0.0,350442.0,138601.0,0.0,649161.0,787762.0,0.007134372437360488,-0.006348205422449898,0.017049565731781898
