trace_family,trace_name,capacity,n_decisions,h16_to_h128_info_increase,h16_to_h128_info_decrease,h16_to_h128_info_unchanged,adjacent_all_nondecreasing,adjacent_all_nonincreasing,adjacent_mixed,reader_family
cloudphysics,cloudphysics_alibaba_block_head_50k,32,49241,2939,0,46302,49241,0,0,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,64,48511,13078,0,35433,48511,0,0,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,128,47620,28211,0,19409,47620,0,0,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,256,46701,37549,0,9152,46701,0,0,alibaba-block
metacdn,metacdn_cdn_202303_head_50k,32,29348,9368,0,19980,29348,0,0,metacdn
metacdn,metacdn_cdn_202303_head_50k,64,28552,19771,0,8781,28552,0,0,metacdn
metacdn,metacdn_cdn_202303_head_50k,128,27683,26148,0,1535,27683,0,0,metacdn
metacdn,metacdn_cdn_202303_head_50k,256,26737,26514,0,223,26737,0,0,metacdn
metakv,metakv_kvcache_202206_head_50k,32,38032,224,0,37808,38032,0,0,metakv
metakv,metakv_kvcache_202206_head_50k,64,37977,824,0,37153,37977,0,0,metakv
metakv,metakv_kvcache_202206_head_50k,128,37856,1900,0,35956,37856,0,0,metakv
metakv,metakv_kvcache_202206_head_50k,256,37486,3042,0,34444,37486,0,0,metakv
twemcache,twemcache_cluster26_sample100_50k,32,37849,16509,0,21340,37849,0,0,twemcache
twemcache,twemcache_cluster26_sample100_50k,64,34748,27905,0,6843,34748,0,0,twemcache
twemcache,twemcache_cluster26_sample100_50k,128,31195,28988,0,2207,31195,0,0,twemcache
twemcache,twemcache_cluster26_sample100_50k,256,28706,27708,0,998,28706,0,0,twemcache
wiki2018,wiki2018_pageviews_en_50k,32,49968,0,0,49968,49968,0,0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,64,49936,0,0,49936,49936,0,0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,128,49872,0,0,49872,49872,0,0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,256,49744,0,0,49744,49744,0,0,wiki2018
