trace_family,trace_name,capacity,horizon,n_decisions,min_decision_t,max_decision_t,all_tied_count,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density
metakv,metakv_kvcache_202206_head_50k,64,128,37977,101,49999,32076,0.8446164783948179,0.1553835216051821,0.99724010585354295,0.0027598941464570662,0.99724010585354295,0.1553835216051821,0.0054937700387577941
metakv,metakv_kvcache_202206_head_50k,128,16,37856,192,49999,32401,0.85590131022823335,0.14409868977176671,0.99871139977810652,0.0012886002218934912,0.99871139977810652,0.14409868977176671,0.0025711684684939532
metakv,metakv_kvcache_202206_head_50k,128,32,37856,192,49999,31939,0.84369716821639895,0.15630283178360102,0.99851864631762466,0.001481353682375317,0.99851864631762466,0.15630283178360102,0.0029502599157353853
metakv,metakv_kvcache_202206_head_50k,128,64,37856,192,49999,31358,0.82834953508030429,0.17165046491969568,0.99820867233727806,0.0017913276627218935,0.99820867233727806,0.17165046491969568,0.0035477569683874575
metakv,metakv_kvcache_202206_head_50k,128,128,37856,192,49999,30984,0.81846999154691458,0.18153000845308537,0.9978596936416948,0.0021403063583051562,0.9978596936416948,0.18153000845308537,0.0041791546321826266
metakv,metakv_kvcache_202206_head_50k,256,16,37486,430,49999,31220,0.83284426185776028,0.16715573814223977,0.99911810826041725,0.00088220435629301607,0.99911810826041725,0.16723576802006082,0.0017577697961487322
metakv,metakv_kvcache_202206_head_50k,256,32,37486,430,49999,30641,0.81739849543829701,0.18260150456170304,0.99876766492823987,0.0012326476884703622,0.99876766492823987,0.18268153443952409,0.0024412365583804884
metakv,metakv_kvcache_202206_head_50k,256,64,37486,430,49999,30058,0.80184602251507231,0.19815397748492772,0.99805562826788663,0.0019448927599637197,0.99805562826788663,0.19828736061462945,0.003782902479670842
metakv,metakv_kvcache_202206_head_50k,256,128,37486,430,49999,29720,0.79282932294723363,0.20717067705276637,0.99660612878808086,0.0033954342954703089,0.99660612878808086,0.20757082644187164,0.0062724479230415959
twemcache,twemcache_cluster26_sample100_50k,32,16,37849,40,49999,9186,0.24270126027107716,0.75729873972892281,0.93473407487648286,0.066964285714285712,0.93473407487648286,0.78181722106264362,0.11620651544891032
twemcache,twemcache_cluster26_sample100_50k,32,32,37849,40,49999,6743,0.17815530132896509,0.82184469867103493,0.89317336653544344,0.11315523527702186,0.89317336653544344,0.88242754101825671,0.15994446096926751
twemcache,twemcache_cluster26_sample100_50k,32,64,37849,40,49999,6576,0.17374303151998732,0.82625696848001273,0.88127163201141379,0.12728622288567729,0.88127163201141379,0.89981241248117516,0.16475943456127448
twemcache,twemcache_cluster26_sample100_50k,32,128,37849,40,49999,6576,0.17374303151998732,0.82625696848001273,0.88072918042748816,0.12803508679225342,0.88072918042748816,0.90057861502285397,0.16493505815553997
twemcache,twemcache_cluster26_sample100_50k,64,16,34748,74,49999,5016,0.1443536318637044,0.85564636813629558,0.95549653936917234,0.045000791412455395,0.95549653936917234,0.86799240244042819,0.083743143376071902
twemcache,twemcache_cluster26_sample100_50k,64,32,34748,74,49999,2917,0.083947277541153442,0.9160527224588465,0.92643956126971339,0.075391029699551054,0.92643956126971339,0.94419822723609992,0.13100264363736364
twemcache,twemcache_cluster26_sample100_50k,64,64,34748,74,49999,2026,0.058305513986416486,0.94169448601358352,0.88561976588580638,0.12099347444457235,0.88561976588580638,1.007050765511684,0.17736692279651586
twemcache,twemcache_cluster26_sample100_50k,64,128,34748,74,49999,1873,0.053902382870956604,0.94609761712904339,0.86548326522389774,0.14494629187291355,0.86548326522389774,1.0343904685161736,0.18692155800676433
twemcache,twemcache_cluster26_sample100_50k,128,16,31195,202,49997,3174,0.10174707485173906,0.89825292514826094,0.97135032657477161,0.02891514064753967,0.97135032657477161,0.90748517390607464,0.055161722426746662
twemcache,twemcache_cluster26_sample100_50k,128,32,31195,202,49997,1590,0.050969706683763424,0.94903029331623656,0.95016779531976281,0.050821946626061869,0.95016779531976281,0.96957845808623178,0.092662432337607098
twemcache,twemcache_cluster26_sample100_50k,128,64,31195,202,49997,919,0.029459849334829299,0.97054015066517074,0.91724935887161407,0.086535803013303408,0.91724935887161407,1.0151947427472352,0.14427689978456573
twemcache,twemcache_cluster26_sample100_50k,128,128,31195,202,49997,584,0.01872094887001122,0.98127905112998881,0.86616920780573814,0.14670119410161886,0.86616920780573814,1.0766148421221349,0.20302323427815633
twemcache,twemcache_cluster26_sample100_50k,256,16,28706,455,49997,2415,0.084128753570682085,0.91587124642931794,0.98382837538319512,0.016220884788894309,0.98382837538319512,0.91834459694837312,0.031668211443464031
twemcache,twemcache_cluster26_sample100_50k,256,32,28706,455,49997,1191,0.041489584059081722,0.95851041594091824,0.9714212076743538,0.028741405324670802,0.9714212076743538,0.96373580436145756,0.054901009840465136
twemcache,twemcache_cluster26_sample100_50k,256,64,28706,455,49997,619,0.021563436215425346,0.97843656378457466,0.95167781234759286,0.048930455523235564,0.95167781234759286,0.98934020762209995,0.089863491423532421
twemcache,twemcache_cluster26_sample100_50k,256,128,28706,455,49997,265,0.009231519542952692,0.99076848045704735,0.92150064990768477,0.081027267818574514,0.92150064990768477,1.016094196335261,0.13925989609161438
wiki2018,wiki2018_pageviews_en_50k,32,16,49968,32,49999,49968,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,32,32,49968,32,49999,49968,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,32,64,49968,32,49999,49968,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,32,128,49968,32,49999,49968,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,64,16,49936,64,49999,49936,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,64,32,49936,64,49999,49936,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,64,64,49936,64,49999,49936,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,64,128,49936,64,49999,49936,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,128,16,49872,128,49999,49872,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,128,32,49872,128,49999,49872,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,128,64,49872,128,49999,49872,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,128,128,49872,128,49999,49872,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,256,16,49744,256,49999,49744,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,256,32,49744,256,49999,49744,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,256,64,49744,256,49999,49744,1,0,1,0,1,0,0
wiki2018,wiki2018_pageviews_en_50k,256,128,49744,256,49999,49744,1,0,1,0,1,0,0
