trace_family,trace_name,capacity,horizon,n_decisions,min_decision_t,max_decision_t,all_tied_count,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density
cloudphysics,cloudphysics_alibaba_block_head_50k,32,16,49241,32,49999,42818,0.86955991957921241,0.13044008042078756,0.99205628947421864,0.0079716344103490985,0.99205628947421864,0.13133364472695519,0.014065776552584361
cloudphysics,cloudphysics_alibaba_block_head_50k,32,32,49241,32,49999,41162,0.83592940841981278,0.16407059158018725,0.98443814605714752,0.015795399159237222,0.98443814605714752,0.16839625515322598,0.020275114954689609
cloudphysics,cloudphysics_alibaba_block_head_50k,32,64,49241,32,49999,41162,0.83592940841981278,0.16407059158018725,0.98441402997502081,0.015820149875104082,0.98441402997502081,0.16841656343291159,0.020283467553592567
cloudphysics,cloudphysics_alibaba_block_head_50k,32,128,49241,32,49999,41162,0.83592940841981278,0.16407059158018725,0.98441402997502081,0.015820149875104082,0.98441402997502081,0.16841656343291159,0.020283467553592567
cloudphysics,cloudphysics_alibaba_block_head_50k,64,16,48511,73,49999,37186,0.76654779328399747,0.23345220671600256,0.99338165570695303,0.0068421981612417802,0.99338165570695303,0.23716270536579331,0.012751536388572319
cloudphysics,cloudphysics_alibaba_block_head_50k,64,32,48511,73,49999,32662,0.67329059388592283,0.32670940611407723,0.9871668925604502,0.013947545402073757,0.9871668925604502,0.33627424707798231,0.023084786366567821
cloudphysics,cloudphysics_alibaba_block_head_50k,64,64,48511,73,49999,29950,0.61738574756240849,0.38261425243759145,0.9760418384490116,0.028997933458390881,0.9760418384490116,0.40479478881078518,0.032234077658053667
cloudphysics,cloudphysics_alibaba_block_head_50k,64,128,48511,73,49999,29946,0.61730329203685763,0.38269670796314237,0.9754256766506566,0.030236698893034569,0.9754256766506566,0.40609346333821195,0.032298322210017494
cloudphysics,cloudphysics_alibaba_block_head_50k,128,16,47620,149,49999,31512,0.66173876522469555,0.33826123477530451,0.99517124501259979,0.0048371220075598487,0.99517124501259979,0.33872322553548928,0.0095040823100860823
cloudphysics,cloudphysics_alibaba_block_head_50k,128,32,47620,149,49999,25067,0.52639647207055862,0.47360352792944144,0.99084516747165052,0.0091919099118017641,0.99084516747165052,0.47498950020999581,0.01769765441305347
cloudphysics,cloudphysics_alibaba_block_head_50k,128,64,47620,149,49999,18743,0.39359512809743807,0.60640487190256198,0.98399553102687942,0.016190019949601009,0.98399553102687942,0.61060478790424189,0.029572653379609574
cloudphysics,cloudphysics_alibaba_block_head_50k,128,128,47620,149,49999,15709,0.32988240235195299,0.67011759764804701,0.97478311371272575,0.025699876627467449,0.97478311371272575,0.68047039059218817,0.039199560496979036
cloudphysics,cloudphysics_alibaba_block_head_50k,256,16,46701,277,49999,26628,0.57018051005331793,0.42981948994668207,0.99675503803451748,0.003263530893342755,0.99675503803451748,0.4306760026551894,0.0064317806521336611
cloudphysics,cloudphysics_alibaba_block_head_50k,256,32,46701,277,49999,18714,0.40071947067514613,0.59928052932485387,0.9936677446682084,0.0064169865206312494,0.9936677446682084,0.60178582899723776,0.012431584604142079
cloudphysics,cloudphysics_alibaba_block_head_50k,256,64,46701,277,49999,11481,0.24584056015931136,0.75415943984068867,0.98841917865784457,0.011935303847883343,0.98841917865784457,0.76077600051390759,0.022324043975419764
cloudphysics,cloudphysics_alibaba_block_head_50k,256,128,46701,277,49999,6861,0.14691334232671677,0.85308665767328318,0.98021346906383156,0.021244275417014624,0.98021346906383156,0.86876084023896705,0.036234991871526449
metacdn,metacdn_cdn_202303_head_50k,32,16,29348,44,49996,357,0.012164372359274908,0.98783562764072508,0.9404484547498978,0.060070106991958569,0.9404484547498978,0.99846667575303261,0.11290748504047098
metacdn,metacdn_cdn_202303_head_50k,32,32,29348,44,49996,25,0.00085184680387079183,0.99914815319612926,0.92462752998500752,0.076884498091863165,0.92462752998500752,1.0230680114488211,0.1340571924448333
metacdn,metacdn_cdn_202303_head_50k,32,64,29348,44,49996,1,3.4073872154831676e-05,0.99996592612784518,0.91343426298214525,0.089191554790786429,0.91343426298214525,1.0360501567398119,0.14141069128192504
metacdn,metacdn_cdn_202303_head_50k,32,128,29348,44,49996,1,3.4073872154831676e-05,0.99996592612784518,0.91320426434510016,0.089439655172413798,0.91320426434510016,1.0362545999727408,0.14152967504517538
metacdn,metacdn_cdn_202303_head_50k,64,16,28552,91,49996,292,0.010226954328943681,0.98977304567105628,0.96705627013869433,0.033064671476604093,0.96705627013869433,0.99446623704118797,0.064109775202693398
metacdn,metacdn_cdn_202303_head_50k,64,32,28552,91,49996,18,0.00063042869151022694,0.9993695713084898,0.95711990403474367,0.043219936431773603,0.95711990403474367,1.0108924068366489,0.081870237733881274
metacdn,metacdn_cdn_202303_head_50k,64,64,28552,91,49996,0,0,1,0.94373588102409633,0.057215234484449429,0.94373588102409633,1.0238512188288036,0.10133454985501253
metacdn,metacdn_cdn_202303_head_50k,64,128,28552,91,49996,0,0,1,0.93118203190669657,0.071072626260857377,0.93118203190669657,1.0378957691230037,0.10947018625443081
metacdn,metacdn_cdn_202303_head_50k,128,16,27683,194,49996,235,0.0084889643463497456,0.99151103565365029,0.98165926516273527,0.018351176714951414,0.98165926516273527,0.99219737745186576,0.036125874673361889
metacdn,metacdn_cdn_202303_head_50k,128,32,27683,194,49996,16,0.00057797204060253582,0.9994220279593975,0.97529733952245057,0.024732575046057147,0.97529733952245057,1.0011198208286674,0.048282362452182911
metacdn,metacdn_cdn_202303_head_50k,128,64,27683,194,49996,0,0,1,0.96691618050789296,0.033179489668749777,0.96691618050789296,1.0035039554961529,0.063900193799827684
metacdn,metacdn_cdn_202303_head_50k,128,128,27683,194,49996,0,0,1,0.95618221245890977,0.044128503955496154,0.95618221245890977,1.0079109923057472,0.08206077235922668
metacdn,metacdn_cdn_202303_head_50k,256,16,26737,402,49996,178,0.0066574409993641771,0.99334255900063584,0.98978285592063431,0.010219773862063807,0.98978285592063431,0.99364176983206787,0.02025703622137788
metacdn,metacdn_cdn_202303_head_50k,256,32,26737,402,49996,14,0.00052361895500617126,0.99947638104499381,0.98561713402775175,0.014388417735722032,0.98561713402775175,1.000037401353929,0.02838269578692082
metacdn,metacdn_cdn_202303_head_50k,256,64,26737,402,49996,0,0,1,0.9794286709428881,0.020586085060029173,0.9794286709428881,1.0013464487414445,0.040307952481213154
metacdn,metacdn_cdn_202303_head_50k,256,128,26737,402,49996,0,0,1,0.97051268490294351,0.029529683818304224,0.97051268490294351,1.0029173056064629,0.057094044512744691
metakv,metakv_kvcache_202206_head_50k,32,16,38032,56,49999,32968,0.86684896928901978,0.13315103071098022,0.99534109434160711,0.0046605490113588556,0.99534109434160711,0.13320361800588978,0.0092136969546867155
metakv,metakv_kvcache_202206_head_50k,32,32,38032,56,49999,32815,0.8628260412284392,0.1371739587715608,0.9949277910706773,0.0050828907236011777,0.9949277910706773,0.13738430795119899,0.0097461963270319054
metakv,metakv_kvcache_202206_head_50k,32,64,38032,56,49999,32789,0.86214240639461504,0.13785759360538494,0.99451777450567946,0.0055101624947412704,0.99451777450567946,0.13833087925957088,0.0099067678152184244
metakv,metakv_kvcache_202206_head_50k,32,128,38032,56,49999,32789,0.86214240639461504,0.13785759360538494,0.99451777450567946,0.0055101624947412704,0.99451777450567946,0.13833087925957088,0.0099067678152184244
metakv,metakv_kvcache_202206_head_50k,64,16,37977,101,49999,32751,0.86239039418595465,0.13760960581404535,0.9976227387629355,0.0023772612370645389,0.9976227387629355,0.13760960581404535,0.0047390839317531788
metakv,metakv_kvcache_202206_head_50k,64,32,37977,101,49999,32433,0.8540169049687969,0.1459830950312031,0.99744829107091137,0.0025517089290886591,0.99744829107091137,0.1459830950312031,0.0050845049906982128
metakv,metakv_kvcache_202206_head_50k,64,64,37977,101,49999,32118,0.8457224109329331,0.1542775890670669,0.99726273468151772,0.0027372653184822393,0.99726273468151772,0.1542775890670669,0.0054494005561427951
