reader_family,trace_family,horizon,cell_count,decisions,candidate_rows,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density
alibaba-block,cloudphysics,16,4.0,192073.0,22731232.0,0.7192265440743884,0.2807734559256116,0.994305774204339,0.005764511572422914,0.994305774204339,0.28226247312219827,0.010746735214285305
alibaba-block,cloudphysics,32,4.0,192073.0,22731232.0,0.6122932426733586,0.38770675732664145,0.9889599063572183,0.011411229389346711,0.9889599063572183,0.39218422162407,0.01843862876437646
alibaba-block,cloudphysics,64,4.0,192073.0,22731232.0,0.527591072144445,0.4724089278555548,0.9831695663888209,0.0182955341198398,0.9831695663888209,0.48177515840331525,0.0261009642100106
alibaba-block,cloudphysics,128,4.0,192073.0,22731232.0,0.48772081448199384,0.5122791855180061,0.978734790125369,0.023229550906426144,0.978734790125369,0.5256803402872865,0.031886290945603475
metacdn,metacdn,16,4.0,112320.0,13154560.0,0.009455128205128152,0.9905448717948717,0.9691129765958868,0.03105646117120722,0.9691129765958868,0.9947560541310542,0.05952418214555459
metacdn,metacdn,32,4.0,112320.0,13154560.0,0.0006499287749287182,0.9993500712250712,0.9598936771055911,0.04059648214921648,0.9598936771055911,1.0090811965811965,0.07449553319682536
metacdn,metacdn,64,4.0,112320.0,13154560.0,8.903133903133906e-06,0.9999910968660969,0.9500279614049145,0.05092700403979696,0.9500279614049145,1.0166666666666666,0.08805277622554375
metacdn,metacdn,128,4.0,112320.0,13154560.0,8.903133903133906e-06,0.9999910968660969,0.9420087069867341,0.05934192624866446,0.9420087069867341,1.021750356125356,0.09862373121901742
metakv,metakv,16,4.0,151351.0,18089536.0,0.8545698409657022,0.1454301590342977,0.9976920628621548,0.00230842751286739,0.9976920628621548,0.14546319482527367,0.004582840055094233
metakv,metakv,32,4.0,151351.0,18089536.0,0.844579817774577,0.15542018222542303,0.9974094261848284,0.002593335400823198,0.9974094261848284,0.15549286096557005,0.005067418237996089
metakv,metakv,64,4.0,151351.0,18089536.0,0.834636044690818,0.16536395530918194,0.9970059507783232,0.003001198373317597,0.9970059507783232,0.16551591994767123,0.0056810714737083375
metakv,metakv,128,4.0,151351.0,18089536.0,0.8296542474116457,0.1703457525883542,0.9965539798630336,0.003453427380724226,0.9965539798630336,0.1705637888087954,0.006466730704847179
twemcache,twemcache,16,4.0,132498.0,14776736.0,0.1493682923515826,0.8506317076484173,0.9594363275766427,0.041252421027109805,0.9594363275766427,0.8635828465335326,0.07500524353617406
twemcache,twemcache,32,4.0,132498.0,14776736.0,0.09389575691708549,0.9061042430829144,0.9322687299996981,0.07028741117790453,0.9322687299996981,0.9367613096046733,0.11375576031026097
twemcache,twemcache,64,4.0,132498.0,14776736.0,0.0765294570484082,0.9234705429515918,0.9061361126677383,0.09906579368179137,0.9061361126677383,0.9744977282675965,0.14701704890357933
twemcache,twemcache,128,4.0,132498.0,14776736.0,0.07017464414557198,0.9298253558544279,0.8821361631401984,0.12668044989358324,0.8821361631401984,1.0021434285800541,0.17410588600779667
wiki2018,wiki2018,16,4.0,199520.0,23912960.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
wiki2018,wiki2018,32,4.0,199520.0,23912960.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
wiki2018,wiki2018,64,4.0,199520.0,23912960.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
wiki2018,wiki2018,128,4.0,199520.0,23912960.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
