trace_family,trace_name,capacity,pair,n_decisions,tied_to_tied,tied_to_discriminative,discriminative_to_tied,discriminative_to_discriminative,info_increase,info_decrease,info_unchanged,mean_delta_expected_random_regret,mean_delta_optimal_set_fraction,mean_delta_loss_range
twemcache,twemcache_cluster26_sample100_50k,256,H16_to_H32,28706,1191,1224,0,26291,22641,0,6065,0.012520520535776493,-0.012407167708841357,0.045391207413084375
twemcache,twemcache_cluster26_sample100_50k,256,H32_to_H64,28706,619,572,0,27515,22768,0,5938,0.020189050198564758,-0.019743395326760955,0.025604403260642374
twemcache,twemcache_cluster26_sample100_50k,256,H64_to_H128,28706,265,354,0,28087,23679,0,5027,0.03209681229533895,-0.030177162439908034,0.026753988713161012
twemcache,twemcache_cluster26_sample100_50k,256,H16_to_H128,28706,265,2150,0,26291,27708,0,998,0.064806383029680212,-0.062327725475510347,0.097749599386887764
wiki2018,wiki2018_pageviews_en_50k,32,H16_to_H32,49968,49968,0,0,0,0,0,49968,0,0,0
wiki2018,wiki2018_pageviews_en_50k,32,H32_to_H64,49968,49968,0,0,0,0,0,49968,0,0,0
wiki2018,wiki2018_pageviews_en_50k,32,H64_to_H128,49968,49968,0,0,0,0,0,49968,0,0,0
wiki2018,wiki2018_pageviews_en_50k,32,H16_to_H128,49968,49968,0,0,0,0,0,49968,0,0,0
wiki2018,wiki2018_pageviews_en_50k,64,H16_to_H32,49936,49936,0,0,0,0,0,49936,0,0,0
wiki2018,wiki2018_pageviews_en_50k,64,H32_to_H64,49936,49936,0,0,0,0,0,49936,0,0,0
wiki2018,wiki2018_pageviews_en_50k,64,H64_to_H128,49936,49936,0,0,0,0,0,49936,0,0,0
wiki2018,wiki2018_pageviews_en_50k,64,H16_to_H128,49936,49936,0,0,0,0,0,49936,0,0,0
wiki2018,wiki2018_pageviews_en_50k,128,H16_to_H32,49872,49872,0,0,0,0,0,49872,0,0,0
wiki2018,wiki2018_pageviews_en_50k,128,H32_to_H64,49872,49872,0,0,0,0,0,49872,0,0,0
wiki2018,wiki2018_pageviews_en_50k,128,H64_to_H128,49872,49872,0,0,0,0,0,49872,0,0,0
wiki2018,wiki2018_pageviews_en_50k,128,H16_to_H128,49872,49872,0,0,0,0,0,49872,0,0,0
wiki2018,wiki2018_pageviews_en_50k,256,H16_to_H32,49744,49744,0,0,0,0,0,49744,0,0,0
wiki2018,wiki2018_pageviews_en_50k,256,H32_to_H64,49744,49744,0,0,0,0,0,49744,0,0,0
wiki2018,wiki2018_pageviews_en_50k,256,H64_to_H128,49744,49744,0,0,0,0,0,49744,0,0,0
wiki2018,wiki2018_pageviews_en_50k,256,H16_to_H128,49744,49744,0,0,0,0,0,49744,0,0,0
