trace_family,trace_name,capacity,pair,n_decisions,tied_to_tied,tied_to_discriminative,discriminative_to_tied,discriminative_to_discriminative,info_increase,info_decrease,info_unchanged,mean_delta_expected_random_regret,mean_delta_optimal_set_fraction,mean_delta_loss_range
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H16_to_H32,49241,41162,1656,0,6423,2933,0,46308,0.0078237647488881221,-0.0076181434170711397,0.037062610426270792
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H32_to_H64,49241,41162,0,0,8079,9,0,49232,2.475071586685892e-05,-2.4116082126683049e-05,2.030827968562783e-05
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H64_to_H128,49241,41162,0,0,8079,0,0,49241,0,0,0
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H16_to_H128,49241,41162,1656,0,6423,2939,0,46302,0.0078485154647549814,-0.007642259499197823,0.037082918705956418
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H16_to_H32,48511,32662,4524,0,11325,8951,0,39560,0.0071053472408319765,-0.0062147631465028549,0.099111541712188986
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H32_to_H64,48511,29950,2712,0,15849,6647,0,41864,0.015050388056317124,-0.011125054111438644,0.068520541732802864
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H64_to_H128,48511,29946,4,0,18561,80,0,48431,0.0012387654346436891,-0.00061616179835501225,0.0012986745274267692
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H16_to_H128,48511,29946,7240,0,11325,13078,0,35433,0.023394500731792788,-0.01795597905629651,0.16893075797241863
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H16_to_H32,47620,25067,6445,0,16108,14431,0,33189,0.0043547879042419154,-0.0043260775409491806,0.1362662746745065
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H32_to_H64,47620,18743,6324,0,22553,16759,0,30861,0.0069981100377992439,-0.0068496364447711046,0.13561528769424611
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H64_to_H128,47620,15709,3034,0,28877,12134,0,35486,0.0095098566778664424,-0.0092124173141537175,0.069865602687946241
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H16_to_H128,47620,15709,15803,0,16108,28211,0,19409,0.020862754619907602,-0.020388131299874001,0.34174716505669889
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H16_to_H32,46701,18714,7914,0,20073,18760,0,27941,0.0031534556272884949,-0.0030872933663090726,0.17110982634204835
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H32_to_H64,46701,11481,7233,0,27987,23697,0,23004,0.0055183173272520935,-0.0052485660103638041,0.15899017151666989
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H64_to_H128,46701,6861,4620,0,35220,25019,0,21682,0.0093089715691312813,-0.0082057095940129762,0.10798483972505941
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H16_to_H128,46701,6861,19767,0,20073,37549,0,9152,0.01798074452367187,-0.016541568970685854,0.43808483758377764
metacdn,metacdn_cdn_202303_head_50k,32,H16_to_H32,29348,25,332,0,28991,7558,0,21790,0.016814391099904593,-0.015820924764890283,0.02460133569578847
metacdn,metacdn_cdn_202303_head_50k,32,H32_to_H64,29348,1,24,0,29323,2562,0,26786,0.012307056698923265,-0.011193267002862205,0.012982145290990869
metacdn,metacdn_cdn_202303_head_50k,32,H64_to_H128,29348,1,0,0,29347,49,0,29299,0.00024810038162736812,-0.00022999863704511382,0.00020444323292899004
metacdn,metacdn_cdn_202303_head_50k,32,H16_to_H128,29348,1,356,0,28991,9368,0,19980,0.029369548180455226,-0.0272441904047976,0.037787924219708328
metacdn,metacdn_cdn_202303_head_50k,64,H16_to_H32,28552,18,274,0,28260,11893,0,16659,0.010155264955169515,-0.0099363661039506869,0.016426169795460913
metacdn,metacdn_cdn_202303_head_50k,64,H32_to_H64,28552,0,18,0,28534,11223,0,17329,0.01399529805267582,-0.01338402301064724,0.012958811992154665
metacdn,metacdn_cdn_202303_head_50k,64,H64_to_H128,28552,0,0,0,28552,4520,0,24032,0.013857391776407957,-0.012553849117399832,0.014044550294200056
metacdn,metacdn_cdn_202303_head_50k,64,H16_to_H128,28552,0,292,0,28260,19771,0,8781,0.038007954784253291,-0.035874238231997757,0.043429532081815637
metacdn,metacdn_cdn_202303_head_50k,128,H16_to_H32,27683,16,219,0,27448,15304,0,12379,0.006381398331105733,-0.0063619256402846509,0.0089224433768016476
metacdn,metacdn_cdn_202303_head_50k,128,H32_to_H64,27683,0,16,0,27667,17647,0,10036,0.0084469146226926264,-0.0083811590145576702,0.0023841346674854606
metacdn,metacdn_cdn_202303_head_50k,128,H64_to_H128,27683,0,0,0,27683,18519,0,9164,0.010949014286746378,-0.01073396804898313,0.0044070368095943356
metacdn,metacdn_cdn_202303_head_50k,128,H16_to_H128,27683,0,235,0,27448,26148,0,1535,0.02577732724054474,-0.025477052703825453,0.015713614853881442
metacdn,metacdn_cdn_202303_head_50k,256,H16_to_H32,26737,14,164,0,26559,17641,0,9096,0.0041686438736582261,-0.0041657218928825221,0.0063956315218610914
metacdn,metacdn_cdn_202303_head_50k,256,H32_to_H64,26737,0,14,0,26723,21277,0,5460,0.0061976673243071398,-0.0061884630848636725,0.001309047387515428
metacdn,metacdn_cdn_202303_head_50k,256,H64_to_H128,26737,0,0,0,26737,23810,0,2927,0.0089435987582750492,-0.0089159860399446456,0.0015708568650185137
metacdn,metacdn_cdn_202303_head_50k,256,H16_to_H128,26737,0,178,0,26559,26514,0,223,0.019309909956240417,-0.019270171017690841,0.0092755357743950339
metakv,metakv_kvcache_202206_head_50k,32,H16_to_H32,38032,32815,153,0,5064,186,0,37846,0.00042234171224232226,-0.00041330327092974339,0.0041806899453092133
metakv,metakv_kvcache_202206_head_50k,32,H32_to_H64,38032,32789,26,0,5217,47,0,37985,0.00042727177114009255,-0.00041001656499789653,0.00094657130837189735
metakv,metakv_kvcache_202206_head_50k,32,H64_to_H128,38032,32789,0,0,5243,0,0,38032,0,0,0
metakv,metakv_kvcache_202206_head_50k,32,H16_to_H128,38032,32789,179,0,5064,224,0,37808,0.00084961348338241476,-0.00082331983592763992,0.005127261253681111
metakv,metakv_kvcache_202206_head_50k,64,H16_to_H32,37977,32433,318,0,5226,398,0,37579,0.00017444769202411986,-0.00017444769202411986,0.0083734892171577532
metakv,metakv_kvcache_202206_head_50k,64,H32_to_H64,37977,32118,315,0,5544,411,0,37566,0.00018555638939358034,-0.00018555638939358034,0.0082944940358638131
metakv,metakv_kvcache_202206_head_50k,64,H64_to_H128,37977,32076,42,0,5859,54,0,37923,2.2628827974826868e-05,-2.2628827974826868e-05,0.001105932538115175
metakv,metakv_kvcache_202206_head_50k,64,H16_to_H128,37977,32076,675,0,5226,824,0,37153,0.00038263290939252704,-0.00038263290939252704,0.017773915791136741
metakv,metakv_kvcache_202206_head_50k,128,H16_to_H32,37856,31939,462,0,5455,713,0,37143,0.00019275346048182586,-0.00019275346048182586,0.012204142011834319
metakv,metakv_kvcache_202206_head_50k,128,H32_to_H64,37856,31358,581,0,5917,919,0,36937,0.0003099739803465765,-0.0003099739803465765,0.015347633136094675
metakv,metakv_kvcache_202206_head_50k,128,H64_to_H128,37856,30984,374,0,6498,705,0,37151,0.00034897869558326287,-0.00034897869558326287,0.0098795435333896876
metakv,metakv_kvcache_202206_head_50k,128,H16_to_H128,37856,30984,1417,0,5455,1900,0,35956,0.00085170613641166531,-0.00085170613641166531,0.03743131868131868
metakv,metakv_kvcache_202206_head_50k,256,H16_to_H32,37486,30641,579,0,6266,1733,0,35753,0.00035044333217734621,-0.00035044333217734621,0.015445766419463266
metakv,metakv_kvcache_202206_head_50k,256,H32_to_H64,37486,30058,583,0,6845,2085,0,35401,0.00071224507149335748,-0.00071203666035319854,0.015605826175105373
metakv,metakv_kvcache_202206_head_50k,256,H64_to_H128,37486,29720,338,0,7428,1902,0,35584,0.0014505415355065892,-0.0014494994798057942,0.00928346582724217
metakv,metakv_kvcache_202206_head_50k,256,H16_to_H128,37486,29720,1500,0,6266,3042,0,34444,0.0025132299391772929,-0.002511979472336339,0.040335058421810809
twemcache,twemcache_cluster26_sample100_50k,32,H16_to_H32,37849,6743,2443,0,28663,15614,0,22235,0.046190949562736137,-0.041560708341039393,0.10061031995561309
twemcache,twemcache_cluster26_sample100_50k,32,H32_to_H64,37849,6576,167,0,31106,2473,0,35376,0.014130987608655447,-0.011901734524029697,0.017384871462918439
twemcache,twemcache_cluster26_sample100_50k,32,H64_to_H128,37849,6576,0,0,31273,97,0,37752,0.00074886390657613144,-0.00054245158392559906,0.00076620254167877617
twemcache,twemcache_cluster26_sample100_50k,32,H16_to_H128,37849,6576,2610,0,28663,16509,0,21340,0.061070801077967717,-0.054004894448994686,0.11876139396021031
twemcache,twemcache_cluster26_sample100_50k,64,H16_to_H32,34748,2917,2099,0,29732,22664,0,12084,0.03039023828709566,-0.029056978099458963,0.076205824795671687
twemcache,twemcache_cluster26_sample100_50k,64,H32_to_H64,34748,2026,891,0,31831,19707,0,15041,0.045602444745021294,-0.040819795383906989,0.062852538275584208
twemcache,twemcache_cluster26_sample100_50k,64,H64_to_H128,34748,1873,153,0,32722,6089,0,28659,0.023952817428341201,-0.020136500661908599,0.027339703004489468
twemcache,twemcache_cluster26_sample100_50k,64,H16_to_H128,34748,1873,3143,0,29732,27905,0,6843,0.09994550046045815,-0.090013274145274547,0.16639806607574537
twemcache,twemcache_cluster26_sample100_50k,128,H16_to_H32,31195,1590,1584,0,28021,23399,0,7796,0.021906805978522199,-0.021182531255008817,0.062093284180157075
twemcache,twemcache_cluster26_sample100_50k,128,H32_to_H64,31195,919,671,0,29605,22985,0,8210,0.035713856387241547,-0.032918436448148743,0.045616284661003363
twemcache,twemcache_cluster26_sample100_50k,128,H64_to_H128,31195,584,335,0,30276,21944,0,9251,0.060165391088315437,-0.051080151065875941,0.061420099374899825
twemcache,twemcache_cluster26_sample100_50k,128,H16_to_H128,31195,584,2590,0,28021,28988,0,2207,0.11778605345407918,-0.10518111876903349,0.16912966821606026
