trace_family,trace_name,capacity,pair,n_decisions,tied_to_tied,tied_to_discriminative,discriminative_to_tied,discriminative_to_discriminative,info_increase,info_decrease,info_unchanged,mean_delta_expected_random_regret,mean_delta_optimal_set_fraction,mean_delta_loss_range,reader_family
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H16_to_H128,49241,41162,1656,0,6423,2939,0,46302,0.0078485154647549,-0.0076422594991978,0.0370829187059564,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H16_to_H32,49241,41162,1656,0,6423,2933,0,46308,0.0078237647488881,-0.0076181434170711,0.0370626104262707,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H32_to_H64,49241,41162,0,0,8079,9,0,49232,2.475071586685892e-05,-2.411608212668305e-05,2.030827968562783e-05,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,32,H64_to_H128,49241,41162,0,0,8079,0,0,49241,0.0,0.0,0.0,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H16_to_H128,48511,29946,7240,0,11325,13078,0,35433,0.0233945007317927,-0.0179559790562965,0.1689307579724186,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H16_to_H32,48511,32662,4524,0,11325,8951,0,39560,0.0071053472408319,-0.0062147631465028,0.0991115417121889,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H32_to_H64,48511,29950,2712,0,15849,6647,0,41864,0.0150503880563171,-0.0111250541114386,0.0685205417328028,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,64,H64_to_H128,48511,29946,4,0,18561,80,0,48431,0.0012387654346436,-0.000616161798355,0.0012986745274267,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H16_to_H128,47620,15709,15803,0,16108,28211,0,19409,0.0208627546199076,-0.020388131299874,0.3417471650566988,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H16_to_H32,47620,25067,6445,0,16108,14431,0,33189,0.0043547879042419,-0.0043260775409491,0.1362662746745065,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H32_to_H64,47620,18743,6324,0,22553,16759,0,30861,0.0069981100377992,-0.0068496364447711,0.1356152876942461,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,128,H64_to_H128,47620,15709,3034,0,28877,12134,0,35486,0.0095098566778664,-0.0092124173141537,0.0698656026879462,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H16_to_H128,46701,6861,19767,0,20073,37549,0,9152,0.0179807445236718,-0.0165415689706858,0.4380848375837776,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H16_to_H32,46701,18714,7914,0,20073,18760,0,27941,0.0031534556272884,-0.003087293366309,0.1711098263420483,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H32_to_H64,46701,11481,7233,0,27987,23697,0,23004,0.005518317327252,-0.0052485660103638,0.1589901715166698,alibaba-block
cloudphysics,cloudphysics_alibaba_block_head_50k,256,H64_to_H128,46701,6861,4620,0,35220,25019,0,21682,0.0093089715691312,-0.0082057095940129,0.1079848397250594,alibaba-block
metacdn,metacdn_cdn_202303_head_50k,32,H16_to_H128,29348,1,356,0,28991,9368,0,19980,0.0293695481804552,-0.0272441904047976,0.0377879242197083,metacdn
metacdn,metacdn_cdn_202303_head_50k,32,H16_to_H32,29348,25,332,0,28991,7558,0,21790,0.0168143910999045,-0.0158209247648902,0.0246013356957884,metacdn
metacdn,metacdn_cdn_202303_head_50k,32,H32_to_H64,29348,1,24,0,29323,2562,0,26786,0.0123070566989232,-0.0111932670028622,0.0129821452909908,metacdn
metacdn,metacdn_cdn_202303_head_50k,32,H64_to_H128,29348,1,0,0,29347,49,0,29299,0.0002481003816273,-0.0002299986370451,0.0002044432329289,metacdn
metacdn,metacdn_cdn_202303_head_50k,64,H16_to_H128,28552,0,292,0,28260,19771,0,8781,0.0380079547842532,-0.0358742382319977,0.0434295320818156,metacdn
metacdn,metacdn_cdn_202303_head_50k,64,H16_to_H32,28552,18,274,0,28260,11893,0,16659,0.0101552649551695,-0.0099363661039506,0.0164261697954609,metacdn
metacdn,metacdn_cdn_202303_head_50k,64,H32_to_H64,28552,0,18,0,28534,11223,0,17329,0.0139952980526758,-0.0133840230106472,0.0129588119921546,metacdn
metacdn,metacdn_cdn_202303_head_50k,64,H64_to_H128,28552,0,0,0,28552,4520,0,24032,0.0138573917764079,-0.0125538491173998,0.0140445502942,metacdn
metacdn,metacdn_cdn_202303_head_50k,128,H16_to_H128,27683,0,235,0,27448,26148,0,1535,0.0257773272405447,-0.0254770527038254,0.0157136148538814,metacdn
metacdn,metacdn_cdn_202303_head_50k,128,H16_to_H32,27683,16,219,0,27448,15304,0,12379,0.0063813983311057,-0.0063619256402846,0.0089224433768016,metacdn
metacdn,metacdn_cdn_202303_head_50k,128,H32_to_H64,27683,0,16,0,27667,17647,0,10036,0.0084469146226926,-0.0083811590145576,0.0023841346674854,metacdn
metacdn,metacdn_cdn_202303_head_50k,128,H64_to_H128,27683,0,0,0,27683,18519,0,9164,0.0109490142867463,-0.0107339680489831,0.0044070368095943,metacdn
metacdn,metacdn_cdn_202303_head_50k,256,H16_to_H128,26737,0,178,0,26559,26514,0,223,0.0193099099562404,-0.0192701710176908,0.009275535774395,metacdn
metacdn,metacdn_cdn_202303_head_50k,256,H16_to_H32,26737,14,164,0,26559,17641,0,9096,0.0041686438736582,-0.0041657218928825,0.006395631521861,metacdn
metacdn,metacdn_cdn_202303_head_50k,256,H32_to_H64,26737,0,14,0,26723,21277,0,5460,0.0061976673243071,-0.0061884630848636,0.0013090473875154,metacdn
metacdn,metacdn_cdn_202303_head_50k,256,H64_to_H128,26737,0,0,0,26737,23810,0,2927,0.008943598758275,-0.0089159860399446,0.0015708568650185,metacdn
metakv,metakv_kvcache_202206_head_50k,32,H16_to_H128,38032,32789,179,0,5064,224,0,37808,0.0008496134833824,-0.0008233198359276,0.0051272612536811,metakv
metakv,metakv_kvcache_202206_head_50k,32,H16_to_H32,38032,32815,153,0,5064,186,0,37846,0.0004223417122423,-0.0004133032709297,0.0041806899453092,metakv
metakv,metakv_kvcache_202206_head_50k,32,H32_to_H64,38032,32789,26,0,5217,47,0,37985,0.00042727177114,-0.0004100165649978,0.0009465713083718,metakv
metakv,metakv_kvcache_202206_head_50k,32,H64_to_H128,38032,32789,0,0,5243,0,0,38032,0.0,0.0,0.0,metakv
metakv,metakv_kvcache_202206_head_50k,64,H16_to_H128,37977,32076,675,0,5226,824,0,37153,0.0003826329093925,-0.0003826329093925,0.0177739157911367,metakv
metakv,metakv_kvcache_202206_head_50k,64,H16_to_H32,37977,32433,318,0,5226,398,0,37579,0.0001744476920241,-0.0001744476920241,0.0083734892171577,metakv
metakv,metakv_kvcache_202206_head_50k,64,H32_to_H64,37977,32118,315,0,5544,411,0,37566,0.0001855563893935,-0.0001855563893935,0.0082944940358638,metakv
metakv,metakv_kvcache_202206_head_50k,64,H64_to_H128,37977,32076,42,0,5859,54,0,37923,2.2628827974826868e-05,-2.2628827974826868e-05,0.0011059325381151,metakv
metakv,metakv_kvcache_202206_head_50k,128,H16_to_H128,37856,30984,1417,0,5455,1900,0,35956,0.0008517061364116,-0.0008517061364116,0.0374313186813186,metakv
metakv,metakv_kvcache_202206_head_50k,128,H16_to_H32,37856,31939,462,0,5455,713,0,37143,0.0001927534604818,-0.0001927534604818,0.0122041420118343,metakv
metakv,metakv_kvcache_202206_head_50k,128,H32_to_H64,37856,31358,581,0,5917,919,0,36937,0.0003099739803465,-0.0003099739803465,0.0153476331360946,metakv
metakv,metakv_kvcache_202206_head_50k,128,H64_to_H128,37856,30984,374,0,6498,705,0,37151,0.0003489786955832,-0.0003489786955832,0.0098795435333896,metakv
metakv,metakv_kvcache_202206_head_50k,256,H16_to_H128,37486,29720,1500,0,6266,3042,0,34444,0.0025132299391772,-0.0025119794723363,0.0403350584218108,metakv
metakv,metakv_kvcache_202206_head_50k,256,H16_to_H32,37486,30641,579,0,6266,1733,0,35753,0.0003504433321773,-0.0003504433321773,0.0154457664194632,metakv
metakv,metakv_kvcache_202206_head_50k,256,H32_to_H64,37486,30058,583,0,6845,2085,0,35401,0.0007122450714933,-0.0007120366603531,0.0156058261751053,metakv
metakv,metakv_kvcache_202206_head_50k,256,H64_to_H128,37486,29720,338,0,7428,1902,0,35584,0.0014505415355065,-0.0014494994798057,0.0092834658272421,metakv
twemcache,twemcache_cluster26_sample100_50k,32,H16_to_H128,37849,6576,2610,0,28663,16509,0,21340,0.0610708010779677,-0.0540048944489946,0.1187613939602103,twemcache
twemcache,twemcache_cluster26_sample100_50k,32,H16_to_H32,37849,6743,2443,0,28663,15614,0,22235,0.0461909495627361,-0.0415607083410393,0.100610319955613,twemcache
twemcache,twemcache_cluster26_sample100_50k,32,H32_to_H64,37849,6576,167,0,31106,2473,0,35376,0.0141309876086554,-0.0119017345240296,0.0173848714629184,twemcache
twemcache,twemcache_cluster26_sample100_50k,32,H64_to_H128,37849,6576,0,0,31273,97,0,37752,0.0007488639065761,-0.0005424515839255,0.0007662025416787,twemcache
twemcache,twemcache_cluster26_sample100_50k,64,H16_to_H128,34748,1873,3143,0,29732,27905,0,6843,0.0999455004604581,-0.0900132741452745,0.1663980660757453,twemcache
twemcache,twemcache_cluster26_sample100_50k,64,H16_to_H32,34748,2917,2099,0,29732,22664,0,12084,0.0303902382870956,-0.0290569780994589,0.0762058247956716,twemcache
twemcache,twemcache_cluster26_sample100_50k,64,H32_to_H64,34748,2026,891,0,31831,19707,0,15041,0.0456024447450212,-0.0408197953839069,0.0628525382755842,twemcache
twemcache,twemcache_cluster26_sample100_50k,64,H64_to_H128,34748,1873,153,0,32722,6089,0,28659,0.0239528174283412,-0.0201365006619085,0.0273397030044894,twemcache
twemcache,twemcache_cluster26_sample100_50k,128,H16_to_H128,31195,584,2590,0,28021,28988,0,2207,0.1177860534540791,-0.1051811187690334,0.1691296682160602,twemcache
twemcache,twemcache_cluster26_sample100_50k,128,H16_to_H32,31195,1590,1584,0,28021,23399,0,7796,0.0219068059785221,-0.0211825312550088,0.062093284180157,twemcache
twemcache,twemcache_cluster26_sample100_50k,128,H32_to_H64,31195,919,671,0,29605,22985,0,8210,0.0357138563872415,-0.0329184364481487,0.0456162846610033,twemcache
twemcache,twemcache_cluster26_sample100_50k,128,H64_to_H128,31195,584,335,0,30276,21944,0,9251,0.0601653910883154,-0.0510801510658759,0.0614200993748998,twemcache
twemcache,twemcache_cluster26_sample100_50k,256,H16_to_H128,28706,265,2150,0,26291,27708,0,998,0.0648063830296802,-0.0623277254755103,0.0977495993868877,twemcache
twemcache,twemcache_cluster26_sample100_50k,256,H16_to_H32,28706,1191,1224,0,26291,22641,0,6065,0.0125205205357764,-0.0124071677088413,0.0453912074130843,twemcache
twemcache,twemcache_cluster26_sample100_50k,256,H32_to_H64,28706,619,572,0,27515,22768,0,5938,0.0201890501985647,-0.0197433953267609,0.0256044032606423,twemcache
twemcache,twemcache_cluster26_sample100_50k,256,H64_to_H128,28706,265,354,0,28087,23679,0,5027,0.0320968122953389,-0.030177162439908,0.026753988713161,twemcache
wiki2018,wiki2018_pageviews_en_50k,32,H16_to_H128,49968,49968,0,0,0,0,0,49968,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,32,H16_to_H32,49968,49968,0,0,0,0,0,49968,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,32,H32_to_H64,49968,49968,0,0,0,0,0,49968,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,32,H64_to_H128,49968,49968,0,0,0,0,0,49968,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,64,H16_to_H128,49936,49936,0,0,0,0,0,49936,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,64,H16_to_H32,49936,49936,0,0,0,0,0,49936,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,64,H32_to_H64,49936,49936,0,0,0,0,0,49936,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,64,H64_to_H128,49936,49936,0,0,0,0,0,49936,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,128,H16_to_H128,49872,49872,0,0,0,0,0,49872,0.0,0.0,0.0,wiki2018
wiki2018,wiki2018_pageviews_en_50k,128,H16_to_H32,49872,49872,0,0,0,0,0,49872,0.0,0.0,0.0,wiki2018
