horizon,old_decisions,matched_decisions,old_all_tied_fraction,matched_all_tied_fraction,old_random_optimal_probability,matched_random_optimal_probability,old_expected_random_regret,matched_expected_random_regret
16,787762,787762,0.6192949139460903,0.6192949139460903,0.9869416758329292,0.9869416758329292,0.0132155585617864,0.013215558561786387
32,706888,787762,0.6366977512703569,0.5807172724756969,0.9854968626571676,0.9796999730327814,0.0151780254616007,0.020890867101992696
64,706888,787762,0.6082038455879857,0.555142289168556,0.9792461873822302,0.9724085942994204,0.0232378407629638,0.028961098815378207
128,706888,787762,0.5961142359185614,0.5433950863331819,0.9719439896684482,0.9660603888769704,0.0366981867176978,0.03609547125273874
