trace_family,trace_name,capacity,horizon,n_decisions,min_decision_t,max_decision_t,all_tied_count,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density,cell
twemcache,twemcache_cluster26_sample100_50k,32,128,37849,40,49999,6576,0.1737430315199873,0.8262569684800127,0.880729180427488,0.1280350867922534,0.880729180427488,0.9005786150228539,0.1649350581555399,twemcache c32
twemcache,twemcache_cluster26_sample100_50k,64,16,34748,74,49999,5016,0.1443536318637044,0.8556463681362955,0.9554965393691724,0.0450007914124553,0.9554965393691724,0.8679924024404281,0.0837431433760719,twemcache c64
twemcache,twemcache_cluster26_sample100_50k,64,32,34748,74,49999,2917,0.0839472775411534,0.9160527224588464,0.9264395612697132,0.075391029699551,0.9264395612697132,0.9441982272361,0.1310026436373636,twemcache c64
twemcache,twemcache_cluster26_sample100_50k,64,64,34748,74,49999,2026,0.0583055139864164,0.9416944860135836,0.8856197658858063,0.1209934744445723,0.8856197658858063,1.007050765511684,0.1773669227965158,twemcache c64
twemcache,twemcache_cluster26_sample100_50k,64,128,34748,74,49999,1873,0.0539023828709566,0.9460976171290432,0.8654832652238977,0.1449462918729135,0.8654832652238977,1.0343904685161736,0.1869215580067643,twemcache c64
twemcache,twemcache_cluster26_sample100_50k,128,16,31195,202,49997,3174,0.101747074851739,0.8982529251482609,0.9713503265747716,0.0289151406475396,0.9713503265747716,0.9074851739060746,0.0551617224267466,twemcache c128
twemcache,twemcache_cluster26_sample100_50k,128,32,31195,202,49997,1590,0.0509697066837634,0.9490302933162365,0.9501677953197628,0.0508219466260618,0.9501677953197628,0.9695784580862316,0.092662432337607,twemcache c128
twemcache,twemcache_cluster26_sample100_50k,128,64,31195,202,49997,919,0.0294598493348292,0.9705401506651709,0.917249358871614,0.0865358030133034,0.917249358871614,1.0151947427472352,0.1442768997845657,twemcache c128
twemcache,twemcache_cluster26_sample100_50k,128,128,31195,202,49997,584,0.0187209488700112,0.9812790511299888,0.8661692078057381,0.1467011941016188,0.8661692078057381,1.0766148421221349,0.2030232342781563,twemcache c128
twemcache,twemcache_cluster26_sample100_50k,256,16,28706,455,49997,2415,0.084128753570682,0.915871246429318,0.9838283753831952,0.0162208847888943,0.9838283753831952,0.9183445969483732,0.031668211443464,twemcache c256
twemcache,twemcache_cluster26_sample100_50k,256,32,28706,455,49997,1191,0.0414895840590817,0.9585104159409182,0.9714212076743538,0.0287414053246708,0.9714212076743538,0.9637358043614576,0.0549010098404651,twemcache c256
twemcache,twemcache_cluster26_sample100_50k,256,64,28706,455,49997,619,0.0215634362154253,0.9784365637845746,0.9516778123475929,0.0489304555232355,0.9516778123475929,0.9893402076221,0.0898634914235324,twemcache c256
twemcache,twemcache_cluster26_sample100_50k,256,128,28706,455,49997,265,0.0092315195429526,0.9907684804570472,0.9215006499076848,0.0810272678185745,0.9215006499076848,1.016094196335261,0.1392598960916143,twemcache c256
wiki2018,wiki2018_pageviews_en_50k,32,16,49968,32,49999,49968,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c32
wiki2018,wiki2018_pageviews_en_50k,32,32,49968,32,49999,49968,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c32
wiki2018,wiki2018_pageviews_en_50k,32,64,49968,32,49999,49968,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c32
wiki2018,wiki2018_pageviews_en_50k,32,128,49968,32,49999,49968,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c32
wiki2018,wiki2018_pageviews_en_50k,64,16,49936,64,49999,49936,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c64
wiki2018,wiki2018_pageviews_en_50k,64,32,49936,64,49999,49936,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c64
wiki2018,wiki2018_pageviews_en_50k,64,64,49936,64,49999,49936,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c64
wiki2018,wiki2018_pageviews_en_50k,64,128,49936,64,49999,49936,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c64
wiki2018,wiki2018_pageviews_en_50k,128,16,49872,128,49999,49872,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c128
wiki2018,wiki2018_pageviews_en_50k,128,32,49872,128,49999,49872,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c128
wiki2018,wiki2018_pageviews_en_50k,128,64,49872,128,49999,49872,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c128
wiki2018,wiki2018_pageviews_en_50k,128,128,49872,128,49999,49872,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c128
wiki2018,wiki2018_pageviews_en_50k,256,16,49744,256,49999,49744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c256
wiki2018,wiki2018_pageviews_en_50k,256,32,49744,256,49999,49744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c256
wiki2018,wiki2018_pageviews_en_50k,256,64,49744,256,49999,49744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c256
wiki2018,wiki2018_pageviews_en_50k,256,128,49744,256,49999,49744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,wiki2018 c256
