trace_family,trace_name,capacity,horizon,n_decisions,min_decision_t,max_decision_t,all_tied_count,all_tied_fraction,discriminative_fraction,random_optimal_probability,expected_random_regret,mean_optimal_set_fraction,mean_loss_range,mean_strict_preference_density,cell
cloudphysics,cloudphysics_alibaba_block_head_50k,32,16,49241,32,49999,42818,0.8695599195792124,0.1304400804207875,0.9920562894742186,0.007971634410349,0.9920562894742186,0.1313336447269551,0.0140657765525843,alibaba-block c32
cloudphysics,cloudphysics_alibaba_block_head_50k,32,32,49241,32,49999,41162,0.8359294084198127,0.1640705915801872,0.9844381460571476,0.0157953991592372,0.9844381460571476,0.1683962551532259,0.0202751149546896,alibaba-block c32
cloudphysics,cloudphysics_alibaba_block_head_50k,32,64,49241,32,49999,41162,0.8359294084198127,0.1640705915801872,0.9844140299750208,0.015820149875104,0.9844140299750208,0.1684165634329115,0.0202834675535925,alibaba-block c32
cloudphysics,cloudphysics_alibaba_block_head_50k,32,128,49241,32,49999,41162,0.8359294084198127,0.1640705915801872,0.9844140299750208,0.015820149875104,0.9844140299750208,0.1684165634329115,0.0202834675535925,alibaba-block c32
cloudphysics,cloudphysics_alibaba_block_head_50k,64,16,48511,73,49999,37186,0.7665477932839974,0.2334522067160025,0.993381655706953,0.0068421981612417,0.993381655706953,0.2371627053657933,0.0127515363885723,alibaba-block c64
cloudphysics,cloudphysics_alibaba_block_head_50k,64,32,48511,73,49999,32662,0.6732905938859228,0.3267094061140772,0.9871668925604502,0.0139475454020737,0.9871668925604502,0.3362742470779823,0.0230847863665678,alibaba-block c64
cloudphysics,cloudphysics_alibaba_block_head_50k,64,64,48511,73,49999,29950,0.6173857475624084,0.3826142524375914,0.9760418384490116,0.0289979334583908,0.9760418384490116,0.4047947888107851,0.0322340776580536,alibaba-block c64
cloudphysics,cloudphysics_alibaba_block_head_50k,64,128,48511,73,49999,29946,0.6173032920368576,0.3826967079631423,0.9754256766506566,0.0302366988930345,0.9754256766506566,0.4060934633382119,0.0322983222100174,alibaba-block c64
cloudphysics,cloudphysics_alibaba_block_head_50k,128,16,47620,149,49999,31512,0.6617387652246955,0.3382612347753045,0.9951712450125996,0.0048371220075598,0.9951712450125996,0.3387232255354892,0.009504082310086,alibaba-block c128
cloudphysics,cloudphysics_alibaba_block_head_50k,128,32,47620,149,49999,25067,0.5263964720705586,0.4736035279294414,0.9908451674716504,0.0091919099118017,0.9908451674716504,0.4749895002099958,0.0176976544130534,alibaba-block c128
cloudphysics,cloudphysics_alibaba_block_head_50k,128,64,47620,149,49999,18743,0.393595128097438,0.6064048719025619,0.9839955310268794,0.016190019949601,0.9839955310268794,0.6106047879042418,0.0295726533796095,alibaba-block c128
cloudphysics,cloudphysics_alibaba_block_head_50k,128,128,47620,149,49999,15709,0.3298824023519529,0.670117597648047,0.9747831137127256,0.0256998766274674,0.9747831137127256,0.6804703905921881,0.039199560496979,alibaba-block c128
cloudphysics,cloudphysics_alibaba_block_head_50k,256,16,46701,277,49999,26628,0.5701805100533179,0.429819489946682,0.9967550380345174,0.0032635308933427,0.9967550380345174,0.4306760026551894,0.0064317806521336,alibaba-block c256
cloudphysics,cloudphysics_alibaba_block_head_50k,256,32,46701,277,49999,18714,0.4007194706751461,0.5992805293248538,0.9936677446682084,0.0064169865206312,0.9936677446682084,0.6017858289972376,0.012431584604142,alibaba-block c256
cloudphysics,cloudphysics_alibaba_block_head_50k,256,64,46701,277,49999,11481,0.2458405601593113,0.7541594398406886,0.9884191786578445,0.0119353038478833,0.9884191786578445,0.7607760005139075,0.0223240439754197,alibaba-block c256
cloudphysics,cloudphysics_alibaba_block_head_50k,256,128,46701,277,49999,6861,0.1469133423267167,0.8530866576732831,0.9802134690638316,0.0212442754170146,0.9802134690638316,0.868760840238967,0.0362349918715264,alibaba-block c256
metacdn,metacdn_cdn_202303_head_50k,32,16,29348,44,49996,357,0.0121643723592749,0.987835627640725,0.9404484547498978,0.0600701069919585,0.9404484547498978,0.9984666757530326,0.1129074850404709,metacdn c32
metacdn,metacdn_cdn_202303_head_50k,32,32,29348,44,49996,25,0.0008518468038707,0.9991481531961292,0.9246275299850076,0.0768844980918631,0.9246275299850076,1.023068011448821,0.1340571924448333,metacdn c32
metacdn,metacdn_cdn_202303_head_50k,32,64,29348,44,49996,1,3.407387215483168e-05,0.9999659261278452,0.9134342629821453,0.0891915547907864,0.9134342629821453,1.036050156739812,0.141410691281925,metacdn c32
metacdn,metacdn_cdn_202303_head_50k,32,128,29348,44,49996,1,3.407387215483168e-05,0.9999659261278452,0.9132042643451,0.0894396551724137,0.9132042643451,1.0362545999727408,0.1415296750451753,metacdn c32
metacdn,metacdn_cdn_202303_head_50k,64,16,28552,91,49996,292,0.0102269543289436,0.9897730456710562,0.9670562701386944,0.033064671476604,0.9670562701386944,0.994466237041188,0.0641097752026933,metacdn c64
metacdn,metacdn_cdn_202303_head_50k,64,32,28552,91,49996,18,0.0006304286915102,0.9993695713084898,0.9571199040347436,0.0432199364317736,0.9571199040347436,1.0108924068366487,0.0818702377338812,metacdn c64
metacdn,metacdn_cdn_202303_head_50k,64,64,28552,91,49996,0,0.0,1.0,0.9437358810240964,0.0572152344844494,0.9437358810240964,1.0238512188288036,0.1013345498550125,metacdn c64
metacdn,metacdn_cdn_202303_head_50k,64,128,28552,91,49996,0,0.0,1.0,0.9311820319066964,0.0710726262608573,0.9311820319066964,1.0378957691230035,0.1094701862544308,metacdn c64
metacdn,metacdn_cdn_202303_head_50k,128,16,27683,194,49996,235,0.0084889643463497,0.9915110356536502,0.9816592651627352,0.0183511767149514,0.9816592651627352,0.9921973774518656,0.0361258746733618,metacdn c128
metacdn,metacdn_cdn_202303_head_50k,128,32,27683,194,49996,16,0.0005779720406025,0.9994220279593976,0.9752973395224503,0.0247325750460571,0.9752973395224503,1.0011198208286674,0.0482823624521829,metacdn c128
metacdn,metacdn_cdn_202303_head_50k,128,64,27683,194,49996,0,0.0,1.0,0.9669161805078929,0.0331794896687497,0.9669161805078929,1.003503955496153,0.0639001937998276,metacdn c128
metacdn,metacdn_cdn_202303_head_50k,128,128,27683,194,49996,0,0.0,1.0,0.9561822124589096,0.0441285039554961,0.9561822124589096,1.0079109923057472,0.0820607723592266,metacdn c128
metacdn,metacdn_cdn_202303_head_50k,256,16,26737,402,49996,178,0.0066574409993641,0.9933425590006358,0.9897828559206344,0.0102197738620638,0.9897828559206344,0.9936417698320678,0.0202570362213778,metacdn c256
metacdn,metacdn_cdn_202303_head_50k,256,32,26737,402,49996,14,0.0005236189550061,0.9994763810449938,0.9856171340277516,0.014388417735722,0.9856171340277516,1.000037401353929,0.0283826957869208,metacdn c256
metacdn,metacdn_cdn_202303_head_50k,256,64,26737,402,49996,0,0.0,1.0,0.979428670942888,0.0205860850600291,0.979428670942888,1.0013464487414443,0.0403079524812131,metacdn c256
metacdn,metacdn_cdn_202303_head_50k,256,128,26737,402,49996,0,0.0,1.0,0.9705126849029436,0.0295296838183042,0.9705126849029436,1.0029173056064629,0.0570940445127446,metacdn c256
metakv,metakv_kvcache_202206_head_50k,32,16,38032,56,49999,32968,0.8668489692890197,0.1331510307109802,0.9953410943416072,0.0046605490113588,0.9953410943416072,0.1332036180058897,0.0092136969546867,metakv c32
metakv,metakv_kvcache_202206_head_50k,32,32,38032,56,49999,32815,0.8628260412284392,0.1371739587715608,0.9949277910706772,0.0050828907236011,0.9949277910706772,0.1373843079511989,0.0097461963270319,metakv c32
metakv,metakv_kvcache_202206_head_50k,32,64,38032,56,49999,32789,0.862142406394615,0.1378575936053849,0.9945177745056794,0.0055101624947412,0.9945177745056794,0.1383308792595708,0.0099067678152184,metakv c32
metakv,metakv_kvcache_202206_head_50k,32,128,38032,56,49999,32789,0.862142406394615,0.1378575936053849,0.9945177745056794,0.0055101624947412,0.9945177745056794,0.1383308792595708,0.0099067678152184,metakv c32
metakv,metakv_kvcache_202206_head_50k,64,16,37977,101,49999,32751,0.8623903941859546,0.1376096058140453,0.9976227387629356,0.0023772612370645,0.9976227387629356,0.1376096058140453,0.0047390839317531,metakv c64
metakv,metakv_kvcache_202206_head_50k,64,32,37977,101,49999,32433,0.8540169049687969,0.1459830950312031,0.9974482910709112,0.0025517089290886,0.9974482910709112,0.1459830950312031,0.0050845049906982,metakv c64
metakv,metakv_kvcache_202206_head_50k,64,64,37977,101,49999,32118,0.8457224109329331,0.1542775890670669,0.9972627346815176,0.0027372653184822,0.9972627346815176,0.1542775890670669,0.0054494005561427,metakv c64
metakv,metakv_kvcache_202206_head_50k,64,128,37977,101,49999,32076,0.8446164783948179,0.1553835216051821,0.9972401058535428,0.002759894146457,0.9972401058535428,0.1553835216051821,0.0054937700387577,metakv c64
metakv,metakv_kvcache_202206_head_50k,128,16,37856,192,49999,32401,0.8559013102282333,0.1440986897717667,0.9987113997781064,0.0012886002218934,0.9987113997781064,0.1440986897717667,0.0025711684684939,metakv c128
metakv,metakv_kvcache_202206_head_50k,128,32,37856,192,49999,31939,0.843697168216399,0.156302831783601,0.9985186463176245,0.0014813536823753,0.9985186463176245,0.156302831783601,0.0029502599157353,metakv c128
metakv,metakv_kvcache_202206_head_50k,128,64,37856,192,49999,31358,0.8283495350803042,0.1716504649196956,0.998208672337278,0.0017913276627218,0.998208672337278,0.1716504649196956,0.0035477569683874,metakv c128
metakv,metakv_kvcache_202206_head_50k,128,128,37856,192,49999,30984,0.8184699915469145,0.1815300084530853,0.9978596936416948,0.0021403063583051,0.9978596936416948,0.1815300084530853,0.0041791546321826,metakv c128
metakv,metakv_kvcache_202206_head_50k,256,16,37486,430,49999,31220,0.8328442618577602,0.1671557381422397,0.9991181082604172,0.000882204356293,0.9991181082604172,0.1672357680200608,0.0017577697961487,metakv c256
metakv,metakv_kvcache_202206_head_50k,256,32,37486,430,49999,30641,0.817398495438297,0.182601504561703,0.9987676649282398,0.0012326476884703,0.9987676649282398,0.182681534439524,0.0024412365583804,metakv c256
metakv,metakv_kvcache_202206_head_50k,256,64,37486,430,49999,30058,0.8018460225150723,0.1981539774849277,0.9980556282678866,0.0019448927599637,0.9980556282678866,0.1982873606146294,0.0037829024796708,metakv c256
metakv,metakv_kvcache_202206_head_50k,256,128,37486,430,49999,29720,0.7928293229472336,0.2071706770527663,0.9966061287880807,0.0033954342954703,0.9966061287880807,0.2075708264418716,0.0062724479230415,metakv c256
twemcache,twemcache_cluster26_sample100_50k,32,16,37849,40,49999,9186,0.2427012602710771,0.7572987397289228,0.9347340748764827,0.0669642857142857,0.9347340748764827,0.7818172210626436,0.1162065154489103,twemcache c32
twemcache,twemcache_cluster26_sample100_50k,32,32,37849,40,49999,6743,0.178155301328965,0.8218446986710349,0.8931733665354434,0.1131552352770218,0.8931733665354434,0.8824275410182567,0.1599444609692675,twemcache c32
twemcache,twemcache_cluster26_sample100_50k,32,64,37849,40,49999,6576,0.1737430315199873,0.8262569684800127,0.8812716320114137,0.1272862228856772,0.8812716320114137,0.899812412481175,0.1647594345612744,twemcache c32
