run_key,family,capacity,policy,seed,status,error,scored_split_label,scored_windows,scored_requests,hits,misses,miss_ratio,evictions,full_trace_requests,full_trace_hits,full_trace_misses,runtime_sec
cloudphysics|128|lru|none,cloudphysics,128,lru,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,360,7832,0.9560546875,7832,50000,2252,47748,0.06691251695156097
cloudphysics|128|mru|none,cloudphysics,128,mru,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,9,8183,0.9989013671875,8183,50000,63,49937,0.0689653200097382
cloudphysics|128|random|0,cloudphysics,128,random,0,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,285,7907,0.9652099609375,7907,50000,1787,48213,0.08933811029419303
cloudphysics|128|random|1,cloudphysics,128,random,1,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,276,7916,0.96630859375,7916,50000,1761,48239,0.08081244863569736
cloudphysics|128|random|10,cloudphysics,128,random,10,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,287,7905,0.9649658203125,7905,50000,1789,48211,0.07982074515894055
cloudphysics|128|random|11,cloudphysics,128,random,11,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,282,7910,0.965576171875,7910,50000,1784,48216,0.0777018116787076
cloudphysics|128|random|12,cloudphysics,128,random,12,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,303,7889,0.9630126953125,7889,50000,1762,48238,0.07977311359718442
cloudphysics|128|random|13,cloudphysics,128,random,13,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,309,7883,0.9622802734375,7883,50000,1801,48199,0.07812810083851218
cloudphysics|128|random|14,cloudphysics,128,random,14,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,298,7894,0.963623046875,7894,50000,1822,48178,0.0895641059614718
cloudphysics|128|random|15,cloudphysics,128,random,15,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,279,7913,0.9659423828125,7913,50000,1801,48199,0.07961804699152708
cloudphysics|128|random|16,cloudphysics,128,random,16,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,293,7899,0.9642333984375,7899,50000,1790,48210,0.08070728089660406
cloudphysics|128|random|17,cloudphysics,128,random,17,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,292,7900,0.96435546875,7900,50000,1818,48182,0.08290637470781803
cloudphysics|128|random|18,cloudphysics,128,random,18,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,296,7896,0.9638671875,7896,50000,1850,48150,0.08081137761473656
cloudphysics|128|random|19,cloudphysics,128,random,19,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,289,7903,0.9647216796875,7903,50000,1804,48196,0.07885890873149037
cloudphysics|128|random|2,cloudphysics,128,random,2,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,300,7892,0.96337890625,7892,50000,1789,48211,0.08091262821108103
cloudphysics|128|random|3,cloudphysics,128,random,3,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,289,7903,0.9647216796875,7903,50000,1800,48200,0.0806562271900475
cloudphysics|128|random|4,cloudphysics,128,random,4,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,294,7898,0.964111328125,7898,50000,1800,48200,0.08084222907200456
cloudphysics|128|random|5,cloudphysics,128,random,5,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,317,7875,0.9613037109375,7875,50000,1833,48167,0.07932457327842712
cloudphysics|128|random|6,cloudphysics,128,random,6,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,315,7877,0.9615478515625,7877,50000,1844,48156,0.07986521907150745
cloudphysics|128|random|7,cloudphysics,128,random,7,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,293,7899,0.9642333984375,7899,50000,1805,48195,0.08087286120280623
cloudphysics|128|random|8,cloudphysics,128,random,8,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,287,7905,0.9649658203125,7905,50000,1800,48200,0.0803251569159329
cloudphysics|128|random|9,cloudphysics,128,random,9,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,283,7909,0.9654541015625,7909,50000,1813,48187,0.07878156704828143
cloudphysics|128|sieve|none,cloudphysics,128,sieve,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,247,7945,0.9698486328125,7945,50000,1983,48017,0.2478708866983652
cloudphysics|32|lru|none,cloudphysics,32,lru,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,134,8058,0.983642578125,8058,50000,727,49273,0.0732497782446444
