decision_id,family,capacity,horizon,sample,alt_policy,baseline_lru_all_tied,alt_all_tied,optimal_set_jaccard,kendall_tau_b,pairwise_concordant,pairwise_discordant,pairwise_a_tie_b_strict,pairwise_a_strict_b_tie,pairwise_both_tied,ccr_mean_over_LRU_optimal,ccr_best_case,ccr_worst_case,ccr_prob_still_optimal,ccr_n_LRU_optimal
cloudphysics|c128|t10000|h16,cloudphysics,128,4,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10000|h16,cloudphysics,128,4,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10000|h16,cloudphysics,128,8,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10000|h16,cloudphysics,128,8,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10000|h16,cloudphysics,128,16,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10000|h16,cloudphysics,128,16,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10082|h16,cloudphysics,128,4,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10082|h16,cloudphysics,128,4,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10082|h16,cloudphysics,128,8,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10082|h16,cloudphysics,128,8,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10082|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10082|h16,cloudphysics,128,16,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10092|h16,cloudphysics,128,4,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10092|h16,cloudphysics,128,4,primary,random_mean,False,False,0.2204724409448819,0.20930410824322643,127,0,2772,0,5229,0.15590551181102377,0.0,0.20000000000000018,0.2204724409448819,127
cloudphysics|c128|t10092|h16,cloudphysics,128,8,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10092|h16,cloudphysics,128,8,primary,random_mean,False,False,0.2204724409448819,0.20930410824322643,127,0,2772,0,5229,0.15590551181102377,0.0,0.20000000000000018,0.2204724409448819,127
cloudphysics|c128|t10092|h16,cloudphysics,128,16,primary,mru,False,False,1.0,0.9999999999999999,252,0,0,0,7876,0.0,0.0,0.0,1.0,126
cloudphysics|c128|t10092|h16,cloudphysics,128,16,primary,random_mean,False,False,0.9761904761904762,0.6365097756780818,252,0,370,0,7506,0.004761904761904745,0.0,0.1999999999999993,0.9761904761904762,126
cloudphysics|c128|t10112|h16,cloudphysics,128,4,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10112|h16,cloudphysics,128,4,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10112|h16,cloudphysics,128,8,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10112|h16,cloudphysics,128,8,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10112|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,375,0,0,0,7753,0.0,0.0,0.0,1.0,125
cloudphysics|c128|t10112|h16,cloudphysics,128,16,primary,random_mean,False,False,0.88,0.43011913082256176,375,0,1652,0,6101,0.011999999999999957,0.0,0.09999999999999964,0.88,125
cloudphysics|c128|t10122|h16,cloudphysics,128,4,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10122|h16,cloudphysics,128,4,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10122|h16,cloudphysics,128,8,primary,mru,False,False,1.0,0.9999999999999999,252,0,0,0,7876,0.0,0.0,0.0,1.0,126
cloudphysics|c128|t10122|h16,cloudphysics,128,8,primary,random_mean,False,False,0.14285714285714285,0.33867663955631205,252,0,1945,0,5931,0.08571428571428541,0.0,0.09999999999999964,0.14285714285714285,126
cloudphysics|c128|t10122|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,496,0,0,0,7632,0.0,0.0,0.0,1.0,124
cloudphysics|c128|t10122|h16,cloudphysics,128,16,primary,random_mean,False,False,0.14516129032258066,0.45385026875081036,496,0,1912,0,5720,0.08548387096774163,0.0,0.09999999999999964,0.14516129032258066,124
cloudphysics|c128|t10415|h16,cloudphysics,128,4,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10415|h16,cloudphysics,128,4,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10415|h16,cloudphysics,128,8,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10415|h16,cloudphysics,128,8,primary,random_mean,False,False,0.4645669291338583,0.17516774826955048,127,0,4012,0,3989,0.10708661417322844,0.0,0.20000000000000018,0.4645669291338583,127
cloudphysics|c128|t10415|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10415|h16,cloudphysics,128,16,primary,random_mean,False,False,0.4645669291338583,0.17516774826955048,127,0,4012,0,3989,0.10708661417322891,0.0,0.20000000000000107,0.4645669291338583,127
cloudphysics|c128|t10440|h16,cloudphysics,128,4,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10440|h16,cloudphysics,128,4,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10440|h16,cloudphysics,128,8,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10440|h16,cloudphysics,128,8,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10440|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10440|h16,cloudphysics,128,16,primary,random_mean,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10521|h16,cloudphysics,128,4,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10521|h16,cloudphysics,128,4,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10521|h16,cloudphysics,128,8,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10521|h16,cloudphysics,128,8,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10521|h16,cloudphysics,128,16,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10521|h16,cloudphysics,128,16,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,4,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,4,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,8,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,8,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,16,primary,mru,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10562|h16,cloudphysics,128,16,primary,random_mean,True,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10598|h16,cloudphysics,128,4,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10598|h16,cloudphysics,128,4,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10598|h16,cloudphysics,128,8,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10598|h16,cloudphysics,128,8,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10598|h16,cloudphysics,128,16,primary,mru,False,False,1.0,1.0,127,0,0,0,8001,0.0,0.0,0.0,1.0,127
cloudphysics|c128|t10598|h16,cloudphysics,128,16,primary,random_mean,False,False,0.9763779527559056,0.5044888680992596,127,0,372,0,7629,0.0023622047244094405,0.0,0.09999999999999964,0.9763779527559056,127
cloudphysics|c128|t10655|h16,cloudphysics,128,4,primary,mru,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
cloudphysics|c128|t10655|h16,cloudphysics,128,4,primary,random_mean,False,True,1.0,,0,0,0,0,8128,0.0,0.0,0.0,1.0,128
