trace_family,capacity,horizon,n_pairs,n_ties,n_strict,strict_fraction
metacdn,64,16,12096,994.0,11102.0,0.9178240740740741
metacdn,32,16,12280,1094.0,11186.0,0.9109120521172639
metacdn,128,16,12056,1262.0,10794.0,0.8953218314532183
metacdn,32,8,12344,2168.0,10176.0,0.8243681140635126
metacdn,64,8,11816,2100.0,9716.0,0.8222748815165877
metacdn,256,16,11288,2036.0,9252.0,0.8196314670446492
metacdn,128,8,12000,2728.0,9272.0,0.7726666666666666
metacdn,256,8,11544,3238.0,8306.0,0.7195079695079695
metacdn,32,4,12480,4849.0,7631.0,0.6114583333333333
metacdn,64,4,12040,4690.0,7350.0,0.6104651162790697
metacdn,128,4,11832,5260.0,6572.0,0.5554428668018931
metacdn,256,4,11512,5313.0,6199.0,0.5384815844336345
twemcache,32,16,16232,14466.0,1766.0,0.10879743716116314
twemcache,64,16,14344,13138.0,1206.0,0.08407696597880647
twemcache,32,8,15920,14979.0,941.0,0.059108040201005026
twemcache,128,16,13480,12714.0,766.0,0.05682492581602374
cloudphysics,256,16,20112,18987.0,1125.0,0.05593675417661098
cloudphysics,128,16,20496,19537.0,959.0,0.0467896174863388
twemcache,64,8,15088,14401.0,687.0,0.04553287380699894
cloudphysics,64,16,20200,19443.0,757.0,0.037475247524752474
twemcache,32,4,15936,15346.0,590.0,0.037023092369477914
cloudphysics,32,16,20456,19876.0,580.0,0.028353539303871723
twemcache,128,8,13088,12721.0,367.0,0.028040953545232273
twemcache,256,16,11992,11667.0,325.0,0.02710140093395597
cloudphysics,128,8,20552,20040.0,512.0,0.02491241728298949
cloudphysics,256,8,19688,19217.0,471.0,0.023923201950426656
twemcache,64,4,14912,14565.0,347.0,0.023269849785407724
cloudphysics,64,8,20320,19875.0,445.0,0.021899606299212598
cloudphysics,32,8,20608,20238.0,370.0,0.017954192546583852
twemcache,256,8,12224,12040.0,184.0,0.015052356020942409
twemcache,128,4,13160,12971.0,189.0,0.014361702127659574
cloudphysics,256,4,19120,18847.0,273.0,0.014278242677824267
cloudphysics,32,4,21688,21397.0,291.0,0.013417558096643306
cloudphysics,128,4,19968,19705.0,263.0,0.013171073717948718
cloudphysics,64,4,20600,20391.0,209.0,0.010145631067961165
metakv,32,16,16056,15953.0,103.0,0.006415047334329845
twemcache,256,4,12128,12058.0,70.0,0.005771767810026385
metakv,32,4,15936,15851.0,85.0,0.005333835341365462
metakv,32,8,15856,15789.0,67.0,0.004225529767911201
metakv,64,4,16064,16016.0,48.0,0.00298804780876494
metakv,64,16,16048,16006.0,42.0,0.002617148554336989
metakv,64,8,16232,16198.0,34.0,0.002094627895515032
metakv,256,16,15808,15780.0,28.0,0.001771255060728745
metakv,256,8,15584,15557.0,27.0,0.001732546201232033
metakv,128,8,15848,15831.0,17.0,0.0010726905603230693
metakv,128,16,16328,16312.0,16.0,0.0009799118079372856
metakv,256,4,15824,15809.0,15.0,0.0009479271991911021
metakv,128,4,15744,15737.0,7.0,0.00044461382113821136
wiki2018,256,8,21232,21232.0,0.0,0.0
wiki2018,32,4,20760,20760.0,0.0,0.0
wiki2018,256,4,21328,21328.0,0.0,0.0
wiki2018,32,8,21416,21416.0,0.0,0.0
wiki2018,128,4,20112,20112.0,0.0,0.0
wiki2018,64,8,21232,21232.0,0.0,0.0
wiki2018,128,16,21904,21904.0,0.0,0.0
wiki2018,64,4,21816,21816.0,0.0,0.0
wiki2018,256,16,20528,20528.0,0.0,0.0
wiki2018,128,8,20224,20224.0,0.0,0.0
wiki2018,64,16,21568,21568.0,0.0,0.0
wiki2018,32,16,20952,20952.0,0.0,0.0
