weighting,scope,horizon,cell_count,decisions,candidate_rows,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_random_regret
DECISION_MICRO,ALL_FIVE_FAMILIES,16,20,787762,92665024,0.6192949139460903,0.3807050860539097,0.9869416758329292,0.013215558561786429
DECISION_MICRO,ALL_FIVE_FAMILIES,32,20,706888,81418752,0.6366977512703569,0.3633022487296432,0.9854968626571677,0.015178025461600707
DECISION_MICRO,ALL_FIVE_FAMILIES,64,20,706888,81418752,0.6082038455879857,0.3917961544120144,0.9792461873822302,0.023237840762963865
DECISION_MICRO,ALL_FIVE_FAMILIES,128,20,706888,81418752,0.5961142359185614,0.40388576408143867,0.9719439896684482,0.03669818671769785
