stratum,n,info_mean,uniform_random_regret,uniform_random_optimal,lru_regret,lru_optimal,clean_pairwise_logistic_regret,clean_pairwise_logistic_optimal,clean_linear_regret,clean_linear_optimal,frozen_hgb_regret,frozen_hgb_optimal
Z,1599004,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Q1,191086,0.014392836373413,0.014392836373413,0.985607163626587,0.0006960216865704,0.9993039783134297,0.0005337910678961,0.999466208932104,0.3581005411176119,0.6418994588823881,0.1960112200789173,0.8039887799210826
Q2,191078,0.0183257949633134,0.0183257949633134,0.9816743276960196,0.0010309925789468,0.9989690074210532,0.0009472571410628,0.9990527428589372,0.3810485770209024,0.6189514229790976,0.215095406064539,0.7849045939354609
Q3,191066,0.0272863827159201,0.0272863827159201,0.9727146803983964,0.0019993091392503,0.998011158447866,0.002098751216857,0.9979117163702594,0.3885201972093413,0.6114902703777753,0.2270157955889588,0.7729894382045994
Q4,191052,0.0491667721680484,0.0491667721680484,0.9516741310938908,0.0340901953394887,0.9671293679207756,0.0340640244540753,0.9671450704520236,0.4192785210309235,0.5855212193538932,0.2632372338420953,0.7394793040638151
