alt_metric,alt_stratum,stratum_order,method,method_order,n_decisions,mean_alt_value,mean_regret,median_regret,optimal_selection_rate
strict_preference_density,Q1,1,clean_pairwise_logistic,3,191086,0.028776836029663418,0.0005337910678961305,0.0,0.9994662089321039
strict_preference_density,Q1,1,frozen_hgb,4,191086,0.02877683602966364,0.19601122007891736,0.0,0.8039887799210826
strict_preference_density,Q2,2,uniform_random,0,191078,0.03634932060630465,0.01832579496331341,0.015625,0.9816743685824637
strict_preference_density,Q2,2,lru,1,191078,0.03634932060630427,0.001036226043814568,0.0,0.9989637739561854
strict_preference_density,Q2,2,clean_linear,2,191078,0.036349320606304296,0.38105904395063794,0.0,0.6189461895142297
strict_preference_density,Q2,2,clean_pairwise_logistic,3,191078,0.036349320606304296,0.0009524906059305624,0.0,0.9990475093940694
strict_preference_density,Q2,2,frozen_hgb,4,191078,0.036349320606304525,0.21509540606453909,0.0,0.7849045939354609
strict_preference_density,Q3,3,uniform_random,0,191066,0.05327358174149621,0.0272864644939445,0.01953125,0.972715048399506
strict_preference_density,Q3,3,lru,1,191066,0.0532735817414961,0.0020464132812745336,0.0,0.9979692880994002
strict_preference_density,Q3,3,clean_linear,2,191066,0.05327358174149633,0.38853066479645776,0.0,0.6114902703777753
strict_preference_density,Q3,3,clean_pairwise_logistic,3,191066,0.05327358174149625,0.0021406215653229773,0.0,0.9978750798153517
strict_preference_density,Q3,3,frozen_hgb,4,191066,0.0532735817414932,0.22701056179540055,0.0,0.7729946719981577
strict_preference_density,Q4,4,uniform_random,0,191052,0.0895916821399944,0.04916669038403157,0.03125,0.9516737221738061
strict_preference_density,Q4,4,lru,1,191052,0.08959168213998588,0.03403785356866194,0.0,0.9671764755145196
strict_preference_density,Q4,4,clean_linear,2,191052,0.08959168213998633,0.4192575843225928,0.0,0.5855264535309759
strict_preference_density,Q4,4,clean_pairwise_logistic,3,191052,0.08959168213998593,0.03401691686033122,0.0,0.967186943868685
strict_preference_density,Q4,4,frozen_hgb,4,191052,0.08959168213998375,0.263242468019178,0.0,0.7394740698867324
