mechanism_group,n_decisions,decision_fraction,mean_expected_random_regret,total_expected_random_regret,share_of_total_random_regret,random_optimal_probability,mean_optimal_set_fraction,mean_loss_range
A_all_tied,1599004,0.676601985540472,0.0,0.0,0.0,1.0,1.0,0.0
B_large_optimal_set_some_worse,748310,0.3166396280433261,0.02419142801780011,18102.6875,0.8678666227704012,0.975837627036255,0.975837627036255,1.0013416899413345
D_material_regret_separation,15972,0.006758386416201848,0.17256125954795892,2756.1484375,0.1321333772295988,0.8361502746994741,0.8361502746994741,1.16190833959429
