horizon,n_decisions,all_tied_fraction,random_optimal_probability,mean_expected_random_regret,mean_loss_range,max_loss_range
4,787762,0.739852899733676,0.9950118976289793,0.0049962940900932,0.26046445500036813,3.0
8,787762,0.6706581429416499,0.99177205290113,0.008266748673774566,0.3304335573434616,3.0
16,787762,0.6192949139460903,0.9869416758329292,0.013215558561786429,0.38385324501562657,4.0
