absolute_info_bin,bin_order,n_decisions,decision_fraction,mean_expected_random_regret,total_expected_random_regret,share_of_total_random_regret,random_optimal_probability
zero,0,1599004,0.676601985540472,0.0,0.0,0.0,1.0
tiny,1,89249,0.03776479021159521,0.00390625,348.62890625,0.016713727807947096,0.99609375
small,2,332712,0.14078363769768026,0.011927052338058141,3968.2734375,0.19024424226693498,0.9880731120308255
moderate,3,299580,0.12676417496655082,0.03795373418619401,11370.1796875,0.5451013528064957,0.9620572708041257
large,4,42741,0.018085411583701676,0.12100217370323577,5171.75390625,0.24794067711862217,0.8826835437577502
