trace_family,capacity,horizon,n_decisions,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_expected_random_regret,unique_winner_fraction,mean_loss_range,max_loss_range
cloudphysics,32,4,49241,0.9500822485327268,0.049917751467273175,0.9981728894620336,0.0018283798054466807,0.0,0.04995836802664446,2.0
cloudphysics,32,8,49241,0.9146646087609919,0.08533539123900813,0.9961979092626063,0.0038071678073150423,0.0,0.08549785747649316,2.0
cloudphysics,32,16,49241,0.8695599195792124,0.13044008042078759,0.9920562894742186,0.007971634410349098,0.0,0.1313336447269552,2.0
cloudphysics,64,4,48511,0.9102265465564511,0.08977345344354892,0.9983524999484653,0.0016561965327451505,0.0,0.09014450330852797,3.0
cloudphysics,64,8,48511,0.8484467440374348,0.1515532559625652,0.996681165096576,0.0033616731256828347,0.0,0.1528107027272165,3.0
cloudphysics,64,16,48511,0.7665477932839975,0.23345220671600253,0.993381655706953,0.00684219816124178,0.0,0.2371627053657933,4.0
cloudphysics,128,4,47620,0.8674296514069718,0.1325703485930282,0.9987746416946661,0.0012260145422091557,0.0,0.13261234775304495,2.0
cloudphysics,128,8,47620,0.7787484250314993,0.22125157496850067,0.9975591269424612,0.002442841768164637,0.0,0.22137757244855102,2.0
cloudphysics,128,16,47620,0.6617387652246955,0.33826123477530445,0.9951712450125998,0.004837122007559849,0.0,0.3387232255354893,2.0
cloudphysics,256,4,46701,0.828461917303698,0.171538082696302,0.9991874839403867,0.0008130179225284255,0.0,0.17162373396715275,2.0
cloudphysics,256,8,46701,0.7177148240937025,0.28228517590629754,0.9983773099077108,0.0016262031326952314,0.0,0.2825421297188497,3.0
cloudphysics,256,16,46701,0.5701805100533179,0.42981948994668207,0.9967550380345175,0.003263530893342755,0.0,0.4306760026551894,3.0
metacdn,32,4,29348,0.23211121711871338,0.7678887828812866,0.9688064348507565,0.031237222297941937,0.0,0.7689791467902413,2.0
metacdn,32,8,29348,0.07424696742537822,0.9257530325746218,0.9543229095679433,0.04585171902685021,0.0,0.9298759711053564,2.0
metacdn,32,16,29348,0.012164372359274908,0.9878356276407251,0.9404484547498978,0.06007010699195857,0.0,0.9984666757530326,2.0
metacdn,64,4,28552,0.21147380218548614,0.7885261978145138,0.9834649280260577,0.016547111410759315,0.0,0.7892266741384141,2.0
metacdn,64,8,28552,0.06363827402633791,0.9363617259736621,0.9753695012608574,0.024675373003642476,0.0,0.9383580834967779,2.0
metacdn,64,16,28552,0.010226954328943681,0.9897730456710563,0.9670562701386943,0.03306467147660409,0.0,0.994466237041188,2.0
metacdn,128,4,27683,0.19260918253079506,0.8073908174692049,0.9912212029946177,0.008779361431203265,0.0,0.8074630639742802,2.0
metacdn,128,8,27683,0.0546544810894773,0.9453455189105227,0.9866894280786042,0.013312829624679405,0.0,0.9455983816782864,2.0
metacdn,128,16,27683,0.008488964346349746,0.9915110356536503,0.9816592651627353,0.018351176714951414,0.0,0.9921973774518658,2.0
metacdn,256,4,26737,0.17361708493847477,0.8263829150615252,0.9953441158319931,0.004656030267045667,0.0,0.8264203164154542,2.0
metacdn,256,8,26737,0.04589146127089801,0.954108538729102,0.992809151410031,0.007191579085162883,0.0,0.954220742790889,2.0
metacdn,256,16,26737,0.006657440999364177,0.9933425590006358,0.9897828559206343,0.010219773862063807,0.0,0.9936417698320679,2.0
metakv,32,4,38032,0.882940681531342,0.11705931846865802,0.9960822465292385,0.0039185751472444255,0.0,0.11708561211611275,2.0
metakv,32,8,38032,0.8715292385359698,0.12847076146403025,0.9955884189629786,0.004412402713504417,0.0,0.12849705511148507,2.0
metakv,32,16,38032,0.8668489692890198,0.13315103071098022,0.9953410943416071,0.004660549011358856,0.0,0.13320361800588978,2.0
metakv,64,4,37977,0.8818232087842641,0.11817679121573588,0.9980205947020565,0.001979405297943492,0.0,0.11817679121573584,1.0
metakv,64,8,37977,0.8691576480501356,0.13084235194986438,0.9977634489296153,0.0022365510703847066,0.0,0.1308423519498644,1.0
metakv,64,16,37977,0.8623903941859546,0.13760960581404535,0.9976227387629355,0.002377261237064539,0.0,0.13760960581404535,1.0
metakv,128,4,37856,0.8798869399830939,0.12011306001690614,0.9989875283970837,0.0010124716029163146,0.0,0.12011306001690616,1.0
metakv,128,8,37856,0.8654374471682164,0.13456255283178364,0.9988308904136729,0.0011691095863271344,0.0,0.1345625528317836,1.0
metakv,128,16,37856,0.8559013102282333,0.14409868977176665,0.9987113997781065,0.0012886002218934912,0.0,0.1440986897717667,1.0
metakv,256,4,37486,0.8692845328922798,0.1307154671077202,0.9994372899215708,0.0005630226951395188,0.0,0.13079549698554127,2.0
metakv,256,8,37486,0.8489035906738516,0.15109640932614843,0.9993008848303366,0.0006994277863735795,0.0,0.15117643920396948,2.0
metakv,256,16,37486,0.8328442618577603,0.16715573814223972,0.9991181082604172,0.0008822043562930161,0.0,0.16723576802006082,2.0
twemcache,32,4,37849,0.5382440751406906,0.4617559248593094,0.9795594005125631,0.02051738487146292,0.0,0.46376390393405376,2.0
twemcache,32,8,37849,0.3687283679885862,0.6312716320114138,0.9626468004438691,0.03775859335781659,0.0,0.6394620729741869,3.0
twemcache,32,16,37849,0.24270126027107716,0.7572987397289228,0.9347340748764829,0.06696428571428571,0.0,0.7818172210626436,3.0
twemcache,64,4,34748,0.4358524231610452,0.5641475768389548,0.9866170355128353,0.013407246460227926,0.0,0.5653562794981006,2.0
twemcache,64,8,34748,0.26171290433981814,0.7382870956601819,0.9750970379590193,0.02501133158742949,0.0,0.7422873258892598,3.0
twemcache,64,16,34748,0.1443536318637044,0.8556463681362956,0.9554965393691723,0.045000791412455395,0.0,0.8679924024404282,3.0
twemcache,128,4,31195,0.3679756371213335,0.6320243628786665,0.9917998176791153,0.008213706122776086,0.0,0.6332745632312871,3.0
twemcache,128,8,31195,0.2046802372175028,0.7953197627824972,0.9844418676871294,0.015624248677672705,0.0,0.7987497996473794,3.0
twemcache,128,16,31195,0.10174707485173906,0.8982529251482609,0.9713503265747716,0.02891514064753967,0.0,0.9074851739060746,4.0
twemcache,256,4,28706,0.3340068278408695,0.6659931721591306,0.9954686084790636,0.004533296610464711,0.0,0.6662718595415592,2.0
twemcache,256,8,28706,0.1773148470702989,0.8226851529297011,0.9913160576186163,0.008693603906848743,0.0,0.823556050999791,3.0
twemcache,256,16,28706,0.08412875357068209,0.9158712464293179,0.9838283753831951,0.01622088478889431,0.0,0.9183445969483731,3.0
wiki2018,32,4,49968,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,32,8,49968,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,32,16,49968,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,64,4,49936,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,64,8,49936,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,64,16,49936,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,128,4,49872,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,128,8,49872,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,128,16,49872,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,256,4,49744,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,256,8,49744,1.0,0.0,1.0,0.0,0.0,0.0,0.0
wiki2018,256,16,49744,1.0,0.0,1.0,0.0,0.0,0.0,0.0
