trace_family,informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
cloudphysics,Z,0,uniform_random,0,465880,0.0,0.0,1.0
cloudphysics,Z,0,lru,1,465880,0.0,0.0,1.0
cloudphysics,Z,0,clean_linear,2,465880,0.0,0.0,1.0
cloudphysics,Z,0,clean_pairwise_logistic,3,465880,0.0,0.0,1.0
cloudphysics,Z,0,frozen_hgb,4,465880,0.0,0.0,1.0
cloudphysics,Q1,1,uniform_random,0,27589,0.010762045108557758,0.010762045108557758,0.9892379548914423
cloudphysics,Q1,1,lru,1,27589,0.010762045108557758,0.000978650911595201,0.9990213490884048
cloudphysics,Q1,1,clean_linear,2,27589,0.010762045108557758,0.12678966254666715,0.8732103374533329
cloudphysics,Q1,1,clean_pairwise_logistic,3,27589,0.010762045108557758,0.0002174779803544891,0.9997825220196455
cloudphysics,Q1,1,frozen_hgb,4,27589,0.010762045108557758,0.09699517923810214,0.9030048207618978
cloudphysics,Q2,2,uniform_random,0,27586,0.010762224271369535,0.010762224271369535,0.9892377757286305
cloudphysics,Q2,2,lru,1,27586,0.010762224271369535,0.0021750163126223448,0.9978249836873777
cloudphysics,Q2,2,clean_linear,2,27586,0.010762224271369535,0.22359167693757703,0.776408323062423
cloudphysics,Q2,2,clean_pairwise_logistic,3,27586,0.010762224271369535,0.0016312622344667586,0.9983687377655333
cloudphysics,Q2,2,frozen_hgb,4,27586,0.010762224271369535,0.13894729210469078,0.8610527078953092
cloudphysics,Q3,3,uniform_random,0,27584,0.01385172337224478,0.01385172337224478,0.9861482766277552
cloudphysics,Q3,3,lru,1,27584,0.01385172337224478,0.002066415313225058,0.997933584686775
cloudphysics,Q3,3,clean_linear,2,27584,0.01385172337224478,0.2364776682134571,0.7635223317865429
cloudphysics,Q3,3,clean_pairwise_logistic,3,27584,0.01385172337224478,0.001232598607888631,0.9987674013921114
cloudphysics,Q3,3,frozen_hgb,4,27584,0.01385172337224478,0.15280597447795824,0.8471940255220418
cloudphysics,Q4,4,uniform_random,0,27580,0.034114111221899925,0.034114111221899925,0.9664886806562727
cloudphysics,Q4,4,lru,1,27580,0.034114111221899925,0.05496736765772299,0.9495649021029732
cloudphysics,Q4,4,clean_linear,2,27580,0.034114111221899925,0.3445975344452502,0.656236403190718
cloudphysics,Q4,4,clean_pairwise_logistic,3,27580,0.034114111221899925,0.05438723712835388,0.9502175489485134
cloudphysics,Q4,4,frozen_hgb,4,27580,0.034114111221899925,0.22755620014503264,0.7729514140681654
metacdn,Z,0,uniform_random,0,30622,0.0,0.0,1.0
metacdn,Z,0,lru,1,30622,0.0,0.0,1.0
metacdn,Z,0,clean_linear,2,30622,0.0,0.0,1.0
metacdn,Z,0,clean_pairwise_logistic,3,30622,0.0,0.0,1.0
metacdn,Z,0,frozen_hgb,4,30622,0.0,0.0,1.0
metacdn,Q1,1,uniform_random,0,76588,0.014950173738052958,0.014950173738052958,0.985049826261947
metacdn,Q1,1,lru,1,76588,0.014950173738052958,0.00020891001201232568,0.9997910899879877
metacdn,Q1,1,clean_linear,2,76588,0.014950173738052958,0.7791429466757195,0.22085705332428057
metacdn,Q1,1,clean_pairwise_logistic,3,76588,0.014950173738052958,0.0001436256332584739,0.9998563743667416
metacdn,Q1,1,frozen_hgb,4,76588,0.014950173738052958,0.40226928500548387,0.5977307149945161
metacdn,Q2,2,uniform_random,0,76587,0.01819397384673639,0.01819397384673639,0.9818060261532636
metacdn,Q2,2,lru,1,76587,0.01819397384673639,0.00011751341611500646,0.999882486583885
metacdn,Q2,2,clean_linear,2,76587,0.01819397384673639,0.7861516967631582,0.21384830323684176
metacdn,Q2,2,clean_pairwise_logistic,3,76587,0.01819397384673639,0.00011751341611500646,0.999882486583885
metacdn,Q2,2,frozen_hgb,4,76587,0.01819397384673639,0.4219906772689882,0.5780093227310118
metacdn,Q3,3,uniform_random,0,76584,0.026549534253238274,0.026549534253238274,0.9734504657467618
metacdn,Q3,3,lru,1,76584,0.026549534253238274,0.0005092447508617988,0.9994907552491382
metacdn,Q3,3,clean_linear,2,76584,0.026549534253238274,0.7948265956335527,0.2051734043664473
metacdn,Q3,3,clean_pairwise_logistic,3,76584,0.026549534253238274,0.0005223023085762039,0.9994776976914238
metacdn,Q3,3,frozen_hgb,4,76584,0.026549534253238274,0.44148908388175073,0.5585109161182492
metacdn,Q4,4,uniform_random,0,76579,0.042887798058214396,0.042887798058214396,0.957466921414487
metacdn,Q4,4,lru,1,76579,0.042887798058214396,0.013646038731244859,0.9864061949098317
metacdn,Q4,4,clean_linear,2,76579,0.042887798058214396,0.8055472126823281,0.2020788989148461
metacdn,Q4,4,clean_pairwise_logistic,3,76579,0.042887798058214396,0.013228169602632575,0.9868240640384439
metacdn,Q4,4,frozen_hgb,4,76579,0.042887798058214396,0.48863265386071897,0.516251191579937
metakv,Z,0,uniform_random,0,393042,0.0,0.0,1.0
metakv,Z,0,lru,1,393042,0.0,0.0,1.0
metakv,Z,0,clean_linear,2,393042,0.0,0.0,1.0
metakv,Z,0,clean_pairwise_logistic,3,393042,0.0,0.0,1.0
metakv,Z,0,frozen_hgb,4,393042,0.0,0.0,1.0
metakv,Q1,1,uniform_random,0,15256,0.014147609956738333,0.014147609956738333,0.9858523900432616
metakv,Q1,1,lru,1,15256,0.014147609956738333,0.0,1.0
metakv,Q1,1,clean_linear,2,15256,0.014147609956738333,0.09445464079706345,0.9055453592029366
metakv,Q1,1,clean_pairwise_logistic,3,15256,0.014147609956738333,0.0,1.0
metakv,Q1,1,frozen_hgb,4,15256,0.014147609956738333,0.06875983219716833,0.9312401678028317
metakv,Q2,2,uniform_random,0,15255,0.014147513110455588,0.014147513110455588,0.9858524868895444
metakv,Q2,2,lru,1,15255,0.014147513110455588,0.0,1.0
metakv,Q2,2,clean_linear,2,15255,0.014147513110455588,0.09472304162569649,0.9052769583743036
metakv,Q2,2,clean_pairwise_logistic,3,15255,0.014147513110455588,0.0,1.0
metakv,Q2,2,frozen_hgb,4,15255,0.014147513110455588,0.08285807931825631,0.9171419206817437
metakv,Q3,3,uniform_random,0,15251,0.014147381729066946,0.014147381729066946,0.9858526182709331
metakv,Q3,3,lru,1,15251,0.014147381729066946,0.00019670841256311063,0.9998032915874369
metakv,Q3,3,clean_linear,2,15251,0.014147381729066946,0.104321028129303,0.895678971870697
metakv,Q3,3,clean_pairwise_logistic,3,15251,0.014147381729066946,0.00019670841256311063,0.9998032915874369
metakv,Q3,3,frozen_hgb,4,15251,0.014147381729066946,0.06622516556291391,0.9337748344370861
metakv,Q4,4,uniform_random,0,15249,0.020252352613286118,0.020252352613286118,0.9797581501245983
metakv,Q4,4,lru,1,15249,0.020252352613286118,0.003869106170896452,0.9961308938291036
metakv,Q4,4,clean_linear,2,15249,0.020252352613286118,0.10689225522985114,0.8933044789822283
metakv,Q4,4,clean_pairwise_logistic,3,15249,0.020252352613286118,0.003672371958816972,0.996327628041183
metakv,Q4,4,frozen_hgb,4,15249,0.020252352613286118,0.0838743524165519,0.9162568037248344
twemcache,Z,0,uniform_random,0,110900,0.0,0.0,1.0
twemcache,Z,0,lru,1,110900,0.0,0.0,1.0
twemcache,Z,0,clean_linear,2,110900,0.0,0.0,1.0
