trace_family,informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
twemcache,Z,0,clean_pairwise_logistic,3,110900,0.0,0.0,1.0
twemcache,Z,0,frozen_hgb,4,110900,0.0,0.0,1.0
twemcache,Q1,1,uniform_random,0,71653,0.015247311696649129,0.015247311696649129,0.9847526883033508
twemcache,Q1,1,lru,1,71653,0.015247311696649129,0.001256053479965947,0.9987439465200341
twemcache,Q1,1,clean_linear,2,71653,0.015247311696649129,0.05325666755055615,0.9467433324494439
twemcache,Q1,1,clean_pairwise_logistic,3,71653,0.015247311696649129,0.00118627273107895,0.998813727268921
twemcache,Q1,1,frozen_hgb,4,71653,0.015247311696649129,0.04076591349978368,0.9592340865002164
twemcache,Q2,2,uniform_random,0,71650,0.022268350924633636,0.022268350924633636,0.9777319761863223
twemcache,Q2,2,lru,1,71650,0.022268350924633636,0.0017864619678995114,0.9982135380321004
twemcache,Q2,2,clean_linear,2,71650,0.022268350924633636,0.06961618981158409,0.9303838101884159
twemcache,Q2,2,clean_pairwise_logistic,3,71650,0.022268350924633636,0.0017725052337752966,0.9982274947662247
twemcache,Q2,2,frozen_hgb,4,71650,0.022268350924633636,0.05141660851360782,0.9485833914863921
twemcache,Q3,3,uniform_random,0,71647,0.03604313945454799,0.03604313945454799,0.9639596956257763
twemcache,Q3,3,lru,1,71647,0.03604313945454799,0.0039499211411503626,0.9960779934958895
twemcache,Q3,3,clean_linear,2,71647,0.03604313945454799,0.07324800759278127,0.9267799070442586
twemcache,Q3,3,clean_pairwise_logistic,3,71647,0.03604313945454799,0.004522171200468966,0.995505743436571
twemcache,Q3,3,frozen_hgb,4,71647,0.03604313945454799,0.06056080505813223,0.9394531522603877
twemcache,Q4,4,uniform_random,0,71644,0.06782717542641394,0.06782717542641394,0.933801809991067
twemcache,Q4,4,lru,1,71644,0.06782717542641394,0.05433811624141589,0.9471135056669086
twemcache,Q4,4,clean_linear,2,71644,0.06782717542641394,0.10164144938864385,0.9026436268215063
twemcache,Q4,4,clean_pairwise_logistic,3,71644,0.06782717542641394,0.054980179777790184,0.9464156105186756
twemcache,Q4,4,frozen_hgb,4,71644,0.06782717542641394,0.07422812796605438,0.9275724415163866
wiki2018,Z,0,uniform_random,0,598560,0.0,0.0,1.0
wiki2018,Z,0,lru,1,598560,0.0,0.0,1.0
wiki2018,Z,0,clean_linear,2,598560,0.0,0.0,1.0
wiki2018,Z,0,clean_pairwise_logistic,3,598560,0.0,0.0,1.0
wiki2018,Z,0,frozen_hgb,4,598560,0.0,0.0,1.0
