capacity,informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
32,Z,0,uniform_random,0,437100,0.0,0.0,1.0
32,Z,0,lru,1,437100,0.0,0.0,1.0
32,Z,0,clean_linear,2,437100,0.0,0.0,1.0
32,Z,0,clean_pairwise_logistic,3,437100,0.0,0.0,1.0
32,Z,0,frozen_hgb,4,437100,0.0,0.0,1.0
32,Q1,1,uniform_random,0,44058,0.03125,0.03125,0.96875
32,Q1,1,lru,1,44058,0.03125,0.001974669753506741,0.9980253302464933
32,Q1,1,clean_linear,2,44058,0.03125,0.4846792863952063,0.5153207136047937
32,Q1,1,clean_pairwise_logistic,3,44058,0.03125,0.0014299332697807435,0.9985700667302193
32,Q1,1,frozen_hgb,4,44058,0.03125,0.3852194834082346,0.6147805165917654
32,Q2,2,uniform_random,0,44055,0.03637640449438202,0.03637640449438202,0.9636235955056179
32,Q2,2,lru,1,44055,0.03637640449438202,0.002655771195097038,0.9973442288049029
32,Q2,2,clean_linear,2,44055,0.03637640449438202,0.5124049483600045,0.48759505163999545
32,Q2,2,clean_pairwise_logistic,3,44055,0.03637640449438202,0.0022698899103393484,0.9977301100896606
32,Q2,2,frozen_hgb,4,44055,0.03637640449438202,0.4044262853251617,0.5955737146748382
32,Q3,3,uniform_random,0,44052,0.054204406156360664,0.054204406156360664,0.9457984313992555
32,Q3,3,lru,1,44052,0.054204406156360664,0.004971397439389812,0.9950286025606102
32,Q3,3,clean_linear,2,44052,0.054204406156360664,0.5191591755198401,0.4808408244801598
32,Q3,3,clean_pairwise_logistic,3,44052,0.054204406156360664,0.00488059565967493,0.9951194043403251
32,Q3,3,frozen_hgb,4,44052,0.054204406156360664,0.40794969581403795,0.5920730046308907
32,Q4,4,uniform_random,0,44049,0.10357783377602216,0.10357783377602216,0.898825030080138
32,Q4,4,lru,1,44049,0.10357783377602216,0.08392926059615428,0.9172285409430407
32,Q4,4,clean_linear,2,44049,0.10357783377602216,0.5539285795364254,0.4588753433676133
32,Q4,4,clean_pairwise_logistic,3,44049,0.10357783377602216,0.08345251878589752,0.9177279847442621
32,Q4,4,frozen_hgb,4,44049,0.10357783377602216,0.4438466253490431,0.5652114690458353
64,Z,0,uniform_random,0,408959,0.0,0.0,1.0
64,Z,0,lru,1,408959,0.0,0.0,1.0
64,Z,0,clean_linear,2,408959,0.0,0.0,1.0
64,Z,0,clean_pairwise_logistic,3,408959,0.0,0.0,1.0
64,Z,0,frozen_hgb,4,408959,0.0,0.0,1.0
64,Q1,1,uniform_random,0,47557,0.015893756439640853,0.015893756439640853,0.9841062435603591
64,Q1,1,lru,1,47557,0.015893756439640853,0.0006728767584162163,0.9993271232415838
64,Q1,1,clean_linear,2,47557,0.015893756439640853,0.36654961414723386,0.6334503858527661
64,Q1,1,clean_pairwise_logistic,3,47557,0.015893756439640853,0.0005677397649136826,0.9994322602350864
64,Q1,1,frozen_hgb,4,47557,0.015893756439640853,0.17131021721302858,0.8286897827869715
64,Q2,2,uniform_random,0,47555,0.02129113657869835,0.02129113657869835,0.9787091919882241
64,Q2,2,lru,1,47555,0.02129113657869835,0.0014509515298075913,0.9985490484701924
64,Q2,2,clean_linear,2,47555,0.02129113657869835,0.37802544422247925,0.6219745557775208
64,Q2,2,clean_pairwise_logistic,3,47555,0.02129113657869835,0.0014509515298075913,0.9985490484701924
64,Q2,2,frozen_hgb,4,47555,0.02129113657869835,0.18990642414046893,0.8100935758595311
64,Q3,3,uniform_random,0,47552,0.03136632002860027,0.03136632002860027,0.968634665734354
64,Q3,3,lru,1,47552,0.03136632002860027,0.0025445827725437417,0.9974554172274562
64,Q3,3,clean_linear,2,47552,0.03136632002860027,0.3858933378196501,0.6141066621803499
64,Q3,3,clean_pairwise_logistic,3,47552,0.03136632002860027,0.003175471063257066,0.9968245289367429
64,Q3,3,frozen_hgb,4,47552,0.03136632002860027,0.1981199528936743,0.8018800471063257
64,Q4,4,uniform_random,0,47549,0.05437647216555553,0.05437647216555553,0.9464703516372585
64,Q4,4,lru,1,47549,0.05437647216555553,0.03726681949147195,0.9647311194767503
64,Q4,4,clean_linear,2,47549,0.05437647216555553,0.41672800689814715,0.5886559128477992
64,Q4,4,clean_pairwise_logistic,3,47549,0.05437647216555553,0.03815011882479127,0.9639109129529538
64,Q4,4,frozen_hgb,4,47549,0.05437647216555553,0.23075143536141665,0.7712044417337904
128,Z,0,uniform_random,0,386109,0.0,0.0,1.0
128,Z,0,lru,1,386109,0.0,0.0,1.0
128,Z,0,clean_linear,2,386109,0.0,0.0,1.0
128,Z,0,clean_pairwise_logistic,3,386109,0.0,0.0,1.0
128,Z,0,frozen_hgb,4,386109,0.0,0.0,1.0
128,Q1,1,uniform_random,0,49146,0.008193062507630326,0.008193062507630326,0.9918069374923697
128,Q1,1,lru,1,49146,0.008193062507630326,0.00012208521548040532,0.9998779147845196
128,Q1,1,clean_linear,2,49146,0.008193062507630326,0.3118056403369552,0.6881943596630448
128,Q1,1,clean_pairwise_logistic,3,49146,0.008193062507630326,0.00010173767956700444,0.999898262320433
128,Q1,1,frozen_hgb,4,49146,0.008193062507630326,0.041366540511944,0.958633459488056
128,Q2,2,uniform_random,0,49144,0.011755949352922025,0.011755949352922025,0.9882442096186717
128,Q2,2,lru,1,49144,0.011755949352922025,0.00010174181995767541,0.9998982581800423
128,Q2,2,clean_linear,2,49144,0.011755949352922025,0.3396752401106951,0.660324759889305
128,Q2,2,clean_pairwise_logistic,3,49144,0.011755949352922025,0.00016278691193228064,0.9998372130880677
128,Q2,2,frozen_hgb,4,49144,0.011755949352922025,0.059111997395409406,0.9408880026045906
128,Q3,3,uniform_random,0,49141,0.017648196007407257,0.017648196007407257,0.9823522809364889
128,Q3,3,lru,1,49141,0.017648196007407257,0.0005494393683482225,0.9994505606316518
128,Q3,3,clean_linear,2,49141,0.017648196007407257,0.34289086506176103,0.6571498341507092
128,Q3,3,clean_pairwise_logistic,3,49141,0.017648196007407257,0.0004883905496428644,0.9995116094503571
128,Q3,3,frozen_hgb,4,49141,0.017648196007407257,0.07547668952605767,0.9245233104739423
128,Q4,4,uniform_random,0,49138,0.029590292899588914,0.029590292899588914,0.9706462857157393
128,Q4,4,lru,1,49138,0.029590292899588914,0.014469453376205787,0.9861003703854451
