horizon,informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
8,Q1,1,lru,1,64867,0.0141719065549509,0.0006320625279417886,0.9993679374720582
8,Q1,1,clean_linear,2,64867,0.0141719065549509,0.35693033437649346,0.6430696656235065
8,Q1,1,clean_pairwise_logistic,3,64867,0.0141719065549509,0.00047790093576086454,0.9995220990642392
8,Q1,1,frozen_hgb,4,64867,0.0141719065549509,0.22237809672098294,0.777621903279017
8,Q2,2,uniform_random,0,64864,0.016225535350888012,0.016225535350888012,0.983774464649112
8,Q2,2,lru,1,64864,0.016225535350888012,0.000878761716822891,0.9991212382831771
8,Q2,2,clean_linear,2,64864,0.016225535350888012,0.3880272570300937,0.6119727429699062
8,Q2,2,clean_pairwise_logistic,3,64864,0.016225535350888012,0.000832511100148002,0.999167488899852
8,Q2,2,frozen_hgb,4,64864,0.016225535350888012,0.23644856931425753,0.7635514306857425
8,Q3,3,uniform_random,0,64857,0.02628697798618499,0.02628697798618499,0.9737136845290408
8,Q3,3,lru,1,64857,0.02628697798618499,0.0018193872673728357,0.9981960312687913
8,Q3,3,clean_linear,2,64857,0.02628697798618499,0.3877145103843841,0.6122854896156159
8,Q3,3,clean_pairwise_logistic,3,64857,0.02628697798618499,0.0018502243397011888,0.998165194196463
8,Q3,3,frozen_hgb,4,64857,0.02628697798618499,0.24961068196185454,0.7503893180381455
8,Q4,4,uniform_random,0,64855,0.04372205304140005,0.04372205304140005,0.9567485881967466
8,Q4,4,lru,1,64855,0.04372205304140005,0.028340143396808265,0.9724616452085422
8,Q4,4,clean_linear,2,64855,0.04372205304140005,0.4156502968159741,0.5878035617916891
8,Q4,4,clean_pairwise_logistic,3,64855,0.04372205304140005,0.02835556240844962,0.9724462261969008
8,Q4,4,frozen_hgb,4,64855,0.04372205304140005,0.2769408680903554,0.7249402513298897
16,Z,0,uniform_random,0,487857,0.0,0.0,1.0
16,Z,0,lru,1,487857,0.0,0.0,1.0
16,Z,0,clean_linear,2,487857,0.0,0.0,1.0
16,Z,0,clean_pairwise_logistic,3,487857,0.0,0.0,1.0
16,Z,0,frozen_hgb,4,487857,0.0,0.0,1.0
16,Q1,1,uniform_random,0,74981,0.014790882440218188,0.014790882440218188,0.9852091175597818
16,Q1,1,lru,1,74981,0.014790882440218188,0.0004801216308131393,0.9995198783691869
16,Q1,1,clean_linear,2,74981,0.014790882440218188,0.37898934396713835,0.6210106560328617
16,Q1,1,clean_pairwise_logistic,3,74981,0.014790882440218188,0.00037342793507688616,0.9996265720649231
16,Q1,1,frozen_hgb,4,74981,0.014790882440218188,0.15854683186407223,0.8414531681359277
16,Q2,2,uniform_random,0,74978,0.023031182896983114,0.023031182896983114,0.9769691296947105
16,Q2,2,lru,1,74978,0.023031182896983114,0.0011736776120995491,0.9988263223879005
16,Q2,2,clean_linear,2,74978,0.023031182896983114,0.4008375790231801,0.5991624209768198
16,Q2,2,clean_pairwise_logistic,3,74978,0.023031182896983114,0.0010669796473632266,0.9989330203526368
16,Q2,2,frozen_hgb,4,74978,0.023031182896983114,0.18893542105684333,0.8110645789431566
16,Q3,3,uniform_random,0,74976,0.03461133604420081,0.03461133604420081,0.965390800056018
16,Q3,3,lru,1,74976,0.03461133604420081,0.002294067434912505,0.9977192701664532
16,Q3,3,clean_linear,2,74976,0.03461133604420081,0.4179204011950491,0.5821062740076824
16,Q3,3,clean_pairwise_logistic,3,74976,0.03461133604420081,0.0025074690567648316,0.997505868544601
16,Q3,3,frozen_hgb,4,74976,0.03461133604420081,0.206319355527102,0.7936939820742638
16,Q4,4,uniform_random,0,74970,0.06642427804455116,0.06642427804455116,0.9352254443444045
16,Q4,4,lru,1,74970,0.06642427804455116,0.051087101507269576,0.9510871015072696
16,Q4,4,clean_linear,2,74970,0.06642427804455116,0.4576363878884887,0.5508470054688542
16,Q4,4,clean_pairwise_logistic,3,74970,0.06642427804455116,0.05094037615046018,0.951233826864079
16,Q4,4,frozen_hgb,4,74970,0.06642427804455116,0.2585567560357476,0.7463518740829665
