family,internal_family,capacity,horizon,decision_count,candidate_row_count,all_tied_decision_count,discriminative_decision_count,all_tied_fraction,discriminative_fraction,mean_optimal_set_fraction,random_optimal_probability,mean_random_regret,source
alibaba-block,cloudphysics,32,16,49241,1575712,42818,6423,0.8695599195792124,0.13044008042078759,0.9920562894742186,0.9920562894742186,0.007971634410349098,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,32,32,49241,1575712,41162,8079,0.8359294084198128,0.16407059158018722,0.9844381460571475,0.9844381460571475,0.015795399159237222,long_horizon_validated_summary
alibaba-block,cloudphysics,32,64,49241,1575712,41162,8079,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.9844140299750208,0.01582014987510408,long_horizon_validated_summary
alibaba-block,cloudphysics,32,128,49241,1575712,41162,8079,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.9844140299750208,0.01582014987510408,long_horizon_validated_summary
alibaba-block,cloudphysics,64,16,48511,3104704,37186,11325,0.7665477932839975,0.23345220671600253,0.993381655706953,0.993381655706953,0.00684219816124178,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,64,32,48511,3104704,32662,15849,0.6732905938859228,0.32670940611407717,0.9871668925604502,0.9871668925604502,0.013947545402073757,long_horizon_validated_summary
alibaba-block,cloudphysics,64,64,48511,3104704,29950,18561,0.6173857475624085,0.3826142524375915,0.9760418384490116,0.9760418384490116,0.02899793345839088,long_horizon_validated_summary
alibaba-block,cloudphysics,64,128,48511,3104704,29946,18565,0.6173032920368576,0.38269670796314237,0.9754256766506566,0.9754256766506566,0.03023669889303457,long_horizon_validated_summary
alibaba-block,cloudphysics,128,16,47620,6095360,31512,16108,0.6617387652246955,0.33826123477530445,0.9951712450125998,0.9951712450125998,0.004837122007559849,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,128,32,47620,6095360,25067,22553,0.5263964720705586,0.4736035279294414,0.9908451674716505,0.9908451674716505,0.009191909911801764,long_horizon_validated_summary
alibaba-block,cloudphysics,128,64,47620,6095360,18743,28877,0.3935951280974381,0.6064048719025619,0.9839955310268794,0.9839955310268794,0.01619001994960101,long_horizon_validated_summary
alibaba-block,cloudphysics,128,128,47620,6095360,15709,31911,0.329882402351953,0.670117597648047,0.9747831137127257,0.9747831137127257,0.02569987662746745,long_horizon_validated_summary
alibaba-block,cloudphysics,256,16,46701,11955456,26628,20073,0.5701805100533179,0.42981948994668207,0.9967550380345175,0.9967550380345175,0.003263530893342755,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,256,32,46701,11955456,18714,27987,0.4007194706751461,0.5992805293248539,0.9936677446682084,0.9936677446682084,0.0064169865206312494,long_horizon_validated_summary
alibaba-block,cloudphysics,256,64,46701,11955456,11481,35220,0.24584056015931136,0.7541594398406887,0.9884191786578446,0.9884191786578446,0.011935303847883343,long_horizon_validated_summary
alibaba-block,cloudphysics,256,128,46701,11955456,6861,39840,0.14691334232671677,0.8530866576732832,0.9802134690638316,0.9802134690638316,0.021244275417014624,long_horizon_validated_summary
metacdn,metacdn,32,16,29348,939136,357,28991,0.012164372359274908,0.9878356276407251,0.9404484547498978,0.9404484547498978,0.06007010699195857,canonical_h16_decision_view_summary
metacdn,metacdn,32,32,29348,939136,25,29323,0.0008518468038707918,0.9991481531961293,0.9246275299850075,0.9246275299850075,0.07688449809186317,long_horizon_validated_summary
metacdn,metacdn,32,64,29348,939136,1,29347,3.4073872154831676e-05,0.9999659261278452,0.9134342629821453,0.9134342629821453,0.08919155479078643,long_horizon_validated_summary
metacdn,metacdn,32,128,29348,939136,1,29347,3.4073872154831676e-05,0.9999659261278452,0.9132042643451002,0.9132042643451002,0.0894396551724138,long_horizon_validated_summary
metacdn,metacdn,64,16,28552,1827328,292,28260,0.010226954328943681,0.9897730456710563,0.9670562701386943,0.9670562701386943,0.03306467147660409,canonical_h16_decision_view_summary
metacdn,metacdn,64,32,28552,1827328,18,28534,0.0006304286915102269,0.9993695713084898,0.9571199040347437,0.9571199040347437,0.0432199364317736,long_horizon_validated_summary
metacdn,metacdn,64,64,28552,1827328,0,28552,0.0,1.0,0.9437358810240963,0.9437358810240963,0.05721523448444943,long_horizon_validated_summary
metacdn,metacdn,64,128,28552,1827328,0,28552,0.0,1.0,0.9311820319066966,0.9311820319066966,0.07107262626085738,long_horizon_validated_summary
metacdn,metacdn,128,16,27683,3543424,235,27448,0.008488964346349746,0.9915110356536503,0.9816592651627353,0.9816592651627353,0.018351176714951414,canonical_h16_decision_view_summary
metacdn,metacdn,128,32,27683,3543424,16,27667,0.0005779720406025358,0.9994220279593975,0.9752973395224506,0.9752973395224506,0.024732575046057147,long_horizon_validated_summary
metacdn,metacdn,128,64,27683,3543424,0,27683,0.0,1.0,0.966916180507893,0.966916180507893,0.03317948966874978,long_horizon_validated_summary
metacdn,metacdn,128,128,27683,3543424,0,27683,0.0,1.0,0.9561822124589098,0.9561822124589098,0.044128503955496154,long_horizon_validated_summary
metacdn,metacdn,256,16,26737,6844672,178,26559,0.006657440999364177,0.9933425590006358,0.9897828559206343,0.9897828559206343,0.010219773862063807,canonical_h16_decision_view_summary
metacdn,metacdn,256,32,26737,6844672,14,26723,0.0005236189550061713,0.9994763810449938,0.9856171340277518,0.9856171340277518,0.014388417735722032,long_horizon_validated_summary
metacdn,metacdn,256,64,26737,6844672,0,26737,0.0,1.0,0.9794286709428881,0.9794286709428881,0.020586085060029173,long_horizon_validated_summary
metacdn,metacdn,256,128,26737,6844672,0,26737,0.0,1.0,0.9705126849029435,0.9705126849029435,0.029529683818304224,long_horizon_validated_summary
metakv,metakv,32,16,38032,1217024,32968,5064,0.8668489692890198,0.13315103071098022,0.9953410943416071,0.9953410943416071,0.004660549011358856,canonical_h16_decision_view_summary
metakv,metakv,32,32,38032,1217024,32815,5217,0.8628260412284392,0.1371739587715608,0.9949277910706773,0.9949277910706773,0.005082890723601178,long_horizon_validated_summary
metakv,metakv,32,64,38032,1217024,32789,5243,0.862142406394615,0.13785759360538496,0.9945177745056795,0.9945177745056795,0.00551016249474127,long_horizon_validated_summary
metakv,metakv,32,128,38032,1217024,32789,5243,0.862142406394615,0.13785759360538496,0.9945177745056795,0.9945177745056795,0.00551016249474127,long_horizon_validated_summary
metakv,metakv,64,16,37977,2430528,32751,5226,0.8623903941859546,0.13760960581404535,0.9976227387629355,0.9976227387629355,0.002377261237064539,canonical_h16_decision_view_summary
metakv,metakv,64,32,37977,2430528,32433,5544,0.8540169049687969,0.1459830950312031,0.9974482910709114,0.9974482910709114,0.002551708929088659,long_horizon_validated_summary
metakv,metakv,64,64,37977,2430528,32118,5859,0.8457224109329331,0.1542775890670669,0.9972627346815177,0.9972627346815177,0.0027372653184822393,long_horizon_validated_summary
metakv,metakv,64,128,37977,2430528,32076,5901,0.8446164783948179,0.1553835216051821,0.997240105853543,0.997240105853543,0.0027598941464570662,long_horizon_validated_summary
metakv,metakv,128,16,37856,4845568,32401,5455,0.8559013102282333,0.14409868977176665,0.9987113997781065,0.9987113997781065,0.0012886002218934912,canonical_h16_decision_view_summary
metakv,metakv,128,32,37856,4845568,31939,5917,0.843697168216399,0.15630283178360105,0.9985186463176247,0.9985186463176247,0.001481353682375317,long_horizon_validated_summary
metakv,metakv,128,64,37856,4845568,31358,6498,0.8283495350803043,0.1716504649196957,0.9982086723372781,0.9982086723372781,0.0017913276627218935,long_horizon_validated_summary
metakv,metakv,128,128,37856,4845568,30984,6872,0.8184699915469146,0.18153000845308542,0.9978596936416948,0.9978596936416948,0.002140306358305156,long_horizon_validated_summary
metakv,metakv,256,16,37486,9596416,31220,6266,0.8328442618577603,0.16715573814223972,0.9991181082604172,0.9991181082604172,0.0008822043562930161,canonical_h16_decision_view_summary
metakv,metakv,256,32,37486,9596416,30641,6845,0.817398495438297,0.182601504561703,0.9987676649282399,0.9987676649282399,0.0012326476884703622,long_horizon_validated_summary
metakv,metakv,256,64,37486,9596416,30058,7428,0.8018460225150723,0.1981539774849277,0.9980556282678866,0.9980556282678866,0.0019448927599637197,long_horizon_validated_summary
metakv,metakv,256,128,37486,9596416,29720,7766,0.7928293229472336,0.20717067705276637,0.9966061287880809,0.9966061287880809,0.003395434295470309,long_horizon_validated_summary
twemcache,twemcache,32,16,37849,1211168,9186,28663,0.24270126027107716,0.7572987397289228,0.9347340748764829,0.9347340748764829,0.06696428571428571,canonical_h16_decision_view_summary
twemcache,twemcache,32,32,23171,741472,3988,19183,0.1721116913383108,0.8278883086616892,0.9392492231668896,0.9392492231668896,0.061690798843381814,long_horizon_validated_summary
twemcache,twemcache,32,64,23171,741472,2652,20519,0.1144534115920763,0.8855465884079237,0.9150325298864961,0.9150325298864961,0.08725346338095033,long_horizon_validated_summary
twemcache,twemcache,32,128,23171,741472,2615,20556,0.11285658797634975,0.8871434120236502,0.9131996892667559,0.9131996892667559,0.08924005222044798,long_horizon_validated_summary
twemcache,twemcache,64,16,34748,2223872,5016,29732,0.1443536318637044,0.8556463681362956,0.9554965393691723,0.9554965393691723,0.045000791412455395,canonical_h16_decision_view_summary
twemcache,twemcache,64,32,20390,1304960,1056,19334,0.05179009318293281,0.9482099068170672,0.9429047633643943,0.9429047633643943,0.07313021088769005,long_horizon_validated_summary
twemcache,twemcache,64,64,20390,1304960,98,20292,0.004806277587052476,0.9951937224129476,0.8946458128984797,0.8946458128984797,0.16947569274153998,long_horizon_validated_summary
twemcache,twemcache,64,128,20390,1304960,1,20389,4.9043648847474255e-05,0.9999509563511525,0.7879015448749387,0.7879015448749387,0.4822055848455125,long_horizon_validated_summary
twemcache,twemcache,128,16,31195,3992960,3174,28021,0.10174707485173906,0.8982529251482609,0.9713503265747716,0.9713503265747716,0.02891514064753967,canonical_h16_decision_view_summary
twemcache,twemcache,128,32,4532,580096,2,4530,0.000441306266548985,0.999558693733451,0.8961637384157105,0.8961637384157105,0.1041844798102383,long_horizon_validated_summary
twemcache,twemcache,128,64,4532,580096,1,4531,0.0002206531332744925,0.9997793468667255,0.803675598521624,0.803675598521624,0.19759832855251544,long_horizon_validated_summary
twemcache,twemcache,128,128,4532,580096,1,4531,0.0002206531332744925,0.9997793468667255,0.6285735464474845,0.6285735464474845,0.37471728817299205,long_horizon_validated_summary
twemcache,twemcache,256,16,28706,7348736,2415,26291,0.08412875357068209,0.9158712464293179,0.9838283753831951,0.9838283753831951,0.01622088478889431,canonical_h16_decision_view_summary
twemcache,twemcache,256,32,3531,903936,2,3529,0.0005664117813650524,0.9994335882186349,0.9455260106910224,0.9455260106910224,0.05447398930897763,long_horizon_validated_summary
twemcache,twemcache,256,64,3531,903936,1,3530,0.0002832058906825262,0.9997167941093175,0.8965612609742283,0.8965612609742283,0.10343873902577173,long_horizon_validated_summary
twemcache,twemcache,256,128,3531,903936,1,3530,0.0002832058906825262,0.9997167941093175,0.8035679517133957,0.8035679517133957,0.19643204828660435,long_horizon_validated_summary
wiki2018,wiki2018,32,16,49968,1598976,49968,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,32,32,49968,1598976,49968,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,32,64,49968,1598976,49968,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,32,128,49968,1598976,49968,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,64,16,49936,3195904,49936,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,64,32,49936,3195904,49936,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,64,64,49936,3195904,49936,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,64,128,49936,3195904,49936,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,128,16,49872,6383616,49872,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,128,32,49872,6383616,49872,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,128,64,49872,6383616,49872,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,128,128,49872,6383616,49872,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,256,16,49744,12734464,49744,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,256,32,49744,12734464,49744,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
wiki2018,wiki2018,256,64,49744,12734464,49744,0,1.0,0.0,1.0,1.0,0.0,long_horizon_validated_summary
