informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
Z,0,uniform_random,0,1000444,0.0,0.0,1.0
Z,0,lru,1,1000444,0.0,0.0,1.0
Z,0,clean_linear,2,1000444,0.0,0.0,1.0
Z,0,clean_pairwise_logistic,3,1000444,0.0,0.0,1.0
Z,0,frozen_hgb,4,1000444,0.0,0.0,1.0
Q1,1,uniform_random,0,191086,0.014392836373413018,0.014392836373413018,0.985607163626587
Q1,1,lru,1,191086,0.014392836373413018,0.0006960216865704447,0.9993039783134295
Q1,1,clean_linear,2,191086,0.014392836373413018,0.35810054111761197,0.6418994588823881
Q1,1,clean_pairwise_logistic,3,191086,0.014392836373413018,0.0005337910678961305,0.9994662089321039
Q1,1,frozen_hgb,4,191086,0.014392836373413018,0.19601122007891736,0.8039887799210826
Q2,2,uniform_random,0,191078,0.01832579496331341,0.01832579496331341,0.9816743276960195
Q2,2,lru,1,191078,0.01832579496331341,0.0010309925789468175,0.9989690074210532
Q2,2,clean_linear,2,191078,0.01832579496331341,0.38104857702090245,0.6189514229790976
Q2,2,clean_pairwise_logistic,3,191078,0.01832579496331341,0.000947257141062812,0.9990527428589372
Q2,2,frozen_hgb,4,191078,0.01832579496331341,0.21509540606453909,0.7849045939354609
Q3,3,uniform_random,0,191066,0.027286382715920154,0.027286382715920154,0.9727146803983964
Q3,3,lru,1,191066,0.027286382715920154,0.0019993091392503113,0.9980111584478661
Q3,3,clean_linear,2,191066,0.027286382715920154,0.3885201972093413,0.6114902703777753
Q3,3,clean_pairwise_logistic,3,191066,0.027286382715920154,0.0020987512168570022,0.9979117163702594
Q3,3,frozen_hgb,4,191066,0.027286382715920154,0.2270157955889588,0.7729894382045994
Q4,4,uniform_random,0,191052,0.04916677216804849,0.04916677216804849,0.9516741310938907
Q4,4,lru,1,191052,0.04916677216804849,0.034090195339488726,0.9671293679207755
Q4,4,clean_linear,2,191052,0.04916677216804849,0.4192785210309235,0.5855212193538932
Q4,4,clean_pairwise_logistic,3,191052,0.04916677216804849,0.03406402445407533,0.9671450704520236
Q4,4,frozen_hgb,4,191052,0.04916677216804849,0.26323723384209535,0.7394793040638151
