comparison,excluded_family,n_remaining,pearson,spearman,kendall,sign_agree,sign_disagree,sign_tied
mru_vs_lru,cloudphysics,8,0.8021245973621156,0.9036144578313252,0.7777777777777778,6,0,2
mru_vs_lru,metacdn,8,0.884898374311281,0.9036144578313252,0.7777777777777778,5,1,2
mru_vs_lru,metakv,8,0.8383433598257698,0.8554216867469879,0.7037037037037037,5,1,2
mru_vs_lru,twemcache,8,0.9933132182269169,0.9036144578313252,0.7777777777777778,5,1,2
mru_vs_lru,wiki2018,8,0.7940433941148602,0.9047619047619048,0.7857142857142856,7,1,0
random_vs_lru,cloudphysics,8,0.7461127718523407,0.8313253012048192,0.6296296296296297,5,1,2
random_vs_lru,metacdn,8,0.8328376646379405,0.7349397590361445,0.4814814814814815,4,2,2
random_vs_lru,metakv,8,0.7467646228976612,0.8313253012048192,0.6296296296296297,5,1,2
random_vs_lru,twemcache,8,0.8666660626544679,0.7590361445783131,0.5555555555555555,4,2,2
random_vs_lru,wiki2018,8,0.7163318189936789,0.8571428571428572,0.6428571428571428,6,2,0
