family,capacity,scored_window_request_count,predicted_lru_hits_from_stack_distance,actual_lru_hits_tier1,exact_match,predicted_lru_hit_rate,offline_all_tied_fraction_H16,cl_mru_minus_lru_miss_ratio_gap
cloudphysics,32,8192,134,134,True,0.016357421875,0.8696,0.01629999999999998
cloudphysics,128,8192,360,360,True,0.0439453125,0.6617,0.04280000000000006
metacdn,32,20480,8619,8619,True,0.420849609375,0.0122,0.2743
metacdn,128,20480,9236,9236,True,0.4509765625,0.0085,0.3016
metakv,32,4096,1061,1061,True,0.259033203125,0.8668,0.07420000000000004
metakv,128,4096,1110,1110,True,0.27099609375,0.8559,0.0625
twemcache,32,8192,2039,2039,True,0.2489013671875,0.2427,0.2037
twemcache,128,8192,3109,3109,True,0.3795166015625,0.1017,0.3287
wiki2018,32,4096,0,0,True,0.0,1.0,0.0
wiki2018,128,4096,0,0,True,0.0,1.0,0.0
