family,capacity,policy_spread_all7,policy_spread_old4,offline_discriminative_fraction,offline_all_tied_fraction,best_policy_all7
cloudphysics,32,0.0289306640625,0.0162353515625,0.13044008042078759,0.8695599195792124,s3fifo
cloudphysics,128,0.0733642578125,0.0428466796875,0.33826123477530445,0.6617387652246955,lirs
metacdn,32,0.27690429687500007,0.2743164062500001,0.9878356276407251,0.012164372359274908,arc
metacdn,128,0.30654296875,0.30156249999999996,0.9915110356536503,0.008488964346349746,arc
metakv,32,0.086669921875,0.07421875,0.13315103071098022,0.8668489692890198,s3fifo
metakv,128,0.121337890625,0.09326171875,0.14409868977176665,0.8559013102282333,s3fifo
twemcache,32,0.2037353515625,0.2037353515625,0.7572987397289228,0.24270126027107716,lru
twemcache,128,0.3287353515625,0.3287353515625,0.8982529251482609,0.10174707485173906,lru
wiki2018,32,0.0,0.0,0.0,1.0,lru
wiki2018,128,0.0,0.0,0.0,1.0,lru
