family,capacity,lru,mru,random,sieve,arc,lirs,s3fifo,best_policy_all7,lru_is_best_all7
cloudphysics,32,0.983642578125,0.9998779296875,0.986444091796875,0.985595703125,0.9739990234375,0.971923828125,0.970947265625,s3fifo,False
cloudphysics,128,0.9560546875,0.9989013671875,0.964190673828125,0.9698486328125,0.9273681640625,0.925537109375,0.9324951171875,lirs,False
metacdn,32,0.579150390625,0.853466796875,0.61031005859375,0.583837890625,0.5765625,0.608154296875,0.598291015625,arc,False
metacdn,128,0.5490234375,0.8505859375,0.5653710937499999,0.551025390625,0.54404296875,0.58896484375,0.557568359375,arc,False
metakv,32,0.740966796875,0.815185546875,0.74443359375,0.7412109375,0.7431640625,0.795166015625,0.728515625,s3fifo,False
metakv,128,0.72900390625,0.79150390625,0.71387939453125,0.6982421875,0.6865234375,0.72021484375,0.670166015625,s3fifo,False
twemcache,32,0.7510986328125,0.954833984375,0.78258056640625,0.814697265625,0.7545166015625,0.87451171875,0.8548583984375,lru,True
twemcache,128,0.6204833984375,0.94921875,0.66876220703125,0.71533203125,0.6241455078125,0.843505859375,0.7686767578125,lru,True
wiki2018,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,lru,True
wiki2018,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,lru,True
