metric,mean_value,std_value,max_value
regret_mean,0.008826200441884731,0.02226586207389241,0.875
regret_std,0.04713395870582419,0.07854789671675357,1.2381272084785957
regret_max,0.3249170857864854,0.47168575982443667,4.0
