family,capacity,horizon,H_over_C,n_decisions,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_random_regret,mean_random_regret_per_request
metakv,128,32,0.25,37856,0.843697168216399,0.15630283178360105,0.9985186463176245,0.0014813536823753,4.629230257422813e-05
metakv,128,64,0.5,37856,0.8283495350803042,0.17165046491969582,0.998208672337278,0.0017913276627218,2.7989494730028126e-05
metakv,128,128,1.0,37856,0.8184699915469145,0.18153000845308553,0.9978596936416948,0.0021403063583051,1.6721143424258592e-05
metakv,256,16,0.0625,37486,0.8328442618577602,0.16715573814223983,0.9991181082604172,0.000882204356293,5.51377722683125e-05
metakv,256,32,0.125,37486,0.817398495438297,0.182601504561703,0.9987676649282398,0.0012326476884703,3.8520240264696875e-05
metakv,256,64,0.25,37486,0.8018460225150723,0.1981539774849277,0.9980556282678866,0.0019448927599637,3.0388949374432812e-05
metakv,256,128,0.5,37486,0.7928293229472336,0.20717067705276637,0.9966061287880807,0.0033954342954703,2.6526830433361717e-05
twemcache,32,16,0.5,37849,0.2427012602710771,0.7572987397289229,0.9347340748764827,0.0669642857142857,0.004185267857142856
twemcache,32,32,1.0,37849,0.178155301328965,0.821844698671035,0.8931733665354434,0.1131552352770218,0.0035361011024069313
twemcache,32,64,2.0,37849,0.1737430315199873,0.8262569684800127,0.8812716320114137,0.1272862228856772,0.0019888472325887063
twemcache,32,128,4.0,37849,0.1737430315199873,0.8262569684800127,0.880729180427488,0.1280350867922534,0.0010002741155644796
twemcache,64,16,0.25,34748,0.1443536318637044,0.8556463681362956,0.9554965393691724,0.0450007914124553,0.002812549463278456
twemcache,64,32,0.5,34748,0.0839472775411534,0.9160527224588466,0.9264395612697132,0.075391029699551,0.0023559696781109687
twemcache,64,64,1.0,34748,0.0583055139864164,0.9416944860135836,0.8856197658858063,0.1209934744445723,0.0018905230381964422
twemcache,64,128,2.0,34748,0.0539023828709566,0.9460976171290434,0.8654832652238977,0.1449462918729135,0.0011323929052571367
twemcache,128,16,0.125,31195,0.101747074851739,0.8982529251482609,0.9713503265747716,0.0289151406475396,0.001807196290471225
twemcache,128,32,0.25,31195,0.0509697066837634,0.9490302933162366,0.9501677953197628,0.0508219466260618,0.0015881858320644312
twemcache,128,64,0.5,31195,0.0294598493348292,0.9705401506651709,0.917249358871614,0.0865358030133034,0.0013521219220828655
twemcache,128,128,1.0,31195,0.0187209488700112,0.9812790511299888,0.8661692078057381,0.1467011941016188,0.001146103078918897
twemcache,256,16,0.0625,28706,0.084128753570682,0.9158712464293179,0.9838283753831952,0.0162208847888943,0.0010138052993058937
twemcache,256,32,0.125,28706,0.0414895840590817,0.9585104159409183,0.9714212076743538,0.0287414053246708,0.0008981689163959624
twemcache,256,64,0.25,28706,0.0215634362154253,0.9784365637845747,0.9516778123475929,0.0489304555232355,0.0007645383675505547
twemcache,256,128,0.5,28706,0.0092315195429526,0.9907684804570474,0.9215006499076848,0.0810272678185745,0.0006330255298326133
wiki2018,32,16,0.5,49968,1.0,0.0,1.0,0.0,0.0
wiki2018,32,32,1.0,49968,1.0,0.0,1.0,0.0,0.0
wiki2018,32,64,2.0,49968,1.0,0.0,1.0,0.0,0.0
wiki2018,32,128,4.0,49968,1.0,0.0,1.0,0.0,0.0
wiki2018,64,16,0.25,49936,1.0,0.0,1.0,0.0,0.0
wiki2018,64,32,0.5,49936,1.0,0.0,1.0,0.0,0.0
wiki2018,64,64,1.0,49936,1.0,0.0,1.0,0.0,0.0
wiki2018,64,128,2.0,49936,1.0,0.0,1.0,0.0,0.0
wiki2018,128,16,0.125,49872,1.0,0.0,1.0,0.0,0.0
wiki2018,128,32,0.25,49872,1.0,0.0,1.0,0.0,0.0
wiki2018,128,64,0.5,49872,1.0,0.0,1.0,0.0,0.0
wiki2018,128,128,1.0,49872,1.0,0.0,1.0,0.0,0.0
wiki2018,256,16,0.0625,49744,1.0,0.0,1.0,0.0,0.0
wiki2018,256,32,0.125,49744,1.0,0.0,1.0,0.0,0.0
wiki2018,256,64,0.25,49744,1.0,0.0,1.0,0.0,0.0
wiki2018,256,128,0.5,49744,1.0,0.0,1.0,0.0,0.0
