family,capacity,horizon,H_over_C,n_decisions,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_random_regret,mean_random_regret_per_request
alibaba-block,32,16,0.5,49241,0.8695599195792124,0.13044008042078759,0.9920562894742186,0.007971634410349,0.0004982271506468125
alibaba-block,32,32,1.0,49241,0.8359294084198127,0.16407059158018733,0.9844381460571476,0.0157953991592372,0.0004936062237261625
alibaba-block,32,64,2.0,49241,0.8359294084198127,0.16407059158018733,0.9844140299750208,0.015820149875104,0.0002471898417985
alibaba-block,32,128,4.0,49241,0.8359294084198127,0.16407059158018733,0.9844140299750208,0.015820149875104,0.00012359492089925
alibaba-block,64,16,0.25,48511,0.7665477932839974,0.23345220671600264,0.993381655706953,0.0068421981612417,0.0004276373850776063
alibaba-block,64,32,0.5,48511,0.6732905938859228,0.32670940611407717,0.9871668925604502,0.0139475454020737,0.0004358607938148031
alibaba-block,64,64,1.0,48511,0.6173857475624084,0.3826142524375916,0.9760418384490116,0.0289979334583908,0.00045309271028735627
alibaba-block,64,128,2.0,48511,0.6173032920368576,0.38269670796314237,0.9754256766506566,0.0302366988930345,0.00023622421010183203
alibaba-block,128,16,0.125,47620,0.6617387652246955,0.33826123477530445,0.9951712450125996,0.0048371220075598,0.0003023201254724875
alibaba-block,128,32,0.25,47620,0.5263964720705586,0.4736035279294414,0.9908451674716504,0.0091919099118017,0.0002872471847438031
alibaba-block,128,64,0.5,47620,0.393595128097438,0.606404871902562,0.9839955310268794,0.016190019949601,0.0002529690617125156
alibaba-block,128,128,1.0,47620,0.3298824023519529,0.6701175976480471,0.9747831137127256,0.0256998766274674,0.00020078028615208907
alibaba-block,256,16,0.0625,46701,0.5701805100533179,0.42981948994668207,0.9967550380345174,0.0032635308933427,0.00020397068083391874
alibaba-block,256,32,0.125,46701,0.4007194706751461,0.5992805293248539,0.9936677446682084,0.0064169865206312,0.000200530828769725
alibaba-block,256,64,0.25,46701,0.2458405601593113,0.7541594398406887,0.9884191786578445,0.0119353038478833,0.00018648912262317656
alibaba-block,256,128,0.5,46701,0.1469133423267167,0.8530866576732833,0.9802134690638316,0.0212442754170146,0.00016597090169542656
metacdn,32,16,0.5,29348,0.0121643723592749,0.9878356276407251,0.9404484547498978,0.0600701069919585,0.0037543816869974062
metacdn,32,32,1.0,29348,0.0008518468038707,0.9991481531961293,0.9246275299850076,0.0768844980918631,0.0024026405653707218
metacdn,32,64,2.0,29348,3.407387215483168e-05,0.9999659261278452,0.9134342629821453,0.0891915547907864,0.0013936180436060375
metacdn,32,128,4.0,29348,3.407387215483168e-05,0.9999659261278452,0.9132042643451,0.0894396551724137,0.000698747306034482
metacdn,64,16,0.25,28552,0.0102269543289436,0.9897730456710564,0.9670562701386944,0.033064671476604,0.00206654196728775
metacdn,64,32,0.5,28552,0.0006304286915102,0.9993695713084898,0.9571199040347436,0.0432199364317736,0.001350623013492925
metacdn,64,64,1.0,28552,0.0,1.0,0.9437358810240964,0.0572152344844494,0.0008939880388195219
metacdn,64,128,2.0,28552,0.0,1.0,0.9311820319066964,0.0710726262608573,0.0005552548926629476
metacdn,128,16,0.125,27683,0.0084889643463497,0.9915110356536503,0.9816592651627352,0.0183511767149514,0.0011469485446844625
metacdn,128,32,0.25,27683,0.0005779720406025,0.9994220279593975,0.9752973395224503,0.0247325750460571,0.0007728929701892843
metacdn,128,64,0.5,27683,0.0,1.0,0.9669161805078929,0.0331794896687497,0.0005184295260742141
metacdn,128,128,1.0,27683,0.0,1.0,0.9561822124589096,0.0441285039554961,0.00034475393715231327
metacdn,256,16,0.0625,26737,0.0066574409993641,0.993342559000636,0.9897828559206344,0.0102197738620638,0.0006387358663789875
metacdn,256,32,0.125,26737,0.0005236189550061,0.9994763810449939,0.9856171340277516,0.014388417735722,0.0004496380542413125
metacdn,256,64,0.25,26737,0.0,1.0,0.979428670942888,0.0205860850600291,0.0003216575790629547
metacdn,256,128,0.5,26737,0.0,1.0,0.9705126849029436,0.0295296838183042,0.00023070065483050156
metakv,32,16,0.5,38032,0.8668489692890197,0.13315103071098033,0.9953410943416072,0.0046605490113588,0.000291284313209925
metakv,32,32,1.0,38032,0.8628260412284392,0.1371739587715608,0.9949277910706772,0.0050828907236011,0.00015884033511253436
metakv,32,64,2.0,38032,0.862142406394615,0.13785759360538496,0.9945177745056794,0.0055101624947412,8.609628898033125e-05
metakv,32,128,4.0,38032,0.862142406394615,0.13785759360538496,0.9945177745056794,0.0055101624947412,4.3048144490165626e-05
metakv,64,16,0.25,37977,0.8623903941859546,0.13760960581404535,0.9976227387629356,0.0023772612370645,0.00014857882731653124
metakv,64,32,0.5,37977,0.8540169049687969,0.1459830950312031,0.9974482910709112,0.0025517089290886,7.974090403401875e-05
metakv,64,64,1.0,37977,0.8457224109329331,0.1542775890670669,0.9972627346815176,0.0027372653184822,4.276977060128437e-05
metakv,64,128,2.0,37977,0.8446164783948179,0.1553835216051821,0.9972401058535428,0.002759894146457,2.156167301919531e-05
metakv,128,16,0.125,37856,0.8559013102282333,0.14409868977176665,0.9987113997781064,0.0012886002218934,8.05375138683375e-05
