family,capacity,horizon,scored_split_label,is_metacdn_validation_window,is_wiki2018_offline_degenerate_control,is_metakv_first_window_no_warmup,offline_lru_mean_regret,offline_lru_optimal_rate,offline_mru_mean_regret,offline_mru_optimal_rate,offline_random_mean_regret,offline_random_optimal_probability,offline_all_tied_fraction,offline_unique_winner_fraction,offline_n_decisions,cl_lru_miss_ratio,cl_mru_miss_ratio,cl_random_mean_miss_ratio,cl_random_miss_ratio_std,cl_random_n_seeds,cl_sieve_miss_ratio,offline_mru_minus_lru_regret_gap,offline_random_minus_lru_regret_gap,cl_mru_minus_lru_miss_ratio_gap,cl_random_minus_lru_miss_ratio_gap
cloudphysics,32,4,test,False,False,False,0.002172985926362178,0.9978270140736378,0.0006904815093113462,0.9993095184906886,0.0018283798054466807,0.9981728894620336,0.9500822485327268,0.0,49241,0.983642578125,0.9998779296875,0.986444091796875,0.0009591201291952737,20,0.985595703125,-0.0014825044170508317,-0.00034460612091549736,0.0162353515625,0.002801513671874978
cloudphysics,32,8,test,False,False,False,0.004345971852724356,0.9956540281472757,0.0019495948498202717,0.9980707134298653,0.0038071678073150423,0.9961979092626063,0.9146646087609919,0.0,49241,0.983642578125,0.9998779296875,0.986444091796875,0.0009591201291952737,20,0.985595703125,-0.0023963770029040844,-0.0005388040454093138,0.0162353515625,0.002801513671874978
cloudphysics,32,16,test,False,False,False,0.008631018866391829,0.9913892894132939,0.005970634227574582,0.9940496740521111,0.007971634410349098,0.9920562894742186,0.8695599195792124,0.0,49241,0.983642578125,0.9998779296875,0.986444091796875,0.0009591201291952737,20,0.985595703125,-0.0026603846388172465,-0.0006593844560427303,0.0162353515625,0.002801513671874978
cloudphysics,128,4,test,False,False,False,0.0004619907601847963,0.9995380092398152,0.0006719865602687946,0.9993280134397312,0.0012260145422091557,0.9987746416946661,0.8674296514069718,0.0,47620,0.9560546875,0.9989013671875,0.964190673828125,0.001364083459216698,20,0.9698486328125,0.00020999580008399833,0.0007640237820243594,0.0428466796875,0.008135986328124956
cloudphysics,128,8,test,False,False,False,0.0009029819403611927,0.9990970180596388,0.0018899622007559848,0.998110037799244,0.002442841768164637,0.9975591269424612,0.7787484250314993,0.0,47620,0.9560546875,0.9989013671875,0.964190673828125,0.001364083459216698,20,0.9698486328125,0.000986980260394792,0.001539859827803444,0.0428466796875,0.008135986328124956
cloudphysics,128,16,test,False,False,False,0.001742965140697186,0.9982570348593028,0.005837883242335153,0.9941621167576649,0.004837122007559849,0.9951712450125998,0.6617387652246955,0.0,47620,0.9560546875,0.9989013671875,0.964190673828125,0.001364083459216698,20,0.9698486328125,0.004094918101637967,0.0030941568668626626,0.0428466796875,0.008135986328124956
metacdn,32,4,validation,True,False,False,0.003816273681341148,0.9961837263186588,0.19660624233337876,0.8035300531552405,0.031237222297941937,0.9688064348507565,0.23211121711871338,0.0,29348,0.579150390625,0.853466796875,0.61031005859375,0.0013441651355557529,20,0.583837890625,0.1927899686520376,0.02742094861660079,0.2743164062500001,0.031159667968750027
metacdn,32,8,validation,True,False,False,0.007428104129753305,0.9925718958702467,0.26942210712825404,0.7314978874199264,0.04585171902685021,0.9543229095679433,0.07424696742537822,0.0,29348,0.579150390625,0.853466796875,0.61031005859375,0.0013441651355557529,20,0.583837890625,0.26199400299850073,0.038423614897096905,0.2743164062500001,0.031159667968750027
metacdn,32,16,validation,True,False,False,0.01444732179364863,0.9856889736949707,0.31794330107673435,0.6848507564399618,0.06007010699195857,0.9404484547498978,0.012164372359274908,0.0,29348,0.579150390625,0.853466796875,0.61031005859375,0.0013441651355557529,20,0.583837890625,0.30349597928308575,0.04562278519830994,0.2743164062500001,0.031159667968750027
metacdn,128,4,validation,True,False,False,0.00032510927283892644,0.9996748907271611,0.19730520536069068,0.8026947946393094,0.008779361431203265,0.9912212029946177,0.19260918253079506,0.0,27683,0.5490234375,0.8505859375,0.5653710937499999,0.001375660276901806,20,0.551025390625,0.19698009608785175,0.008454252158364338,0.30156249999999996,0.016347656249999898
metacdn,128,8,validation,True,False,False,0.0005057255355272189,0.9994942744644728,0.2693710941733194,0.7306650290792183,0.013312829624679405,0.9866894280786042,0.0546544810894773,0.0,27683,0.5490234375,0.8505859375,0.5653710937499999,0.001375660276901806,20,0.551025390625,0.26886536863779215,0.012807104089152187,0.30156249999999996,0.016347656249999898
metacdn,128,16,validation,True,False,False,0.0009392045659791208,0.9990607954340209,0.3158978434418235,0.6843188960734025,0.018351176714951414,0.9816592651627353,0.008488964346349746,0.0,27683,0.5490234375,0.8505859375,0.5653710937499999,0.001375660276901806,20,0.551025390625,0.31495863887584435,0.017411972148972294,0.30156249999999996,0.016347656249999898
