family,capacity,learned_miss_ratio,random_mean,random_median,random_std,random_min,random_max,learned_minus_random_mean,seeds_better_than_learned,seeds_equal_to_learned,seeds_worse_than_learned
alibaba-block,32,0.988399071925754,0.9806475427125079,0.9807530056950011,0.0006789883401316002,0.9788019405188779,0.9817549040286859,0.007751529213246178,20,0,0
alibaba-block,128,0.9700782406428421,0.9614506238105308,0.9612497356735039,0.0008942833771956275,0.9603510255868049,0.9631000211461197,0.00862761683231128,20,0,0
metacdn,32,0.7031332419031543,0.5935699968351091,0.5939445089144424,0.0015966151823210368,0.5903576326616732,0.596265428842705,0.10956324506804516,20,0,0
metacdn,128,0.5634458672875436,0.5460154513705154,0.5461424489363954,0.001410815051790432,0.5434437506614457,0.5479944967721452,0.017430415917028208,20,0,0
metakv,32,0.7744011818085892,0.769536773240477,0.7696528437269178,0.0005671564693627298,0.7678590271182864,0.7703914740951778,0.004864408568112211,20,0,0
metakv,128,0.764973544973545,0.7668465608465609,0.7668253968253969,0.00031939446079970555,0.7663492063492063,0.7675132275132275,-0.0018730158730159152,0,0,20
twemcache,32,0.4737341772151899,0.44614978902953584,0.4458860759493671,0.001541853500979749,0.4438818565400844,0.44926160337552745,0.027584388185654063,20,0,0
twemcache,128,0.39085327122591573,0.16427588397205167,0.16414355282659326,0.0033672491409350866,0.15858564471734068,0.17086597501587975,0.22657738725386406,20,0,0
wiki2018,32,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,20,0
wiki2018,128,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,20,0
