comparator,family,capacity,learned_miss_ratio,comparator_miss_ratio,diff_learned_minus_comparator,outcome
lru,alibaba-block,32,0.988399071925754,0.9771145327989875,0.011284539126766524,loss
lru,alibaba-block,128,0.9700782406428421,0.9517868471135547,0.018291393529287436,loss
lru,metacdn,32,0.7031332419031543,0.5636670534866547,0.1394661884164996,loss
lru,metacdn,128,0.5634458672875436,0.530743994073447,0.03270187321409668,loss
lru,metakv,32,0.7744011818085892,0.7662762477577293,0.0081249340508599,loss
lru,metakv,128,0.764973544973545,0.7658201058201058,-0.0008465608465608732,win
lru,twemcache,32,0.4737341772151899,0.4637130801687764,0.010021097046413519,loss
lru,twemcache,128,0.39085327122591573,0.09834850730467923,0.2925047639212365,loss
lru,wiki2018,32,1.0,1.0,0.0,tie
lru,wiki2018,128,1.0,1.0,0.0,tie
mru,alibaba-block,32,0.988399071925754,0.9991562961400549,-0.010757224214300809,win
mru,alibaba-block,128,0.9700782406428421,0.9984140410234722,-0.028335800380630105,win
mru,metacdn,32,0.7031332419031543,0.840384006751767,-0.13725076484861276,win
mru,metacdn,128,0.5634458672875436,0.8309874060747169,-0.26754153878717324,win
mru,metakv,32,0.7744011818085892,0.8227287116176005,-0.04832752980901134,win
mru,metakv,128,0.764973544973545,0.8212698412698413,-0.05629629629629629,win
mru,twemcache,32,0.4737341772151899,0.625,-0.1512658227848101,win
mru,twemcache,128,0.39085327122591573,0.5459453737031548,-0.15509210247723904,win
mru,wiki2018,32,1.0,1.0,0.0,tie
mru,wiki2018,128,1.0,1.0,0.0,tie
sieve,alibaba-block,32,0.988399071925754,0.9674119384096183,0.020987133516135792,loss
sieve,alibaba-block,128,0.9700782406428421,0.9402622118841193,0.0298160287587228,loss
sieve,metacdn,32,0.7031332419031543,0.564827513450786,0.13830572845236833,loss
sieve,metacdn,128,0.5634458672875436,0.529897343634247,0.033548523653296636,loss
sieve,metakv,32,0.7744011818085892,0.7679645457423235,0.006436636066265655,loss
sieve,metakv,128,0.764973544973545,0.7665608465608466,-0.0015873015873015817,win
sieve,twemcache,32,0.4737341772151899,0.45664556962025316,0.017088607594936744,loss
sieve,twemcache,128,0.39085327122591573,0.10290069870844802,0.2879525725174677,loss
sieve,wiki2018,32,1.0,1.0,0.0,tie
sieve,wiki2018,128,1.0,1.0,0.0,tie
lfu,alibaba-block,32,0.988399071925754,0.9745834212191521,0.013815650706601956,loss
lfu,alibaba-block,128,0.9700782406428421,0.9402622118841193,0.0298160287587228,loss
lfu,metacdn,32,0.7031332419031543,0.6383584766325562,0.06477476527059811,loss
lfu,metacdn,128,0.5634458672875436,0.5988993544290401,-0.03545348714149643,win
lfu,metakv,32,0.7744011818085892,0.8155534451830748,-0.04115226337448563,win
lfu,metakv,128,0.764973544973545,0.8025396825396826,-0.03756613756613758,win
lfu,twemcache,32,0.4737341772151899,0.5771097046413503,-0.10337552742616035,win
lfu,twemcache,128,0.39085327122591573,0.47723904298115605,-0.08638577175524031,win
lfu,wiki2018,32,1.0,1.0,0.0,tie
lfu,wiki2018,128,1.0,1.0,0.0,tie
random_mean,alibaba-block,32,0.988399071925754,0.9806475427125079,0.007751529213246178,loss
random_mean,alibaba-block,128,0.9700782406428421,0.9614506238105308,0.00862761683231128,loss
random_mean,metacdn,32,0.7031332419031543,0.5935699968351091,0.10956324506804516,loss
random_mean,metacdn,128,0.5634458672875436,0.5460154513705154,0.017430415917028208,loss
random_mean,metakv,32,0.7744011818085892,0.769536773240477,0.004864408568112211,loss
random_mean,metakv,128,0.764973544973545,0.7668465608465609,-0.0018730158730159152,win
random_mean,twemcache,32,0.4737341772151899,0.44614978902953584,0.027584388185654063,loss
random_mean,twemcache,128,0.39085327122591573,0.16427588397205167,0.22657738725386406,loss
random_mean,wiki2018,32,1.0,1.0,0.0,tie
random_mean,wiki2018,128,1.0,1.0,0.0,tie
