family,learned,lru,mru,sieve,lfu,random_mean
alibaba-block,0.979239,0.964451,0.998785,0.953837,0.957423,0.971049
metacdn,0.63329,0.547206,0.835686,0.547362,0.618629,0.569793
metakv,0.769687,0.766048,0.821999,0.767263,0.809047,0.768192
twemcache,0.432294,0.281031,0.585473,0.279773,0.527174,0.305213
wiki2018,1.0,1.0,1.0,1.0,1.0,1.0
