family,capacity,horizon,sample_jaccard_mean,population_jaccard_mean,delta_population_minus_sample_jaccard,sample_reversal_fraction,population_reversal_fraction,delta_population_minus_sample_reversal_fraction,sample_ccr_mean,population_ccr_mean,delta_population_minus_sample_ccr_mean,sample_fraction_still_optimal,population_fraction_still_optimal,delta_population_minus_sample_fraction_still_optimal
cloudphysics,32,4,0.9972638248847927,0.9978061541422784,0.000542329257485652,0.0,0.0,0.0,0.0013536866359447005,0.00011811333630803956,-0.001235573299636661,0.9986463133640553,0.9998818866636919,0.0012355732996366386
cloudphysics,32,8,0.9943861234705228,0.9934793749890803,-0.0009067484814424542,0.0,0.0,0.0,0.0022609447004608295,0.0008552171688640947,-0.0014057275315967348,0.9977390552995392,0.9991447828311358,0.0014057275315966233
cloudphysics,32,16,0.9881524445150697,0.9804326226680316,-0.007719821847038122,0.0,3.452813226660238e-05,3.452813226660238e-05,0.0032565284178187404,0.0038991050730797167,0.0006425766552609763,0.9967434715821811,0.9961008949269202,-0.0006425766552609069
cloudphysics,128,4,1.0,0.9999562859964856,-4.371400351443899e-05,0.0,0.0,0.0,0.0,4.989080150819893e-06,4.989080150819893e-06,1.0,0.9999950109198492,-4.989080150785696e-06
cloudphysics,128,8,1.0,0.9998566904059397,-0.00014330959406028132,0.0,1.1677249056851947e-08,1.1677249056851947e-08,0.0,4.0470515022758866e-05,4.0470515022758866e-05,1.0,0.9999595294849772,-4.047051502276133e-05
cloudphysics,128,16,0.9995014933478144,0.9995555068172334,5.4013469419023075e-05,0.0,3.895335422903277e-07,3.895335422903277e-07,4.597701149425287e-05,0.00017038100615350747,0.0001244039946592546,0.9999540229885057,0.9998296189938465,-0.0001244039946591835
metacdn,32,4,0.9996735595558768,0.9997813542414039,0.00010779468552712945,8.212338216937127e-06,3.578503784625603e-07,-7.854487838474566e-06,0.00012934432691675974,5.887831560303992e-05,-7.046601131371982e-05,0.9998706556730832,0.999941121684397,7.04660113137745e-05
metacdn,32,8,0.9980156253421807,0.9989434296483168,0.0009278043061361485,1.6424676433874253e-05,5.120280585439525e-06,-1.1304395848434729e-05,0.0008609267897422421,0.000476387074689031,-0.0003845397150532111,0.9992726605785865,0.9995631899733144,0.00029052939472784534
metacdn,32,16,0.9961951980826765,0.9957351230127841,-0.0004600750698924294,3.6955521976217065e-05,3.623204531773487e-05,-7.234766584821953e-07,0.0023374553068102586,0.0021803267092616796,-0.00015712859754857906,0.9979977591239482,0.9981257345326472,0.00012797540869902146
metacdn,128,4,1.0,0.9999943465972395,-5.6534027604859816e-06,0.0,0.0,0.0,0.0,2.4744121874479795e-06,2.4744121874479795e-06,1.0,0.9999975255878126,-2.4744121873698788e-06
metacdn,128,8,1.0,0.999976067145341,-2.3932854658959002e-05,0.0,3.290869210702885e-08,3.290869210702885e-08,0.0,1.752772971370739e-05,1.752772971370739e-05,1.0,0.9999839814435044,-1.6018556495578373e-05
metacdn,128,16,0.999952182090599,0.9998827460843968,-6.943600620223922e-05,0.0,4.5271717802252274e-07,4.5271717802252274e-07,4.781790940100099e-05,0.00010470844693070151,5.6890537529700525e-05,0.999952182090599,0.999912638938289,-3.9543152310028695e-05
metakv,32,4,1.0,0.9999782627597601,-2.1737240239905198e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
metakv,32,8,0.9986559139784946,0.9997953336062219,0.001139419627727234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
metakv,32,16,0.9986559139784946,0.9992791197404407,0.0006232057619460774,0.0,0.0,0.0,0.0,2.5480303725220403e-05,2.5480303725220403e-05,1.0,0.9999745196962748,-2.5480303725178288e-05
metakv,128,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
metakv,128,8,1.0,0.9999891797977549,-1.0820202245076516e-05,0.0,0.0,0.0,0.0,1.0820202245037391e-05,1.0820202245037391e-05,1.0,0.9999891797977549,-1.0820202245076516e-05
metakv,128,16,1.0,0.9999234742769895,-7.652572301053429e-05,0.0,6.766168436094892e-08,6.766168436094892e-08,0.0,8.229952007603083e-05,8.229952007603083e-05,1.0,0.9999234742769895,-7.652572301053429e-05
twemcache,32,4,0.9987026149573996,0.9989532511069319,0.0002506361495322462,0.0,3.4607696382526715e-07,3.4607696382526715e-07,0.000512298027715485,0.00023151779819990758,-0.0002807802295155774,0.9994877019722844,0.9997703279456073,0.00028262597332284756
twemcache,32,8,0.9962355748245298,0.9958154755315507,-0.00042009929297914805,1.6172158012765223e-05,5.822328850533899e-06,-1.0349829162231324e-05,0.0016500522749295897,0.0015771751177613995,-7.287715716819019e-05,0.9984390742847852,0.9984541954310212,1.5121146236030114e-05
twemcache,32,16,0.983251537205099,0.9833958719069875,0.000144334701888571,0.00012398654476453337,9.284758478109916e-05,-3.1138959983434216e-05,0.007002719081677231,0.007534387762710018,0.0005316686810327865,0.9934724311906332,0.9927939186219146,-0.0006785125687186477
twemcache,128,4,1.0,0.999964274626962,-3.572537303797585e-05,0.0,1.248037087269143e-08,1.248037087269143e-08,0.0,1.3591321981485933e-05,1.3591321981485933e-05,1.0,0.9999868080498864,-1.3191950113622397e-05
twemcache,128,8,0.9999270773006194,0.9998414879360282,-8.558936459113209e-05,0.0,1.1405580046145985e-07,1.1405580046145985e-07,3.616610157132962e-05,7.564159951268197e-05,3.947549794135235e-05,0.9999638338984287,0.9999253232748072,-3.851062362147939e-05
twemcache,128,16,0.9995476836513201,0.999285079622525,-0.00026260402879507705,0.0,1.7255407713056603e-06,1.7255407713056603e-06,0.00041555975087055076,0.00034606055135653327,-6.94991995140175e-05,0.9995844402491295,0.9996642625679858,7.982231885628188e-05
