analysis_set,family,capacity,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,cloudphysics,32,49241,147723,0.998347170690973,1.0,0.9743777204632995,0.0017668203326496213,110,1.5012841165450681e-06,0.0007758805129099945,0.0,0.0,0.1935483870967742,0.02131015481678547,0.99922411948709,0.8951280437034179
A_all_decisions,cloudphysics,64,48511,145533,0.999517422493369,1.0,0.9851030350504697,0.00016491105110181197,535,1.8234832246087426e-06,0.00023232228676801098,0.0,0.0,0.11475409836065574,0.012155318724962724,0.9997676777132319,0.8326015405440691
A_all_decisions,cloudphysics,128,47620,142860,0.999908506421845,1.0,0.9935041299174017,0.0,52,4.4782568915550825e-08,5.129070878057267e-05,0.0,0.0,0.03225806451612903,0.005655886882262355,0.9999487092912194,0.7659036819263615
A_all_decisions,cloudphysics,256,46701,140103,0.9999620846532742,1.0,0.9952106664382633,0.0,303,6.62590253977011e-08,1.8622562989110384e-05,0.0,0.0,0.01568627450980392,0.003968508882750548,0.9999813774370109,0.7029828055073767
A_all_decisions,metacdn,32,29348,88044,0.9981568714570331,1.0,0.9683340148107764,0.001783199309436191,594,1.3602069932775548e-05,0.0009385755279276468,0.0,0.0,0.13333333333333333,0.024567261823633637,0.9991761914099827,0.10435691245286448
A_all_decisions,metacdn,64,28552,85656,0.999657170499004,1.0,0.9871229102456337,0.0,239,1.384043001092595e-06,0.0001891882795594015,0.0,0.0,0.04918032786885246,0.010145232091155318,0.9998340138640811,0.09480947043989914
A_all_decisions,metacdn,128,27683,83049,0.9999503966936748,1.0,0.9949307035605486,0.0,108,1.5999472088529844e-07,4.2583068125603766e-05,0.0,0.0,0.031746031746031744,0.004587653072282628,0.9999636258698824,0.08502209538946887
A_all_decisions,metacdn,256,26737,80211,0.999986132859011,1.0,0.9968707533879393,0.0,31,1.1840706411349868e-08,1.3020485135563223e-05,0.0,0.0,0.011811023622047244,0.002979641196344641,0.999988255693339,0.07527645834112529
A_all_decisions,metakv,32,38032,114096,0.9999520924324432,1.0,0.9994828916000561,7.011639321273313e-05,0,0.0,7.4304292706538016e-06,0.0,0.0,0.03225806451612903,0.00023664282709297434,0.9999925695707294,0.8735713784882906
A_all_decisions,metakv,64,37977,113931,0.9999863460168645,1.0,0.9991310530057667,0.0,0,0.0,1.3653983135473135e-05,0.0,0.0,0.01639344262295082,0.0008689469942333518,0.9999863460168645,0.8705093433744986
