analysis_set,family,capacity,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,metakv,128,37856,113568,0.9999864832881686,1.0,0.998714426599042,0.0,3,3.2499866880545256e-09,1.4757123417256345e-05,0.0,0.0,0.047244094488188976,0.0012855734009580163,0.9999864832881686,0.8661770921386306
A_all_decisions,metakv,256,37486,112458,0.9999948348751868,1.0,0.9995198207330737,0.0,0,0.0,1.1536774694750243e-06,0.0,0.0,0.00398406374501992,0.0002934428853438617,0.9999988463225306,0.8502552063881627
A_all_decisions,twemcache,32,37849,113547,0.9939883462613822,1.0,0.9058627704827076,0.005918254115036064,1392,2.4716211021896007e-05,0.003083252645075344,0.0,0.03225806451612903,0.16666666666666666,0.07593331395809665,0.997041735601986,0.36160356504355023
A_all_decisions,twemcache,64,34748,104244,0.9985176619417564,1.0,0.9483039791258969,0.0002110433214381643,690,3.2832767810320474e-06,0.0008465724742799045,0.0,0.0,0.08064516129032258,0.04314876635585741,0.9991820124425994,0.27394382410498447
A_all_decisions,twemcache,128,31195,93585,0.9997196951470944,1.0,0.9797510284767859,0.0,418,5.49523591968058e-07,0.00014356304212916637,0.0,0.0,0.031496062992125984,0.015793129240797135,0.9998602017350756,0.22282417054015066
A_all_decisions,twemcache,256,28706,86118,0.999966076679543,1.0,0.9947629996051929,0.0,171,6.083479166068992e-08,2.0657863557285717e-05,0.0,0.0,0.012096774193548387,0.004238370607770733,0.9999802648843873,0.1982280127267238
A_all_decisions,wiki2018,32,49968,149904,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,64,49936,149808,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,128,49872,149616,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,256,49744,149232,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
B_excluding_both_tied,cloudphysics,32,8146,15492,0.984239549185554,1.0,0.7556803511489801,0.016847405112316034,110,1.431540108109909e-05,0.007398360251007172,0.0,0.03225806451612903,0.1935483870967742,0.2032016524657888,0.9926016397489928,0.0
B_excluding_both_tied,cloudphysics,64,12277,24362,0.9971171926659328,1.0,0.9110089483622035,0.0009851407930383384,535,1.0893070524874154e-05,0.0013878400525494188,0.0,0.015625,0.11475409836065574,0.07261308595353419,0.9986121599474506,0.0
B_excluding_both_tied,cloudphysics,128,16468,33443,0.9996091626775347,1.0,0.9722512932452232,0.0,52,1.9129975765558086e-07,0.00021910087780380383,0.0,0.0,0.03225806451612903,0.024160511915797028,0.9997808991221963,0.0
B_excluding_both_tied,cloudphysics,256,20325,41613,0.9998723462902857,1.0,0.9838752312979117,0.0,303,2.230814465502155e-07,6.269860241903569e-05,0.0,0.0,0.01568627450980392,0.013361209237497897,0.999937301397581,0.0
B_excluding_both_tied,metacdn,32,29014,78856,0.9979421171573885,1.0,0.9646444151364513,0.0019909708836359946,594,1.5186931180395788e-05,0.0010479347643915712,0.0,0.0,0.13333333333333333,0.027429745358628386,0.9990802043788743,0.0
B_excluding_both_tied,metacdn,64,28261,77535,0.9996212626073734,1.0,0.9857741665054491,0.0,239,1.5290073812031637e-06,0.0002090038211638627,0.0,0.0,0.04918032786885246,0.011207841619913587,0.9998166285102436,0.0
B_excluding_both_tied,metacdn,128,27453,75988,0.9999457874271332,1.0,0.9944596515239248,0.0,108,1.7486184101178014e-07,4.653999611469268e-05,0.0,0.0,0.031746031746031744,0.005013949570984892,0.9999602458923497,0.0
B_excluding_both_tied,metacdn,256,26564,74173,0.9999850040143197,1.0,0.9966160193062166,0.0,31,1.2804590645663304e-08,1.408040841288153e-05,0.0,0.0,0.011811023622047244,0.003222196756232052,0.9999872996564574,0.0
B_excluding_both_tied,metakv,32,5085,14425,0.99962107023723,1.0,0.9959098786828423,0.0005545927209705373,0,0.0,5.877173366131828e-05,0.0,0.0,0.03225806451612903,0.0018717504332755634,0.9999412282663387,0.0
B_excluding_both_tied,metakv,64,5275,14753,0.9998945562290648,1.0,0.9932895004405884,0.0,0,0.0,0.0001054437709352396,0.0,0.0,0.01639344262295082,0.0067104995594116455,0.9998945562290648,0.0
B_excluding_both_tied,metakv,128,5543,15198,0.9998989955303818,1.0,0.9903934728253717,0.0,3,2.4285727608170575e-08,0.00011027352232207979,0.0,0.0,0.047244094488188976,0.00960652717462824,0.9998989955303818,0.0
B_excluding_both_tied,metakv,256,6274,16840,0.9999655071492732,1.0,0.996793349168646,0.0,0,0.0,7.704291025072582e-06,0.0,0.0,0.00398406374501992,0.0019596199524940616,0.999992295708975,0.0
B_excluding_both_tied,twemcache,32,30068,72488,0.9905831965696552,1.0,0.8525411102527315,0.009270499944818452,1392,3.87160855990402e-05,0.004829683369528337,0.0,0.03333333333333333,0.16666666666666666,0.11894382518485819,0.9953661013188211,0.0
B_excluding_both_tied,twemcache,64,30088,75687,0.9979583700167328,1.0,0.928798869026385,0.0002906707889069457,690,4.522069903178944e-06,0.0011659875673343423,0.0,0.015873015873015872,0.08064516129032258,0.05942896402288372,0.9988733825500592,0.0
B_excluding_both_tied,twemcache,128,28107,72732,0.9996393289108071,1.0,0.9739454435461695,0.0,418,7.070775635804145e-07,0.00018472401828160967,0.0,0.0,0.031496062992125984,0.020321179123356983,0.9998201201586242,0.0
B_excluding_both_tied,twemcache,256,26297,69047,0.9999576895663661,1.0,0.9934682173012586,0.0,171,7.587542671275065e-08,2.576525980602099e-05,0.0,0.0,0.012096774193548387,0.005286254290555709,0.9999753856259311,0.0
C_discriminative_under_LRU,cloudphysics,32,6423,13083,0.987887074522862,1.0,0.8948253458686846,0.019949552854849804,110,1.695132565530743e-05,0.0022111057867922577,0.0,0.03225806451612903,0.1935483870967742,0.056485515554536424,0.9977888942132077,0.0
C_discriminative_under_LRU,cloudphysics,64,11325,23032,0.9980253146807683,1.0,0.9636158388329281,0.0010420284821118443,535,1.152209899821918e-05,0.0003933900382167829,0.0,0.0,0.11475409836065574,0.019060437651962487,0.9996066099617832,0.0
C_discriminative_under_LRU,cloudphysics,128,16108,32957,0.9997285622910093,1.0,0.9865885851260734,0.0,52,1.9412075720713628e-07,9.716875493499443e-05,0.0,0.0,0.03225806451612903,0.009770306763358315,0.9999028312450651,0.0
C_discriminative_under_LRU,cloudphysics,256,20073,41267,0.9999086658813982,1.0,0.99212445779921,0.0,303,2.2495185584835627e-07,2.583440018570122e-05,0.0,0.0,0.01568627450980392,0.00508881188358737,0.9999741655998143,0.0
C_discriminative_under_LRU,metacdn,32,28991,78696,0.9980014688238668,1.0,0.9666056724611162,0.0019950188065467112,594,1.521780834046572e-05,0.000984544243428659,0.0,0.0,0.13333333333333333,0.025452373691166007,0.9991418699362168,0.0
C_discriminative_under_LRU,metacdn,64,28260,77509,0.9996263768886542,1.0,0.9861048394380008,0.0,239,1.5295202789558284e-06,0.00020342942463378566,0.0,0.0,0.04918032786885246,0.01087615631733089,0.9998218083260232,0.0
C_discriminative_under_LRU,metacdn,128,27448,75969,0.999947727790454,1.0,0.9947083678869012,0.0,108,1.749055743106155e-07,4.459771386701506e-05,0.0,0.0,0.031746031746031744,0.004765101554581474,0.9999621898717617,0.0
C_discriminative_under_LRU,metacdn,256,26559,74164,0.9999854762284145,1.0,0.9967369613289466,0.0,31,1.2806144517026918e-08,1.3608083210299629e-05,0.0,0.0,0.011811023622047244,0.0031012351005878865,0.9999877721491346,0.0
C_discriminative_under_LRU,metakv,32,5064,14402,0.99967037134926,1.0,0.9975003471740036,0.0005554784057769754,0,0.0,8.959329125435087e-06,0.0,0.0,0.03225806451612903,0.0002777392028884877,0.9999910406708745,0.0
C_discriminative_under_LRU,metakv,64,5226,14683,0.9999685444423749,1.0,0.9980249267860791,0.0,0,0.0,3.1455557624980577e-05,0.0,0.0,0.01639344262295082,0.001975073213920861,0.9999685444423749,0.0
C_discriminative_under_LRU,metakv,128,5455,15096,0.9999686959506321,1.0,0.9970853206147324,0.0,3,2.4449820362279836e-08,3.3390434038882395e-05,0.0,0.0,0.047244094488188976,0.0029146793852676206,0.9999686959506321,0.0
C_discriminative_under_LRU,metakv,256,6266,16830,0.9999678076585717,1.0,0.9973856209150327,0.0,0,0.0,5.387864578860504e-06,0.0,0.0,0.00398406374501992,0.00136660724896019,0.9999946121354212,0.0
C_discriminative_under_LRU,twemcache,32,28663,70033,0.9915154427618575,1.0,0.882426855910785,0.009595476418259963,1392,4.007327421220319e-05,0.003679520198911515,0.0,0.03333333333333333,0.16666666666666666,0.08805848671340653,0.9964660117715749,0.0
C_discriminative_under_LRU,twemcache,64,29732,74989,0.9981052241189569,1.0,0.9374441584765766,0.0002933763618664071,690,4.56416147384156e-06,0.0010063989519640795,0.0,0.015873015873015872,0.08064516129032258,0.05067409886783395,0.9990287536180817,0.0
C_discriminative_under_LRU,twemcache,128,28021,72547,0.9996599469356531,1.0,0.976429073566102,0.0,418,7.088806615618938e-07,0.00016322656068008375,0.0,0.0,0.031496062992125984,0.017822928584228157,0.9998411992139862,0.0
C_discriminative_under_LRU,twemcache,256,26291,69025,0.9999589776927038,1.0,0.9937848605577689,0.0,171,7.589961011568698e-08,2.4471860106140258e-05,0.0,0.0,0.012096774193548387,0.004969214052879391,0.9999766793924472,0.0
D_discriminative_under_either,cloudphysics,32,8146,15492,0.984239549185554,1.0,0.7556803511489801,0.016847405112316034,110,1.431540108109909e-05,0.007398360251007172,0.0,0.03225806451612903,0.1935483870967742,0.2032016524657888,0.9926016397489928,0.0
D_discriminative_under_either,cloudphysics,64,12277,24362,0.9971171926659328,1.0,0.9110089483622035,0.0009851407930383384,535,1.0893070524874154e-05,0.0013878400525494188,0.0,0.015625,0.11475409836065574,0.07261308595353419,0.9986121599474506,0.0
D_discriminative_under_either,cloudphysics,128,16468,33443,0.9996091626775347,1.0,0.9722512932452232,0.0,52,1.9129975765558086e-07,0.00021910087780380383,0.0,0.0,0.03225806451612903,0.024160511915797028,0.9997808991221963,0.0
D_discriminative_under_either,cloudphysics,256,20325,41613,0.9998723462902857,1.0,0.9838752312979117,0.0,303,2.230814465502155e-07,6.269860241903569e-05,0.0,0.0,0.01568627450980392,0.013361209237497897,0.999937301397581,0.0
D_discriminative_under_either,metacdn,32,29014,78856,0.9979421171573885,1.0,0.9646444151364513,0.0019909708836359946,594,1.5186931180395788e-05,0.0010479347643915712,0.0,0.0,0.13333333333333333,0.027429745358628386,0.9990802043788743,0.0
D_discriminative_under_either,metacdn,64,28261,77535,0.9996212626073734,1.0,0.9857741665054491,0.0,239,1.5290073812031637e-06,0.0002090038211638627,0.0,0.0,0.04918032786885246,0.011207841619913587,0.9998166285102436,0.0
D_discriminative_under_either,metacdn,128,27453,75988,0.9999457874271332,1.0,0.9944596515239248,0.0,108,1.7486184101178014e-07,4.653999611469268e-05,0.0,0.0,0.031746031746031744,0.005013949570984892,0.9999602458923497,0.0
D_discriminative_under_either,metacdn,256,26564,74173,0.9999850040143197,1.0,0.9966160193062166,0.0,31,1.2804590645663304e-08,1.408040841288153e-05,0.0,0.0,0.011811023622047244,0.003222196756232052,0.9999872996564574,0.0
D_discriminative_under_either,metakv,32,5085,14425,0.99962107023723,1.0,0.9959098786828423,0.0005545927209705373,0,0.0,5.877173366131828e-05,0.0,0.0,0.03225806451612903,0.0018717504332755634,0.9999412282663387,0.0
D_discriminative_under_either,metakv,64,5275,14753,0.9998945562290648,1.0,0.9932895004405884,0.0,0,0.0,0.0001054437709352396,0.0,0.0,0.01639344262295082,0.0067104995594116455,0.9998945562290648,0.0
D_discriminative_under_either,metakv,128,5543,15198,0.9998989955303818,1.0,0.9903934728253717,0.0,3,2.4285727608170575e-08,0.00011027352232207979,0.0,0.0,0.047244094488188976,0.00960652717462824,0.9998989955303818,0.0
D_discriminative_under_either,metakv,256,6274,16840,0.9999655071492732,1.0,0.996793349168646,0.0,0,0.0,7.704291025072582e-06,0.0,0.0,0.00398406374501992,0.0019596199524940616,0.999992295708975,0.0
D_discriminative_under_either,twemcache,32,30068,72488,0.9905831965696552,1.0,0.8525411102527315,0.009270499944818452,1392,3.87160855990402e-05,0.004829683369528337,0.0,0.03333333333333333,0.16666666666666666,0.11894382518485819,0.9953661013188211,0.0
D_discriminative_under_either,twemcache,64,30088,75687,0.9979583700167328,1.0,0.928798869026385,0.0002906707889069457,690,4.522069903178944e-06,0.0011659875673343423,0.0,0.015873015873015872,0.08064516129032258,0.05942896402288372,0.9988733825500592,0.0
D_discriminative_under_either,twemcache,128,28107,72732,0.9996393289108071,1.0,0.9739454435461695,0.0,418,7.070775635804145e-07,0.00018472401828160967,0.0,0.0,0.031496062992125984,0.020321179123356983,0.9998201201586242,0.0
D_discriminative_under_either,twemcache,256,26297,69047,0.9999576895663661,1.0,0.9934682173012586,0.0,171,7.587542671275065e-08,2.576525980602099e-05,0.0,0.0,0.012096774193548387,0.005286254290555709,0.9999753856259311,0.0
