source,capacity,family,horizon,jaccard,reversal_fraction,cross_continuation_regret,fraction_still_optimal
population_mru,256,metacdn,4,0.9999984012221705,1.3866148405503862e-09,1.5980790628478656e-06,0.9999985794076367
population_mru,256,metacdn,8,0.9999925950161164,4.803960000307453e-09,6.937708260195655e-06,0.9999935246823465
population_mru,256,metacdn,16,0.9999678860325744,2.9992417916750646e-08,3.0006377822864073e-05,0.9999732560341137
population_mru,32,metakv,4,0.9999782627597601,0.0,0.0,1.0
sampled_mru,32,metakv,4,1.0,0.0,0.0,1.0
population_mru,32,metakv,8,0.9997953336062219,0.0,0.0,1.0
sampled_mru,32,metakv,8,0.9986559139784946,0.0,0.0,1.0
population_mru,32,metakv,16,0.9992791197404407,0.0,2.5480303725220403e-05,0.9999745196962748
sampled_mru,32,metakv,16,0.9986559139784946,0.0,0.0,1.0
population_mru,64,metakv,4,0.9999964632317574,0.0,3.5367682426505954e-06,0.9999964632317574
population_mru,64,metakv,8,0.9999808335489558,0.0,1.9166451044092418e-05,0.9999808335489558
population_mru,64,metakv,16,0.9999328834976087,0.0,6.711650239121293e-05,0.9999328834976087
population_mru,128,metakv,4,1.0,0.0,0.0,1.0
sampled_mru,128,metakv,4,1.0,0.0,0.0,1.0
population_mru,128,metakv,8,0.9999891797977549,0.0,1.0820202245037391e-05,0.9999891797977549
sampled_mru,128,metakv,8,1.0,0.0,0.0,1.0
population_mru,128,metakv,16,0.9999234742769895,6.766168436094892e-08,8.229952007603083e-05,0.9999234742769895
sampled_mru,128,metakv,16,1.0,0.0,0.0,1.0
population_mru,256,metakv,4,0.999996789266888,0.0,8.003201280512204e-07,0.9999991996798719
population_mru,256,metakv,8,0.9999833722803592,0.0,2.0798278829303866e-06,0.9999979201721171
population_mru,256,metakv,16,0.9999310748308421,0.0,1.196553576537721e-05,0.9999880344642346
population_mru,32,twemcache,4,0.9989532511069319,3.4607696382526715e-07,0.00023151779819990758,0.9997703279456073
sampled_mru,32,twemcache,4,0.9987026149573996,0.0,0.000512298027715485,0.9994877019722844
population_mru,32,twemcache,8,0.9958154755315507,5.822328850533899e-06,0.0015771751177613995,0.9984541954310212
sampled_mru,32,twemcache,8,0.9962355748245298,1.6172158012765223e-05,0.0016500522749295897,0.9984390742847852
population_mru,32,twemcache,16,0.9833958719069875,9.284758478109916e-05,0.007534387762710018,0.9927939186219146
sampled_mru,32,twemcache,16,0.983251537205099,0.00012398654476453337,0.007002719081677231,0.9934724311906332
population_mru,64,twemcache,4,0.9997754797730374,0.0,7.637523949214226e-05,0.9999236247605079
population_mru,64,twemcache,8,0.9990716841487507,4.253799958173545e-07,0.00046269355551156277,0.99954107007483
population_mru,64,twemcache,16,0.9961700839604991,1.1144531358442296e-05,0.0020887167602575093,0.9979966963939999
population_mru,128,twemcache,4,0.999964274626962,1.248037087269143e-08,1.3591321981485933e-05,0.9999868080498864
sampled_mru,128,twemcache,4,1.0,0.0,0.0,1.0
population_mru,128,twemcache,8,0.9998414879360282,1.1405580046145985e-07,7.564159951268197e-05,0.9999253232748072
sampled_mru,128,twemcache,8,0.9999270773006194,0.0,3.616610157132962e-05,0.9999638338984287
population_mru,128,twemcache,16,0.999285079622525,1.7255407713056603e-06,0.00034606055135653327,0.9996642625679858
sampled_mru,128,twemcache,16,0.9995476836513201,0.0,0.00041555975087055076,0.9995844402491295
population_mru,256,twemcache,4,0.9999965031812049,4.807603551934426e-09,1.6418029221766194e-06,0.9999983581970778
population_mru,256,twemcache,8,0.9999785854995806,1.16757831181253e-08,1.4019000507778294e-05,0.9999864791662386
population_mru,256,twemcache,16,0.9999140775270058,1.8528483242979593e-07,5.046249437330138e-05,0.9999521125503804
