source,capacity,family,horizon,jaccard,reversal_fraction,cross_continuation_regret,fraction_still_optimal
population_mru,32,cloudphysics,4,0.9978061541422784,0.0,0.00011811333630803956,0.9998818866636919
sampled_mru,32,cloudphysics,4,0.9972638248847927,0.0,0.0013536866359447005,0.9986463133640553
population_mru,32,cloudphysics,8,0.9934793749890803,0.0,0.0008552171688640947,0.9991447828311358
sampled_mru,32,cloudphysics,8,0.9943861234705228,0.0,0.0022609447004608295,0.9977390552995392
population_mru,32,cloudphysics,16,0.9804326226680316,3.452813226660238e-05,0.0038991050730797167,0.9961008949269202
sampled_mru,32,cloudphysics,16,0.9881524445150697,0.0,0.0032565284178187404,0.9967434715821811
population_mru,64,cloudphysics,4,0.9996305212932283,4.5559747052284364e-07,2.5572245119669288e-05,0.9999744277548803
population_mru,64,cloudphysics,8,0.9989122134103104,3.305978720831822e-06,0.0001420620888929302,0.9998579379111071
population_mru,64,cloudphysics,16,0.9968322767772929,2.11114615088125e-05,0.0006979913249599966,0.99930200867504
population_mru,128,cloudphysics,4,0.9999562859964856,0.0,4.989080150819893e-06,0.9999950109198492
sampled_mru,128,cloudphysics,4,1.0,0.0,0.0,1.0
population_mru,128,cloudphysics,8,0.9998566904059397,1.1677249056851947e-08,4.0470515022758866e-05,0.9999595294849772
sampled_mru,128,cloudphysics,8,1.0,0.0,0.0,1.0
population_mru,128,cloudphysics,16,0.9995555068172334,3.895335422903277e-07,0.00017038100615350747,0.9998296189938465
sampled_mru,128,cloudphysics,16,0.9995014933478144,0.0,4.597701149425287e-05,0.9999540229885057
population_mru,256,cloudphysics,4,0.9999808854460707,7.648796630123776e-09,2.9409924176551514e-06,0.9999970590075824
population_mru,256,cloudphysics,8,0.9999466126160016,8.831189306489493e-08,1.1339345753143438e-05,0.9999886606542469
population_mru,256,cloudphysics,16,0.9998549219101498,4.014147381664767e-07,4.44906743955466e-05,0.9999555093256044
population_mru,32,metacdn,4,0.9997813542414039,3.578503784625603e-07,5.887831560303992e-05,0.999941121684397
sampled_mru,32,metacdn,4,0.9996735595558768,8.212338216937127e-06,0.00012934432691675974,0.9998706556730832
population_mru,32,metacdn,8,0.9989434296483168,5.120280585439525e-06,0.000476387074689031,0.9995631899733144
sampled_mru,32,metacdn,8,0.9980156253421807,1.6424676433874253e-05,0.0008609267897422421,0.9992726605785865
population_mru,32,metacdn,16,0.9957351230127841,3.623204531773487e-05,0.0021803267092616796,0.9981257345326472
sampled_mru,32,metacdn,16,0.9961951980826765,3.6955521976217065e-05,0.0023374553068102586,0.9979977591239482
population_mru,64,metacdn,4,0.9999616654166333,4.40642929760812e-08,1.4828345300854163e-05,0.9999851716546992
population_mru,64,metacdn,8,0.9998040657016756,5.380557559349406e-07,9.80420612675097e-05,0.9999108927313725
population_mru,64,metacdn,16,0.9991911611655457,3.650905986362462e-06,0.0004533832767108914,0.9996073839254987
population_mru,128,metacdn,4,0.9999943465972395,0.0,2.4744121874479795e-06,0.9999975255878126
sampled_mru,128,metacdn,4,1.0,0.0,0.0,1.0
population_mru,128,metacdn,8,0.999976067145341,3.290869210702885e-08,1.752772971370739e-05,0.9999839814435044
sampled_mru,128,metacdn,8,1.0,0.0,0.0,1.0
population_mru,128,metacdn,16,0.9998827460843968,4.5271717802252274e-07,0.00010470844693070151,0.999912638938289
sampled_mru,128,metacdn,16,0.999952182090599,0.0,4.781790940100099e-05,0.999952182090599
