analysis_set,family,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,cloudphysics,192073,576219,0.9994224857516196,1.0,0.9868938719479919,0.0004946036142508318,1000,1.6391311387024875e-07,0.00027483027107344255,0.0,0.0,0.1935483870967742,0.010900369477577101,0.9997251697289266,0.8005792936366208
A_all_decisions,metacdn,112320,336960,0.9994157359466787,1.0,0.9864583333333333,0.0004659306742640076,972,2.769655582318103e-07,0.0003069264079201501,0.0,0.0,0.13333333333333333,0.010838081671415005,0.9997307930624659,0.09024216524216525
A_all_decisions,metakv,151351,454053,0.9999798754785981,1.0,0.9992115457887075,1.7619088520503114e-05,3,6.147558196769509e-10,9.270000338694595e-06,0.0,0.0,0.047244094488188976,0.0006717277498441812,0.9999910402521274,0.8651787346411102
A_all_decisions,twemcache,132498,397494,0.9978206367045223,1.0,0.9536496148369535,0.0017459383034712473,2671,6.959307381548232e-07,0.00114104502279453,0.0,0.0,0.16666666666666666,0.037643335496888,0.9989032415285659,0.2705449642007175
A_all_decisions,wiki2018,199520,598560,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
B_excluding_both_tied,cloudphysics,57216,114910,0.997104040704138,1.0,0.9342790009572709,0.0024802018971368895,1000,5.928136117745038e-07,0.0013781431030168655,0.0,0.0078125,0.1935483870967742,0.054660168827778265,0.9986218568969831,0.0
B_excluding_both_tied,metacdn,111292,306552,0.9993577806851459,1.0,0.9851150865106083,0.000512148020564211,972,3.0055098044677164e-07,0.00033737154679393304,0.0,0.0,0.13333333333333333,0.011913150134398079,0.9997040894540845,0.0
B_excluding_both_tied,metakv,22177,61216,0.9998507318459869,1.0,0.9941518557239938,0.00013068478829064296,3,4.224853508556072e-09,6.875770164312104e-05,0.0,0.0,0.047244094488188976,0.0049823575535807635,0.9999335435114873,0.0
B_excluding_both_tied,twemcache,114560,289954,0.9970123404616849,1.0,0.9364588865820096,0.002393483104216531,2671,8.805304419292026e-07,0.0015642431223252269,0.0,0.007874015748031496,0.16666666666666666,0.051604737303158434,0.9984964687093669,0.0
C_discriminative_under_LRU,cloudphysics,53929,110339,0.9980363315424511,1.0,0.9729832606784545,0.0025829489119894144,1000,5.99609873669299e-07,0.00038297388246828404,0.0,0.0,0.1935483870967742,0.015497693471936486,0.9996170261175317,0.0
C_discriminative_under_LRU,metacdn,111258,306338,0.9993755793546437,1.0,0.985803263062369,0.0005125057942534063,972,3.00604888289731e-07,0.0003187478493127649,0.0,0.0,0.13333333333333333,0.01122289758371472,0.9997221300461533,0.0
C_discriminative_under_LRU,metakv,22011,61011,0.9998979932009627,1.0,0.9974922554949107,0.00013112389569094098,3,4.232650107606381e-09,1.9433118024377518e-05,0.0,0.0,0.047244094488188976,0.0016390486961367623,0.9999810831177854,0.0
C_discriminative_under_LRU,twemcache,112707,286594,0.9973349486031716,1.0,0.9474378388940452,0.002421544065821336,2671,8.819395594186831e-07,0.0012096814885890453,0.0,0.0,0.16666666666666666,0.04048584408605902,0.9988364766251414,0.0
D_discriminative_under_either,cloudphysics,57216,114910,0.997104040704138,1.0,0.9342790009572709,0.0024802018971368895,1000,5.928136117745038e-07,0.0013781431030168655,0.0,0.0078125,0.1935483870967742,0.054660168827778265,0.9986218568969831,0.0
D_discriminative_under_either,metacdn,111292,306552,0.9993577806851459,1.0,0.9851150865106083,0.000512148020564211,972,3.0055098044677164e-07,0.00033737154679393304,0.0,0.0,0.13333333333333333,0.011913150134398079,0.9997040894540845,0.0
D_discriminative_under_either,metakv,22177,61216,0.9998507318459869,1.0,0.9941518557239938,0.00013068478829064296,3,4.224853508556072e-09,6.875770164312104e-05,0.0,0.0,0.047244094488188976,0.0049823575535807635,0.9999335435114873,0.0
D_discriminative_under_either,twemcache,114560,289954,0.9970123404616849,1.0,0.9364588865820096,0.002393483104216531,2671,8.805304419292026e-07,0.0015642431223252269,0.0,0.007874015748031496,0.16666666666666666,0.051604737303158434,0.9984964687093669,0.0
