analysis_set,horizon,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,4,787762,787762,0.9999278995403937,1.0,0.9976718856710529,0.0,21,2.5411788595526165e-09,3.572268051451829e-05,0.0,0.0,0.06451612903225806,0.001476334222772868,0.9999646505967555,0.7388310174900541
A_all_decisions,8,787762,787762,0.9996707525745764,1.0,0.9914656964920877,5.077675744704619e-05,320,3.8722725478897013e-08,0.00016772829228784962,0.0,0.0,0.125,0.006482922507051622,0.9998367409009185,0.6678590741873814
A_all_decisions,16,787762,787762,0.9986177257616179,1.0,0.9716411809658247,0.0014014385055384749,4305,5.209416662082864e-07,0.0007099619211109155,0.0,0.0,0.1935483870967742,0.024031369880750785,0.999323855079485,0.6125162168269096
B_excluding_both_tied,4,205739,205739,0.999723931766654,1.0,0.9910857931651267,0.0,21,9.031884451389678e-09,0.0001367799505561802,0.0,0.0,0.06451612903225806,0.0056527931019398365,0.9998646493051945,0.0
B_excluding_both_tied,8,261648,261648,0.9990087116647305,1.0,0.9743051733626857,0.00015287714792392834,320,1.0935077444651518e-07,0.0005049913432904551,0.0,0.0,0.125,0.01951858986118755,0.9995084643704109,0.0
B_excluding_both_tied,16,305245,305245,0.99643269138372,1.0,0.9268128880079936,0.0036167668594080165,4305,1.2613702226579975e-06,0.0018322364752843682,0.0,0.015625,0.1935483870967742,0.062019033890809025,0.9982550368560505,0.0
C_discriminative_under_LRU,4,204934,204934,0.9998195629336255,1.0,0.9949788712463525,0.0,21,9.040784850612034e-09,3.9381741182419504e-05,0.0,0.0,0.06451612903225806,0.001746903881249573,0.9999608332238741,0.0
C_discriminative_under_LRU,8,259443,259443,0.9992219906526806,1.0,0.9825857702848024,0.00015417644723503813,320,1.0957648633244267e-07,0.00028267097682057723,0.0,0.0,0.0967741935483871,0.011185501246902017,0.9997259907449392,0.0
C_discriminative_under_LRU,16,299905,299905,0.996868550062265,1.0,0.9433153832046814,0.0036811657024724497,4305,1.2678852517490572e-06,0.0013549856134381787,0.0,0.0,0.1935483870967742,0.04531768393324553,0.9987233435592109,0.0
D_discriminative_under_either,4,205739,205739,0.999723931766654,1.0,0.9910857931651267,0.0,21,9.031884451389678e-09,0.0001367799505561802,0.0,0.0,0.06451612903225806,0.0056527931019398365,0.9998646493051945,0.0
D_discriminative_under_either,8,261648,261648,0.9990087116647305,1.0,0.9743051733626857,0.00015287714792392834,320,1.0935077444651518e-07,0.0005049913432904551,0.0,0.0,0.125,0.01951858986118755,0.9995084643704109,0.0
D_discriminative_under_either,16,305245,305245,0.99643269138372,1.0,0.9268128880079936,0.0036167668594080165,4305,1.2613702226579975e-06,0.0018322364752843682,0.0,0.015625,0.1935483870967742,0.062019033890809025,0.9982550368560505,0.0
