analysis_set,family,capacity,horizon,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,cloudphysics,256,8,46701,46701,0.9999783216712009,1.0,0.9969379670670864,0.0,38,2.4929138268441998e-08,9.808790926611634e-06,0.0,0.0,0.00784313725490196,0.0023339971306824267,0.9999901912090733,0.7161302755829639
A_all_decisions,cloudphysics,256,16,46701,46701,0.9999129676827571,1.0,0.9896361962270616,0.0,263,1.7253587801579593e-07,4.379788563717708e-05,0.0,0.0,0.01568627450980392,0.009014796257039465,0.9999562021143628,0.5647844799897218
A_all_decisions,metacdn,32,4,29348,29348,0.9997714102897737,1.0,0.9942415156058334,0.0,4,2.747892915712232e-07,0.00010803569989198949,0.0,0.0,0.0625,0.003339239471173504,0.9998940939171177,0.23016900640588797
A_all_decisions,metacdn,32,8,29348,29348,0.9989366921124139,1.0,0.9789423470083141,3.4073872154831676e-05,69,4.7401152796036e-06,0.0005283310764694795,0.0,0.0,0.06666666666666667,0.015026577620280769,0.9995104371127497,0.07152105765299169
A_all_decisions,metacdn,32,16,29348,29348,0.9957625119689119,1.0,0.9318181818181818,0.005315524056153742,521,3.579130522715182e-05,0.0021793598074214718,0.0,0.03225806451612903,0.13333333333333333,0.05533596837944664,0.9981240432000809,0.011380673299713779
A_all_decisions,metacdn,64,4,28552,28552,0.9999615634698124,1.0,0.9979686186606893,0.0,2,3.4745849399814097e-08,1.9901245660669326e-05,0.0,0.0,0.016129032258064516,0.0012608573830204539,0.9999800987543394,0.21094844494256093
A_all_decisions,metacdn,64,8,28552,28552,0.999811062150963,1.0,0.9920846175399272,0.0,29,5.038148162973043e-07,9.836979924302577e-05,0.0,0.0,0.03278688524590164,0.005568786775007005,0.9999110908928706,0.06328803586438779
A_all_decisions,metacdn,64,16,28552,28552,0.9991988858762371,1.0,0.9713154945362846,0.0,208,3.613568337580666e-06,0.00044929379377450936,0.0,0.0,0.04918032786885246,0.023606052115438498,0.9996108519450334,0.010191930512748668
A_all_decisions,metacdn,128,4,27683,27683,0.999993742217061,1.0,0.9993136582017845,0.0,0,0.0,3.6910951414821296e-06,0.0,0.0,0.007936507936507936,0.0004696022829895604,0.9999963089048586,0.19239244301556913
A_all_decisions,metacdn,128,8,27683,27683,0.9999751174798098,1.0,0.9973991258172886,0.0,7,3.111008461658581e-08,1.882746402513176e-05,0.0,0.0,0.015873015873015872,0.002203518404797168,0.9999825992261139,0.054365495069176026
A_all_decisions,metacdn,128,16,27683,27683,0.9998823303841535,1.0,0.9880793266625727,0.0,101,4.488740780393095e-07,0.00010523064521019741,0.0,0.0,0.031746031746031744,0.011089838529061157,0.9999119694786749,0.008308348083661453
A_all_decisions,metacdn,256,4,26737,26737,0.9999983865992392,1.0,0.9995885851067808,0.0,1,1.1458748140016002e-09,1.6128233120254177e-06,0.0,0.0,0.00784313725490196,0.0003740135392901223,0.9999985338486641,0.17354228223061674
A_all_decisions,metacdn,256,8,26737,26737,0.9999926426435699,1.0,0.9982421363653364,0.0,4,4.583499256006401e-09,6.911524767834505e-06,0.0,0.0,0.007874015748031496,0.0016456595728765381,0.9999935296460583,0.04581665856303998
A_all_decisions,metacdn,256,16,26737,26737,0.9999673693342238,1.0,0.9927815386917006,0.0,26,2.9792745164041604e-08,3.0537107326829745e-05,0.0,0.0,0.011811023622047244,0.006919250476867263,0.9999727035852948,0.006470434229719116
A_all_decisions,metakv,32,4,38032,38032,0.9999974554534722,1.0,0.9999474127050905,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.882940681531342
A_all_decisions,metakv,32,8,38032,38032,0.9999720629995793,1.0,0.9996844762305427,0.0,0,0.0,1.643352965923433e-06,0.0,0.0,0.03125,5.2587294909549855e-05,0.9999983566470341,0.8714766512410601
A_all_decisions,metakv,32,16,38032,38032,0.9998867588442784,1.0,0.9988167858645352,0.00021034917963819942,0,0.0,2.064793484603797e-05,0.0,0.0,0.03225806451612903,0.0006573411863693731,0.9999793520651539,0.8662968026924694
A_all_decisions,metakv,64,4,37977,37977,0.9999975248698982,1.0,0.9998420096374121,0.0,0,0.0,2.47513010171988e-06,0.0,0.0,0.015873015873015872,0.00015799036258788213,0.9999975248698982,0.8816915501487742
A_all_decisions,metakv,64,8,37977,37977,0.9999909092846924,1.0,0.9994207020038445,0.0,0,0.0,9.090715307636075e-06,0.0,0.0,0.015873015873015872,0.0005792979961555679,0.9999909092846924,0.8687363404165679
A_all_decisions,metakv,64,16,37977,37977,0.9999706038960029,1.0,0.9981304473760434,0.0,0,0.0,2.939610399706345e-05,0.0,0.0,0.01639344262295082,0.0018695526239566054,0.9999706038960029,0.8611001395581536
A_all_decisions,metakv,128,4,37856,37856,0.9999997936258453,1.0,0.9999735841081995,0.0,0,0.0,2.0637415469146237e-07,0.0,0.0,0.0078125,2.6415891800507184e-05,0.9999997936258453,0.8798605240912933
A_all_decisions,metakv,128,8,37856,37856,0.9999958611419528,1.0,0.9994716821639898,0.0,0,0.0,4.138858047237439e-06,0.0,0.0,0.007874015748031496,0.0005283178360101438,0.9999958611419528,0.8650940405748098
A_all_decisions,metakv,128,16,37856,37856,0.999963795096708,1.0,0.9966980135249366,0.0,3,9.749960064163578e-09,3.992613804984014e-05,0.0,0.0,0.047244094488188976,0.003301986475063398,0.999963795096708,0.8535767117497887
A_all_decisions,metakv,256,4,37486,37486,0.9999995803075216,1.0,0.9999199701221789,0.0,0,0.0,1.0461421937392574e-07,0.0,0.0,0.00392156862745098,2.6676625940351065e-05,0.9999998953857806,0.8692845328922798
A_all_decisions,metakv,256,8,37486,37486,0.9999972792001267,1.0,0.9997065571146562,0.0,0,0.0,5.22665665286179e-07,0.0,0.0,0.003937007874015748,0.00013338312970175532,0.9999994773343348,0.8488502374219709
A_all_decisions,metakv,256,16,37486,37486,0.9999876451179122,1.0,0.998932934962386,0.0,0,0.0,2.8337525237649683e-06,0.0,0.0,0.00398406374501992,0.0007202689003894787,0.9999971662474761,0.8326308488502374
A_all_decisions,twemcache,32,4,37849,37849,0.9992656601124428,1.0,0.9822980792094903,0.0,3,1.5980308850363798e-07,0.0003620303458252473,0.0,0.0,0.06451612903225806,0.011043884911094084,0.9996429501837665,0.5304235250601073
A_all_decisions,twemcache,32,8,37849,37849,0.9966896524842227,1.0,0.9364316098179608,0.00039631165948902214,69,3.6754710355836733e-06,0.0016916482625346277,0.0,0.0,0.0967741935483871,0.047795186134376076,0.9983554015015822,0.348807101904938
A_all_decisions,twemcache,32,16,37849,37849,0.9860097261874815,1.0,0.7988586224206716,0.01735845068561917,1320,7.03133589416007e-05,0.007196079326866158,0.0,0.037037037037037035,0.16666666666666666,0.16896087082881978,0.993126855120609,0.20558006816560542
A_all_decisions,twemcache,64,4,34748,34748,0.9998211761825386,1.0,0.991078623230114,0.0,0,0.0,9.614751409475265e-05,0.0,0.0,0.031746031746031744,0.0058420628525382755,0.9999047518182409,0.43268677333947275
A_all_decisions,twemcache,64,8,34748,34748,0.9992031191767023,1.0,0.9664441118913318,0.0,22,3.14052561663935e-07,0.00045716488641342327,0.0,0.0,0.06349206349206349,0.026505122596984,0.9995496607488111,0.2550362610797744
A_all_decisions,twemcache,64,16,34748,34748,0.9965286904660285,1.0,0.887389202256245,0.0006331299643144929,668,9.535777781432207e-06,0.0019864050223315378,0.0,0.016666666666666666,0.08064516129032258,0.09709911361804996,0.998091624760746,0.13410843789570623
A_all_decisions,twemcache,128,4,31195,31195,0.9999691561482669,1.0,0.9967943580702036,0.0,2,7.887898449302267e-09,1.685459221628391e-05,0.0,0.0,0.015748031496062992,0.0020516108350697227,0.9999833978205341,0.3669177752845007
A_all_decisions,twemcache,128,8,31195,31195,0.9998569022501318,1.0,0.987465940054496,0.0,23,9.071083216697608e-08,7.743967250872384e-05,0.0,0.0,0.016129032258064516,0.009200192338515788,0.9999235781518823,0.20256451354383714
A_all_decisions,twemcache,128,16,31195,31195,0.9993330270428843,1.0,0.954992787305658,0.0,393,1.5499720452878956e-06,0.00033639486166249136,0.0,0.0,0.031496062992125984,0.0361275845488059,0.9996736292328108,0.09899022279211413
A_all_decisions,twemcache,256,4,28706,28706,0.9999961742865002,1.0,0.9991639378527137,0.0,3,3.201831140036311e-09,2.5902855941675127e-06,0.0,0.0,0.00784313725490196,0.0005922106876611161,0.9999974097144058,0.33365846861283355
A_all_decisions,twemcache,256,8,28706,28706,0.9999815661415069,1.0,0.9966209154880513,0.0,9,9.605493420108934e-09,1.2349690517372402e-05,0.0,0.0,0.007905138339920948,0.002647530133073225,0.9999880601438685,0.1771058315334773
A_all_decisions,twemcache,256,16,28706,28706,0.9999204896106217,1.0,0.9885041454748136,0.0,159,1.696970504219245e-07,4.7033614560317236e-05,0.0,0.0,0.012096774193548387,0.009475371002577858,0.9999553247948879,0.08391973803386052
A_all_decisions,wiki2018,32,4,49968,49968,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,32,8,49968,49968,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,32,16,49968,49968,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,64,4,49936,49936,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,64,8,49936,49936,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,64,16,49936,49936,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,128,4,49872,49872,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,128,8,49872,49872,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,128,16,49872,49872,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,256,4,49744,49744,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,256,8,49744,49744,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A_all_decisions,wiki2018,256,16,49744,49744,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
B_excluding_both_tied,cloudphysics,32,4,2601,2601,0.9961966654677894,1.0,0.910803537101115,0.0,0,0.0,0.001841723406630204,0.0,0.03125,0.0625,0.058439061899269514,0.9981582765933698,0.0
B_excluding_both_tied,cloudphysics,32,8,4745,4745,0.99037283112837,1.0,0.824236037934668,0.005057955742887249,0,0.0,0.0046100890502775395,0.0,0.03125,0.125,0.1363540569020021,0.9953899109497224,0.0
B_excluding_both_tied,cloudphysics,32,16,8146,8146,0.976849065234074,1.0,0.666216547999018,0.02909403388165971,110,2.7224919414238535e-05,0.01079673482499276,0.0,0.03333333333333333,0.1935483870967742,0.28836238644733614,0.9892032651750072,0.0
B_excluding_both_tied,cloudphysics,64,4,4430,4430,0.9993651907972932,1.0,0.9699774266365688,0.0,4,4.478841950625246e-07,0.0002967250852135801,0.0,0.0,0.03125,0.01851015801354402,0.9997032749147864,0.0
B_excluding_both_tied,cloudphysics,64,8,7655,7655,0.9982653615927632,1.0,0.9372958850424559,0.0,49,3.1751215617969374e-06,0.0008263475476865869,0.0,0.0,0.0625,0.0472893533638145,0.9991736524523134,0.0
B_excluding_both_tied,cloudphysics,64,16,12277,12277,0.9955901205101281,1.0,0.8733403926040564,0.0019548749694550784,482,1.9474407557815557e-05,0.0021316589358289454,0.0,0.015625,0.11475409836065574,0.1079253889386658,0.9978683410641711,0.0
B_excluding_both_tied,cloudphysics,128,4,6345,6345,0.9999146427889383,1.0,0.9918045705279748,0.0,0,0.0,4.6827590700098655e-05,0.0,0.0,0.015625,0.005673758865248227,0.9999531724092999,0.0
B_excluding_both_tied,cloudphysics,128,8,10630,10630,0.9997866676967997,1.0,0.9832549388523047,0.0,1,1.1573988340827105e-08,0.00011140261959358301,0.0,0.0,0.023622047244094488,0.013358419567262464,0.9998885973804064,0.0
B_excluding_both_tied,cloudphysics,128,16,16468,16468,0.9993768849472915,1.0,0.9576147680349769,0.0,51,3.810181138700873e-07,0.00035499512673795833,0.0,0.0,0.03225806451612903,0.038256011658974985,0.999645004873262,0.0
B_excluding_both_tied,cloudphysics,256,4,8031,8031,0.9999707187222602,1.0,0.9945212302328477,0.0,2,7.629748450245495e-09,1.3147994055265275e-05,0.0,0.0,0.0078125,0.003237454862408168,0.9999868520059447,0.0
B_excluding_both_tied,cloudphysics,256,8,13257,13257,0.9999236328254317,1.0,0.9892132458323905,0.0,38,8.781893990152446e-08,3.455384665185863e-05,0.0,0.0,0.00784313725490196,0.00822207135852757,0.999965446153348,0.0
B_excluding_both_tied,cloudphysics,256,16,20325,20325,0.9998000247848677,1.0,0.9761869618696187,0.0,263,3.9643778790729086e-07,0.00010063493516072852,0.0,0.0,0.01568627450980392,0.02071340713407134,0.9998993650648392,0.0
B_excluding_both_tied,metacdn,32,4,22593,22593,0.9997030650725569,1.0,0.9925198070198734,0.0,4,3.5694755583730615e-07,0.0001403369061404022,0.0,0.0,0.0625,0.004337626698534944,0.9998624294374173,0.0
B_excluding_both_tied,metacdn,32,8,27249,27249,0.9988547851339543,1.0,0.9773202686337114,3.66985944438328e-05,69,5.105248017388031e-06,0.0005690286040671688,0.0,0.0,0.06666666666666667,0.016184080149730266,0.9994727259123263,0.0
B_excluding_both_tied,metacdn,32,16,29014,29014,0.9957137313456822,1.0,0.9310332942717309,0.005376714689460261,521,3.620332342339738e-05,0.0022044479088786572,0.0,0.03225806451612903,0.13333333333333333,0.055972978562073485,0.9981024477781751,0.0
B_excluding_both_tied,metacdn,64,4,22529,22529,0.9999512876821023,1.0,0.9974255404145768,0.0,2,4.403495459467762e-08,2.5221730485304747e-05,0.0,0.0,0.016129032258064516,0.0015979404323316613,0.9999747782695148,0.0
B_excluding_both_tied,metacdn,64,8,26745,26745,0.9997982967483379,1.0,0.9915498223967096,0.0,29,5.378545759925457e-07,0.00010501605937509336,0.0,0.0,0.03278688524590164,0.005945036455412227,0.9999050838352306,0.0
B_excluding_both_tied,metacdn,64,16,28261,28261,0.999190636903801,1.0,0.9710201337532288,0.0,208,3.650776801054569e-06,0.00045392011605568776,0.0,0.0,0.04918032786885246,0.02384912069636602,0.9996068449359398,0.0
B_excluding_both_tied,metacdn,128,4,22357,22357,0.9999922514556917,1.0,0.999150154314085,0.0,0,0.0,4.570406888296721e-06,0.0,0.0,0.007936507936507936,0.0005814733640470546,0.9999954295931117,0.0
B_excluding_both_tied,metacdn,128,8,26178,26178,0.9999736869582694,1.0,0.9972495988998396,0.0,7,3.2898635206698176e-08,1.9909874192364675e-05,0.0,0.0,0.015873015873015872,0.0023302009320803727,0.9999815988378222,0.0
B_excluding_both_tied,metacdn,128,16,27453,27453,0.9998813445534012,1.0,0.9879794557971806,0.0,101,4.5263472488843495e-07,0.00010611226282569829,0.0,0.0,0.031746031746031744,0.011182748697774378,0.9999112319629241,0.0
B_excluding_both_tied,metacdn,256,4,22097,22097,0.9999980478120948,1.0,0.9995021948680817,0.0,1,1.3864893380079098e-09,1.951489201865574e-06,0.0,0.0,0.00784313725490196,0.0004525501199257818,0.9999982259814334,0.0
B_excluding_both_tied,metacdn,256,8,25512,25512,0.9999922893681847,1.0,0.9981577296958294,0.0,4,4.803583396356348e-09,7.243392823674787e-06,0.0,0.0,0.007874015748031496,0.001724678582627783,0.9999932189615341,0.0
B_excluding_both_tied,metacdn,256,16,26564,26564,0.9999671568246176,1.0,0.9927345279325402,0.0,26,2.998677260393692e-08,3.073598247995208e-05,0.0,0.0,0.011811023622047244,0.006964312603523566,0.9999725258153902,0.0
B_excluding_both_tied,metakv,32,4,4452,4452,0.9999782627597601,1.0,0.9995507637017071,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B_excluding_both_tied,metakv,32,8,4888,4888,0.9997826309328969,1.0,0.997545008183306,0.0,0,0.0,1.2786415711947627e-05,0.0,0.0,0.03125,0.0004091653027823241,0.9999872135842881,0.0
B_excluding_both_tied,metakv,32,16,5085,5085,0.9991530407798607,1.0,0.9911504424778761,0.0015732546705998034,0,0.0,0.00015443112252989502,0.0,0.0,0.03225806451612903,0.004916420845624385,0.9998455688774701,0.0
B_excluding_both_tied,metakv,64,4,4493,4493,0.9999790790082633,1.0,0.9986645893612286,0.0,0,0.0,2.092099173670507e-05,0.0,0.0,0.015873015873015872,0.0013354106387714222,0.9999790790082633,0.0
B_excluding_both_tied,metakv,64,8,4985,4985,0.9999307446147967,1.0,0.9955867602808425,0.0,0,0.0,6.925538520322873e-05,0.0,0.0,0.015873015873015872,0.0044132397191574725,0.9999307446147967,0.0
B_excluding_both_tied,metakv,64,16,5275,5275,0.9997883647693845,1.0,0.9865402843601896,0.0,0,0.0,0.00021163523061544618,0.0,0.0,0.01639344262295082,0.013459715639810426,0.9997883647693845,0.0
B_excluding_both_tied,metakv,128,4,4548,4548,0.9999982822119613,1.0,0.9997801231310466,0.0,0,0.0,1.717788038698329e-06,0.0,0.0,0.0078125,0.00021987686895338611,0.9999982822119613,0.0
B_excluding_both_tied,metakv,128,8,5107,5107,0.9999693204209446,1.0,0.996083806540043,0.0,0,0.0,3.067957905545731e-05,0.0,0.0,0.007874015748031496,0.003916193459956922,0.9999693204209446,0.0
B_excluding_both_tied,metakv,128,16,5543,5543,0.9997527380806381,1.0,0.9774490348186903,0.0,3,6.658749561410362e-08,0.00027267614685454596,0.0,0.0,0.047244094488188976,0.02255096518130976,0.9997527380806381,0.0
B_excluding_both_tied,metakv,256,4,4900,4900,0.999996789266888,1.0,0.9993877551020408,0.0,0,0.0,8.003201280512204e-07,0.0,0.0,0.00392156862745098,0.00020408163265306123,0.9999991996798719,0.0
B_excluding_both_tied,metakv,256,8,5666,5666,0.9999819993109698,1.0,0.9980585951288387,0.0,0,0.0,3.457932426565074e-06,0.0,0.0,0.003937007874015748,0.0008824567596187787,0.9999965420675735,0.0
B_excluding_both_tied,metakv,256,16,6274,6274,0.9999261818441276,1.0,0.9936244819891616,0.0,0,0.0,1.6931151913588396e-05,0.0,0.0,0.00398406374501992,0.004303474657315907,0.9999830688480863,0.0
B_excluding_both_tied,twemcache,32,4,17773,17773,0.9984361655092471,1.0,0.9623023687616047,0.0,3,3.4031323337501794e-07,0.0007709720676948059,0.0,0.0,0.06451612903225806,0.02351882068305857,0.9992396343614122,0.0
B_excluding_both_tied,twemcache,32,8,24647,24647,0.9949164870724769,1.0,0.9023816285957723,0.0006085933379315941,69,5.644212408236558e-06,0.00259776829182753,0.0,0.03125,0.0967741935483871,0.07339635655455025,0.9974744833624128,0.0
B_excluding_both_tied,twemcache,32,16,30068,30068,0.9823893217530258,1.0,0.7468072369296261,0.021850472262870825,1320,8.850905689040325e-05,0.009058281443480018,0.0,0.0625,0.16666666666666666,0.21268458161500597,0.9913482220121038,0.0
B_excluding_both_tied,twemcache,64,4,19713,19713,0.9996847882103613,1.0,0.9842743367321057,0.0,0,0.0,0.00016947871048366382,0.0,0.0,0.031746031746031744,0.010297773043169482,0.9998321065378297,0.0
B_excluding_both_tied,twemcache,64,8,25886,25886,0.9989303092463899,1.0,0.954956347060187,0.0,22,4.2156758142232914e-07,0.0006136740119405714,0.0,0.0,0.06349206349206349,0.0355790774936259,0.9993954883604916,0.0
B_excluding_both_tied,twemcache,64,16,30088,30088,0.9959910574419556,1.0,0.8699481520872109,0.0007311885136931667,668,1.1012669713813027e-05,0.0022940574885660816,0.0,0.016666666666666666,0.08064516129032258,0.11213772932730656,0.9977960574709653,0.0
B_excluding_both_tied,twemcache,128,4,19749,19749,0.9999512798645593,1.0,0.9949364524786065,0.0,2,1.245951653886193e-08,2.6623069734517022e-05,0.0,0.0,0.015748031496062992,0.0032406704136918327,0.9999737756347947,0.0
B_excluding_both_tied,twemcache,128,8,24876,24876,0.9998205525684539,1.0,0.9842820389130085,0.0,23,1.1375319221132091e-07,9.711089338758804e-05,0.0,0.0,0.016129032258064516,0.01153722463418556,0.999904165478693,0.0
B_excluding_both_tied,twemcache,128,16,28107,28107,0.9992597494788762,1.0,0.9500480307396734,0.0,393,1.7202610720730033e-06,0.00037335317570574654,0.0,0.0,0.031496062992125984,0.040096773045860463,0.9996377722246249,0.0
B_excluding_both_tied,twemcache,256,4,19128,19128,0.9999942586296673,1.0,0.998745294855709,0.0,3,4.8050901665559576e-09,3.887324250636377e-06,0.0,0.0,0.00784313725490196,0.0008887494772061899,0.9999961126757493,0.0
B_excluding_both_tied,twemcache,256,8,23622,23622,0.9999775987493903,1.0,0.9958936584539836,0.0,9,1.1672817463281985e-08,1.5007629158906621e-05,0.0,0.0,0.007905138339920948,0.0032173397680128695,0.9999854904110529,0.0
B_excluding_both_tied,twemcache,256,16,26297,26297,0.9999132058699665,1.0,0.9874510400425904,0.0,159,1.852425573035618e-07,5.134224206443574e-05,0.0,0.0,0.012096774193548387,0.01034338517701639,0.9999512322151596,0.0
C_discriminative_under_LRU,cloudphysics,32,4,2458,2458,0.9978061541422784,1.0,0.9637917005695688,0.0,0,0.0,0.00011811333630803956,0.0,0.0,0.03225806451612903,0.003661513425549227,0.9998818866636919,0.0
C_discriminative_under_LRU,cloudphysics,32,8,4202,4202,0.9934793749890803,1.0,0.9307472632079962,0.005711565920990005,0,0.0,0.0008552171688640947,0.0,0.0,0.06451612903225806,0.024750118990956686,0.9991447828311358,0.0
C_discriminative_under_LRU,cloudphysics,32,16,6423,6423,0.9804326226680316,1.0,0.8449322746380196,0.036898645492760396,110,3.452813226660238e-05,0.0038991050730797167,0.0,0.03225806451612903,0.1935483870967742,0.09746224505682703,0.9961008949269202,0.0
C_discriminative_under_LRU,cloudphysics,64,4,4355,4355,0.9996305212932283,1.0,0.9866819747416762,0.0,4,4.5559747052284364e-07,2.5572245119669288e-05,0.0,0.0,0.016129032258064516,0.0016073478760045925,0.9999744277548803,0.0
C_discriminative_under_LRU,cloudphysics,64,8,7352,7352,0.9989122134103104,1.0,0.9759249183895539,0.0,49,3.305978720831822e-06,0.0001420620888929302,0.0,0.0,0.047619047619047616,0.008025027203482046,0.9998579379111071,0.0
C_discriminative_under_LRU,cloudphysics,64,16,11325,11325,0.9968322767772929,1.0,0.9467549668874172,0.002119205298013245,482,2.11114615088125e-05,0.0006979913249599966,0.0,0.0,0.11475409836065574,0.03293598233995585,0.99930200867504,0.0
C_discriminative_under_LRU,cloudphysics,128,4,6313,6313,0.9999562859964856,1.0,0.9968319341042293,0.0,0,0.0,4.989080150819893e-06,0.0,0.0,0.007874015748031496,0.0006336131791541264,0.9999950109198492,0.0
C_discriminative_under_LRU,cloudphysics,128,8,10536,10536,0.9998566904059397,1.0,0.9920273348519362,0.0,1,1.1677249056851947e-08,4.0470515022758866e-05,0.0,0.0,0.023622047244094488,0.004555808656036446,0.9999595294849772,0.0
C_discriminative_under_LRU,cloudphysics,128,16,16108,16108,0.9995555068172334,1.0,0.979016637695555,0.0,51,3.895335422903277e-07,0.00017038100615350747,0.0,0.0,0.03225806451612903,0.01676185746213062,0.9998296189938465,0.0
C_discriminative_under_LRU,cloudphysics,256,4,8011,8011,0.9999808854460707,1.0,0.9970041193359132,0.0,2,7.648796630123776e-09,2.9409924176551514e-06,0.0,0.0,0.003937007874015748,0.0007489701660217201,0.9999970590075824,0.0
C_discriminative_under_LRU,cloudphysics,256,8,13183,13183,0.9999466126160016,1.0,0.9947659864977623,0.0,38,8.831189306489493e-08,1.1339345753143438e-05,0.0,0.0,0.00784313725490196,0.002654934385193052,0.9999886606542469,0.0
C_discriminative_under_LRU,cloudphysics,256,16,20073,20073,0.9998549219101498,1.0,0.9884421860210233,0.0,263,4.014147381664767e-07,4.44906743955466e-05,0.0,0.0,0.01568627450980392,0.008419269665720121,0.9999555093256044,0.0
C_discriminative_under_LRU,metacdn,32,4,22536,22536,0.9997813542414039,1.0,0.9950301739439119,0.0,4,3.578503784625603e-07,5.887831560303992e-05,0.0,0.0,0.03333333333333333,0.0018193113241036563,0.999941121684397,0.0
C_discriminative_under_LRU,metacdn,32,8,27169,27169,0.9989434296483168,1.0,0.9801980198019802,3.6806654643159485e-05,69,5.120280585439525e-06,0.000476387074689031,0.0,0.0,0.06666666666666667,0.013287202326180574,0.9995631899733144,0.0
C_discriminative_under_LRU,metacdn,32,16,28991,28991,0.9957351230127841,1.0,0.9317719292194129,0.005380980304232348,521,3.623204531773487e-05,0.0021803267092616796,0.0,0.03225806451612903,0.13333333333333333,0.0552240350453589,0.9981257345326472,0.0
