analysis_set,family,capacity,horizon,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,cloudphysics,32,4,49241,49241,0.9997991008891315,1.0,0.9952884791129344,0.0,0,0.0,9.728321075212041e-05,0.0,0.0,0.0625,0.0030868585122154303,0.9999027167892479,0.947178164537682
A_all_decisions,cloudphysics,32,8,49241,49241,0.9990722991755675,1.0,0.9830628947421864,0.0004873987124550679,0,0.0,0.00044424102970221823,0.0,0.0,0.125,0.013139456956601207,0.9995557589702978,0.903637212891696
A_all_decisions,cloudphysics,32,16,49241,49241,0.9961701120082201,1.0,0.9447817875347779,0.004813062285493796,110,4.5038523496352044e-06,0.0017861172982756447,0.0,0.0,0.1935483870967742,0.047704148981539775,0.9982138827017243,0.8345687536808757
A_all_decisions,cloudphysics,64,4,48511,48511,0.9999420295444745,1.0,0.9972583537754324,0.0,4,4.090055830898114e-08,2.709678480130609e-05,0.0,0.0,0.03125,0.0016903382737935727,0.9999729032151987,0.9086805054523717
A_all_decisions,cloudphysics,64,8,48511,48511,0.9997262753394612,1.0,0.9901053369338912,0.0,49,5.01031839285019e-07,0.0001303970331994975,0.0,0.0,0.0625,0.007462225062356991,0.9998696029668005,0.8422007379769537
A_all_decisions,cloudphysics,64,16,48511,48511,0.9988839625961707,1.0,0.9679454144420853,0.0004947331533054359,482,4.9285172762322275e-06,0.0005394730423032294,0.0,0.0,0.11475409836065574,0.027313392838737606,0.9994605269576967,0.7469233782028818
A_all_decisions,cloudphysics,128,4,47620,47620,0.999988626805876,1.0,0.9989080218395632,0.0,0,0.0,6.239417534483956e-06,0.0,0.0,0.015625,0.0007559848803023939,0.9999937605824656,0.866757664846703
A_all_decisions,cloudphysics,128,8,47620,47620,0.999952378782381,1.0,0.9962620747585048,0.0,1,2.583609745127932e-09,2.4867909413687264e-05,0.0,0.0,0.023622047244094488,0.002981940361192776,0.9999751320905863,0.7767744645107098
A_all_decisions,cloudphysics,128,16,47620,47620,0.9997845136772784,1.0,0.9853422931541369,0.0,51,1.3176409700152455e-07,0.00012276479939354678,0.0,0.0,0.03225806451612903,0.013229735405291895,0.9998772352006065,0.6541789164216716
A_all_decisions,cloudphysics,256,4,46701,46701,0.9999949646058645,1.0,0.9990578360206419,0.0,2,1.3120599088653685e-09,2.2610124035424384e-06,0.0,0.0,0.0078125,0.0005567332605297532,0.9999977389875964,0.8280336609494443
