evictions,family,full_trace_hits,full_trace_misses,full_trace_requests,hits,miss_ratio,misses,policy,runtime_sec,scored_requests,seed,status
11829,metacdn,20620,29380,50000,8619,0.579150390625,11861,lru,0.061065026093274355,20480,,
17447,metacdn,7042,42958,50000,3001,0.853466796875,17479,mru,0.0692998580634594,20480,,
11925,metacdn,20268,29732,50000,8523,0.583837890625,11957,sieve,0.10477818408980966,20480,,
12448,metacdn,19060,30940,50000,8000,0.609375,12480,random,0.06756967911496758,20480,0,
12460,metacdn,19049,30951,50000,7988,0.6099609375,12492,random,0.06548599479719996,20480,1,
12484,metacdn,19019,30981,50000,7964,0.6111328125,12516,random,0.0658201351761818,20480,2,
12508,metacdn,18982,31018,50000,7940,0.6123046875,12540,random,0.06568119209259748,20480,3,
12462,metacdn,19073,30927,50000,7986,0.61005859375,12494,random,0.06493231607601047,20480,4,
12488,metacdn,19051,30949,50000,7960,0.611328125,12520,random,0.06558033404871821,20480,5,
12480,metacdn,19014,30986,50000,7968,0.6109375,12512,random,0.06376645574346185,20480,6,
12431,metacdn,19089,30911,50000,8017,0.608544921875,12463,random,0.0648782653734088,20480,7,
12487,metacdn,19054,30946,50000,7961,0.611279296875,12519,random,0.06581475492566824,20480,8,
12414,metacdn,19105,30895,50000,8034,0.60771484375,12446,random,0.06367006292566657,20480,9,
12485,metacdn,19062,30938,50000,7963,0.611181640625,12517,random,0.0763748618774116,20480,10,
12527,metacdn,19017,30983,50000,7921,0.613232421875,12559,random,0.06875269627198577,20480,11,
12489,metacdn,18999,31001,50000,7959,0.611376953125,12521,random,0.06681187497451901,20480,12,
12475,metacdn,19030,30970,50000,7973,0.610693359375,12507,random,0.06629447778686881,20480,13,
12461,metacdn,19031,30969,50000,7987,0.610009765625,12493,random,0.066203273832798,20480,14,
12449,metacdn,19080,30920,50000,7999,0.609423828125,12481,random,0.06600263109430671,20480,15,
12446,metacdn,19082,30918,50000,8002,0.60927734375,12478,random,0.06602371903136373,20480,16,
12428,metacdn,19097,30903,50000,8020,0.6083984375,12460,random,0.06598777091130614,20480,17,
12460,metacdn,19068,30932,50000,7988,0.6099609375,12492,random,0.06505844788625836,20480,18,
12461,metacdn,19082,30918,50000,7987,0.610009765625,12493,random,0.06476256530731916,20480,19,
,metacdn,,,,,,,evict_value_v1,,,,BLOCKED_LEAKAGE_RISK
6153,twemcache,12119,37881,50000,2039,0.7510986328125,6153,lru,0.0631240839138627,8192,,
7822,twemcache,2310,47690,50000,370,0.954833984375,7822,mru,0.07666553789749742,8192,,
6674,twemcache,9057,40943,50000,1518,0.814697265625,6674,sieve,0.12194751901552081,8192,,
6391,twemcache,10633,39367,50000,1801,0.7801513671875,6391,random,0.07060793275013566,8192,0,
6396,twemcache,10543,39457,50000,1796,0.78076171875,6396,random,0.07368944399058819,8192,1,
6441,twemcache,10501,39499,50000,1751,0.7862548828125,6441,random,0.07058513024821877,8192,2,
6394,twemcache,10611,39389,50000,1798,0.780517578125,6394,random,0.07052230602130294,8192,3,
6431,twemcache,10450,39550,50000,1761,0.7850341796875,6431,random,0.06970760226249695,8192,4,
6402,twemcache,10569,39431,50000,1790,0.781494140625,6402,random,0.06969071691855788,8192,5,
6403,twemcache,10544,39456,50000,1789,0.7816162109375,6403,random,0.071130002848804,8192,6,
6404,twemcache,10536,39464,50000,1788,0.78173828125,6404,random,0.06932371389120817,8192,7,
6444,twemcache,10533,39467,50000,1748,0.78662109375,6444,random,0.06935432460159063,8192,8,
6419,twemcache,10553,39447,50000,1773,0.7835693359375,6419,random,0.06904408894479275,8192,9,
6417,twemcache,10561,39439,50000,1775,0.7833251953125,6417,random,0.080517019610852,8192,10,
6411,twemcache,10521,39479,50000,1781,0.7825927734375,6411,random,0.07178653590381145,8192,11,
6386,twemcache,10484,39516,50000,1806,0.779541015625,6386,random,0.07150793354958296,8192,12,
6415,twemcache,10536,39464,50000,1777,0.7830810546875,6415,random,0.07017682632431388,8192,13,
6419,twemcache,10524,39476,50000,1773,0.7835693359375,6419,random,0.07211571093648672,8192,14,
6378,twemcache,10506,39494,50000,1814,0.778564453125,6378,random,0.07053051376715302,8192,15,
6401,twemcache,10527,39473,50000,1791,0.7813720703125,6401,random,0.07098380522802472,8192,16,
6403,twemcache,10555,39445,50000,1789,0.7816162109375,6403,random,0.06995330192148685,8192,17,
6405,twemcache,10547,39453,50000,1787,0.7818603515625,6405,random,0.0704121021553874,8192,18,
6458,twemcache,10466,39534,50000,1734,0.788330078125,6458,random,0.07131167314946651,8192,19,
6315,twemcache,11421,38579,50000,1877,0.7708740234375,6315,evict_value_v1,2885.1893182881176,8192,,evaluated
