absolute_miss_diff_vs_lru,evictions,family,hits,miss_ratio,miss_ratio_std,misses,n_seeds,policy,relative_miss_diff_vs_lru,scored_requests,scored_split_label,status
0,11829,metacdn,8619,0.579150390625,,11861,,lru,0.0,20480,val,evaluated
5618,17447,metacdn,3001,0.853466796875,,17479,,mru,0.47365314897563443,20480,val,evaluated
96,11925,metacdn,8523,0.583837890625,,11957,,sieve,0.008093752634685102,20480,val,evaluated
638.1499999999996,12467.15,metacdn,7980.85,0.61031005859375,0.0013441651355557529,12499.15,20,random,0.05380237753983641,20480,val,evaluated
,,metacdn,,,,,,evict_value_v1,,,val,BLOCKED_LEAKAGE_RISK
0,6153,twemcache,2039,0.7510986328125,,6153,,lru,0.0,8192,test,evaluated
1669,7822,twemcache,370,0.954833984375,,7822,,mru,0.27124979684706646,8192,test,evaluated
521,6674,twemcache,1518,0.814697265625,,6674,,sieve,0.08467414269462051,8192,test,evaluated
257.89999999999964,6410.9,twemcache,1781.1,0.78258056640625,0.0024732897023128928,6410.9,20,random,0.04191451324557121,8192,test,evaluated
162,6315,twemcache,1877,0.7708740234375,,6315,,evict_value_v1,0.026328620185275476,8192,test,evaluated
