baseline,split,rows,positive_rate,accuracy,balanced_accuracy,log_loss,recall_a_better,recall_b_better,macro_f1,auroc
random_non_tie,train,75311,0.49695263640105697,0.5030075287806562,0.5030224912403096,0.6931471805599453,0.5054774755517555,0.5005675069288636,0.5030073433639737,0.5
random_non_tie,val,44216,0.5000226162475122,0.4971051203184368,0.4971051990826904,0.6931471805599453,0.4953638789633181,0.4988465192020627,0.49710363456488105,0.5
random_non_tie,test,2211,0.5146992311171416,0.4902758932609679,0.49032736754693,0.6931471805599454,0.48857644991212656,0.49207828518173347,0.49019413278578616,0.5
majority_non_tie,train,75311,0.49695263640105697,0.5030473635989431,0.5,0.6931286075951517,0.0,1.0,,0.5
majority_non_tie,val,44216,0.5000226162475122,0.4999773837524878,0.5,0.6931660294378441,0.0,1.0,,0.5
majority_non_tie,test,2211,0.5146992311171416,0.48530076888285845,0.5,0.6933449315806521,0.0,1.0,,0.5
lru_score_pairwise,train,75311,0.49695263640105697,0.9141294100463412,0.9141297002143356,0.2642245158215099,0.9141773098915192,0.914082090537152,0.9141267898880407,0.9587080497508397
lru_score_pairwise,val,44216,0.5000226162475122,0.9508322779084494,0.9508322941756822,0.17147133917522428,0.9504726581934959,0.9511919301578685,0.9508322729792397,0.9861021194613643
lru_score_pairwise,test,2211,0.5146992311171416,0.6426956128448665,0.6429454725921606,0.9285449333588724,0.6344463971880492,0.6514445479962722,0.642656943792052,0.6855796618386765
predictor_score_pairwise,train,75311,0.49695263640105697,0.5030473635989431,0.5,0.6931286075951515,0.0,1.0,,0.5
predictor_score_pairwise,val,44216,0.5000226162475122,0.4999773837524878,0.5,0.6931660294378441,0.0,1.0,,0.5
predictor_score_pairwise,test,2211,0.5146992311171416,0.48530076888285845,0.5,0.6933449315806522,0.0,1.0,,0.5
linear_score_pairwise,train,75311,0.49695263640105697,0.9429830967587736,0.9429686773179704,0.127349525743874,0.9406027895046225,0.9453345651313184,0.9429793435925062,0.9895767686949231
linear_score_pairwise,val,44216,0.5000226162475122,0.9734937579156866,0.9734938478845143,0.07529013079641167,0.9715048170428332,0.9754828787261953,0.9734936576418107,0.9957002398928334
linear_score_pairwise,test,2211,0.5146992311171416,0.6621438263229308,0.663169062644852,0.551194095026641,0.6282952548330404,0.6980428704566636,0.6620639137858539,0.7562850408738536
logistic_regression_pairwise,train,75311,0.49695263640105697,0.959793390075819,0.9597952955968521,0.0941709072996371,0.960107946347459,0.9594826448462452,0.9597921573512467,0.9937932098550148
logistic_regression_pairwise,val,44216,0.5000226162475122,0.9895512936493577,0.9895513099958088,0.03913144548805923,0.989189922655932,0.9899126973356855,0.9895512926018439,0.997658726319841
logistic_regression_pairwise,test,2211,0.5146992311171416,0.707824513794663,0.7078911679390438,0.5493566387495049,0.7056239015817223,0.7101584342963654,0.7077240097895572,0.7815877661796091
