split,n_decisions,all_tied_fraction,mean_optimal_set_fraction,mean_random_regret
test,242418,0.6890164921746735,0.9912081740011055,0.008878195410406818
train,1746882,0.7056612867955592,0.9919655822846076,0.008099652248262906
val,373986,0.5328194103522592,0.9878832989403347,0.012186191043916082
