trace_family,capacity,horizon,n_decisions,all_tied_fraction,unique_winner_fraction,mean_optimal_set_fraction,median_optimal_set_fraction,random_optimal_probability,mean_random_regret,median_random_regret,p90_random_regret,p95_random_regret,p99_random_regret,fraction_loss_range_ge_1,fraction_loss_range_ge_2,max_observed_loss_range
cloudphysics,32,4,49241,0.9500822485327268,0.0,0.9981728894620336,1.0,0.9981728894620336,0.0018283798054466807,0.0,0.0,0.008925964660504205,0.03125,0.04991775146727321,4.061655937125566e-05,2.0
cloudphysics,32,8,49241,0.9146646087609919,0.0,0.9961979092626063,1.0,0.9961979092626063,0.0038071678073150423,0.0,0.0,0.03125,0.0625,0.08533539123900814,0.00016246623748502264,2.0
cloudphysics,32,16,49241,0.8695599195792124,0.0,0.9920562894742186,1.0,0.9920562894742186,0.007971634410349098,0.0,0.03125,0.03723671834896392,0.1232393750550255,0.13044008042078756,0.0008935643061676246,2.0
cloudphysics,64,4,48511,0.9102265465564511,0.0,0.9983524999484653,1.0,0.9983524999484653,0.0016561965327451505,0.0,0.0,0.015625,0.030976784066158336,0.08977345344354888,0.0003504359835913504,3.0
cloudphysics,64,8,48511,0.8484467440374348,0.0,0.996681165096576,1.0,0.996681165096576,0.0033616731256828347,0.0,0.015625,0.015625,0.04672965873810351,0.1515532559625652,0.0010925357135495042,3.0
cloudphysics,64,16,48511,0.7665477932839975,0.0,0.993381655706953,1.0,0.993381655706953,0.00684219816124178,0.0,0.0156307387021727,0.03125,0.06656674369193254,0.23345220671600256,0.0029065572756694358,4.0
cloudphysics,128,4,47620,0.8674296514069718,0.0,0.9987746416946661,1.0,0.9987746416946661,0.0012260145422091557,0.0,0.0078125,0.0078125,0.015625,0.13257034859302813,4.1999160016799665e-05,2.0
cloudphysics,128,8,47620,0.7787484250314993,0.0,0.9975591269424612,1.0,0.9975591269424612,0.002442841768164637,0.0,0.0078125,0.015625,0.0234375,0.22125157496850062,0.000125997480050399,2.0
cloudphysics,128,16,47620,0.6617387652246955,0.0,0.9951712450125998,1.0,0.9951712450125998,0.004837122007559849,0.0,0.015625,0.0234375,0.03906134991539698,0.3382612347753045,0.0004619907601847963,2.0
cloudphysics,256,4,46701,0.828461917303698,0.0,0.9991874839403867,1.0,0.9991874839403867,0.0008130179225284255,0.0,0.00390625,0.00390625,0.0078125,0.171538082696302,8.565127085073124e-05,2.0
cloudphysics,256,8,46701,0.7177148240937025,0.0,0.9983773099077108,1.0,0.9983773099077108,0.0016262031326952314,0.0,0.00390625,0.0078125,0.015058129915676307,0.28228517590629754,0.0001927153594141453,3.0
cloudphysics,256,16,46701,0.5701805100533179,0.0,0.9967550380345175,1.0,0.9967550380345175,0.003263530893342755,0.0,0.0078125,0.01171875,0.025301180512070986,0.42981948994668207,0.0006209717136678015,3.0
metacdn,32,4,29348,0.23211121711871338,0.0,0.9688064348507565,0.96875,0.9688064348507565,0.031237222297941937,0.03125,0.0625,0.0625,0.09375,0.7678887828812866,0.0010903639089546136,2.0
metacdn,32,8,29348,0.07424696742537822,0.0,0.9543229095679433,0.96875,0.9543229095679433,0.04585171902685021,0.03125,0.08626552833557304,0.09375,0.125,0.9257530325746218,0.004122938530734633,2.0
metacdn,32,16,29348,0.012164372359274908,0.0,0.9404484547498978,0.9375,0.9404484547498978,0.06007010699195857,0.0625,0.09375,0.125,0.20490769409595858,0.9878356276407251,0.010631048112307483,2.0
metacdn,64,4,28552,0.21147380218548614,0.0,0.9834649280260577,0.984375,0.9834649280260577,0.016547111410759315,0.015625,0.03125,0.03125,0.046875,0.7885261978145138,0.0007004763239002522,2.0
metacdn,64,8,28552,0.06363827402633791,0.0,0.9753695012608574,0.984375,0.9753695012608574,0.024675373003642476,0.015625,0.046875,0.046875,0.0625,0.9363617259736621,0.0019963575231157185,2.0
metacdn,64,16,28552,0.010226954328943681,0.0,0.9670562701386943,0.96875,0.9670562701386943,0.03306467147660409,0.03125,0.05570242118699984,0.0625,0.07991173514004413,0.9897730456710563,0.004693191370131689,2.0
metacdn,128,4,27683,0.19260918253079506,0.0,0.9912212029946177,0.9921875,0.9912212029946177,0.008779361431203265,0.0078125,0.015625,0.015625,0.0234375,0.8073908174692049,7.224650507531698e-05,2.0
metacdn,128,8,27683,0.0546544810894773,0.0,0.9866894280786042,0.984375,0.9866894280786042,0.013312829624679405,0.015625,0.0234375,0.0234375,0.03125,0.9453455189105227,0.00025286276776360944,2.0
metacdn,128,16,27683,0.008488964346349746,0.0,0.9816592651627353,0.984375,0.9816592651627353,0.018351176714951414,0.015625,0.03125,0.03125,0.04325748453285521,0.9915110356536503,0.0006863417982155113,2.0
metacdn,256,4,26737,0.17361708493847477,0.0,0.9953441158319931,0.99609375,0.9953441158319931,0.004656030267045667,0.00390625,0.0078125,0.010842440524895315,0.01171875,0.8263829150615253,3.740135392901223e-05,2.0
metacdn,256,8,26737,0.04589146127089801,0.0,0.992809151410031,0.9921875,0.992809151410031,0.007191579085162883,0.0078125,0.01171875,0.015591147294350053,0.016042602780224704,0.954108538729102,0.0001122040617870367,2.0
metacdn,256,16,26737,0.006657440999364177,0.0,0.9897828559206343,0.9921875,0.9897828559206343,0.010219773862063807,0.0078125,0.015625,0.01953125,0.0234375,0.9933425590006358,0.0002992108314320978,2.0
metakv,32,4,38032,0.882940681531342,0.0,0.9960822465292385,1.0,0.9960822465292385,0.0039185751472444255,0.0,0.03125,0.03125,0.03125,0.11705931846865797,2.6293647454774927e-05,2.0
metakv,32,8,38032,0.8715292385359698,0.0,0.9955884189629786,1.0,0.9955884189629786,0.004412402713504417,0.0,0.03125,0.03125,0.05859095451079596,0.1284707614640303,2.6293647454774927e-05,2.0
metakv,32,16,38032,0.8668489692890198,0.0,0.9953410943416071,1.0,0.9953410943416071,0.004660549011358856,0.0,0.03125,0.03125,0.06181536302874165,0.13315103071098022,5.2587294909549855e-05,2.0
metakv,64,4,37977,0.8818232087842641,0.0,0.9980205947020565,1.0,0.9980205947020565,0.001979405297943492,0.0,0.015625,0.015625,0.015625,0.11817679121573584,0.0,1.0
metakv,64,8,37977,0.8691576480501356,0.0,0.9977634489296153,1.0,0.9977634489296153,0.0022365510703847066,0.0,0.015625,0.015625,0.030741204799096315,0.1308423519498644,0.0,1.0
metakv,64,16,37977,0.8623903941859546,0.0,0.9976227387629355,1.0,0.9976227387629355,0.002377261237064539,0.0,0.015625,0.015625,0.031210878871342513,0.13760960581404535,0.0,1.0
metakv,128,4,37856,0.8798869399830939,0.0,0.9989875283970837,1.0,0.9989875283970837,0.0010124716029163146,0.0,0.0078125,0.0078125,0.008869869616425153,0.12011306001690616,0.0,1.0
metakv,128,8,37856,0.8654374471682164,0.0,0.9988308904136729,1.0,0.9988308904136729,0.0011691095863271344,0.0,0.0078125,0.0078125,0.015537343579048086,0.1345625528317836,0.0,1.0
metakv,128,16,37856,0.8559013102282333,0.0,0.9987113997781065,1.0,0.9987113997781065,0.0012886002218934912,0.0,0.0078125,0.0078125,0.015625,0.1440986897717667,0.0,1.0
metakv,256,4,37486,0.8692845328922798,0.0,0.9994372899215708,1.0,0.9994372899215708,0.0005630226951395188,0.0,0.00390625,0.00390625,0.0077281341487457625,0.13071546710772022,8.00298778210532e-05,2.0
metakv,256,8,37486,0.8489035906738516,0.0,0.9993008848303366,1.0,0.9993008848303366,0.0006994277863735795,0.0,0.00390625,0.00390625,0.0078125,0.15109640932614843,8.00298778210532e-05,2.0
metakv,256,16,37486,0.8328442618577603,0.0,0.9991181082604172,1.0,0.9991181082604172,0.0008822043562930161,0.0,0.00390625,0.00390625,0.011646565873025342,0.16715573814223977,8.00298778210532e-05,2.0
twemcache,32,4,37849,0.5382440751406906,0.0,0.9795594005125631,1.0,0.9795594005125631,0.02051738487146292,0.0,0.0625,0.0625,0.09375,0.4617559248593094,0.002007979074744379,2.0
twemcache,32,8,37849,0.3687283679885862,0.0,0.9626468004438691,0.96875,0.9626468004438691,0.03775859335781659,0.03125,0.09375,0.125,0.18736401178169793,0.6312716320114138,0.008137599408174588,3.0
twemcache,32,16,37849,0.24270126027107716,0.0,0.9347340748764829,0.9375,0.9347340748764829,0.06696428571428571,0.0625,0.15595246371777077,0.190178262962812,0.4358500059714105,0.7572987397289228,0.024148590451531084,3.0
twemcache,64,4,34748,0.4358524231610452,0.0,0.9866170355128353,0.984375,0.9866170355128353,0.013407246460227926,0.015625,0.03125,0.046875,0.05512822565207115,0.5641475768389548,0.0012087026591458502,2.0
twemcache,64,8,34748,0.26171290433981814,0.0,0.9750970379590193,0.984375,0.9750970379590193,0.02501133158742949,0.015625,0.062200634156830206,0.0625,0.09375,0.7382870956601819,0.003971451594336365,3.0
twemcache,64,16,34748,0.1443536318637044,0.0,0.9554965393691723,0.96875,0.9554965393691723,0.045000791412455395,0.03125,0.09375,0.109375,0.1771704590673105,0.8556463681362956,0.012173362495683205,3.0
twemcache,128,4,31195,0.3679756371213335,0.0,0.9917998176791153,0.9921875,0.9917998176791153,0.008213706122776086,0.0078125,0.02066236820521092,0.0234375,0.03125,0.6320243628786665,0.0011860875140246834,3.0
twemcache,128,8,31195,0.2046802372175028,0.0,0.9844418676871294,0.984375,0.9844418676871294,0.015624248677672705,0.015625,0.03125,0.0390625,0.05460732935181951,0.7953197627824972,0.003237698349094406,3.0
twemcache,128,16,31195,0.10174707485173906,0.0,0.9713503265747716,0.9765625,0.9713503265747716,0.02891514064753967,0.0234375,0.06054757549735337,0.0703125,0.09648014368159759,0.8982529251482609,0.008687289629748357,4.0
twemcache,256,4,28706,0.3340068278408695,0.0,0.9954686084790636,0.99609375,0.9954686084790636,0.004533296610464711,0.00390625,0.01171875,0.01171875,0.015625,0.6659931721591305,0.00027868738242876054,2.0
twemcache,256,8,28706,0.1773148470702989,0.0,0.9913160576186163,0.9921875,0.9913160576186163,0.008693603906848743,0.0078125,0.01953125,0.02327968392723273,0.02734375,0.8226851529297011,0.0008360621472862816,3.0
twemcache,256,16,28706,0.08412875357068209,0.0,0.9838283753831951,0.984375,0.9838283753831951,0.01622088478889431,0.015625,0.03168820495570646,0.0390625,0.0496400550425523,0.9158712464293179,0.0021598272138228943,3.0
wiki2018,32,4,49968,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,32,8,49968,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,32,16,49968,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,64,4,49936,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,64,8,49936,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,64,16,49936,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,128,4,49872,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,128,8,49872,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,128,16,49872,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,256,4,49744,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,256,8,49744,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiki2018,256,16,49744,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
