trace_family,capacity,horizon,n_lru,n_lru_opt,sum_lru_regret,n_mru,n_mru_opt,sum_mru_regret,lru_optimal_rate,lru_mean_regret,mru_optimal_rate,mru_mean_regret
twemcache,256,16,28706.0,28638.0,81.0,28706.0,24906.0,3805.0,0.9976311572493556,0.0028217097470912005,0.8676234933463387,0.13255068626767924
wiki2018,32,4,49968.0,49968.0,0.0,49968.0,49968.0,0.0,1.0,0.0,1.0,0.0
wiki2018,32,8,49968.0,49968.0,0.0,49968.0,49968.0,0.0,1.0,0.0,1.0,0.0
wiki2018,32,16,49968.0,49968.0,0.0,49968.0,49968.0,0.0,1.0,0.0,1.0,0.0
wiki2018,64,4,49936.0,49936.0,0.0,49936.0,49936.0,0.0,1.0,0.0,1.0,0.0
wiki2018,64,8,49936.0,49936.0,0.0,49936.0,49936.0,0.0,1.0,0.0,1.0,0.0
wiki2018,64,16,49936.0,49936.0,0.0,49936.0,49936.0,0.0,1.0,0.0,1.0,0.0
wiki2018,128,4,49872.0,49872.0,0.0,49872.0,49872.0,0.0,1.0,0.0,1.0,0.0
wiki2018,128,8,49872.0,49872.0,0.0,49872.0,49872.0,0.0,1.0,0.0,1.0,0.0
wiki2018,128,16,49872.0,49872.0,0.0,49872.0,49872.0,0.0,1.0,0.0,1.0,0.0
wiki2018,256,4,49744.0,49744.0,0.0,49744.0,49744.0,0.0,1.0,0.0,1.0,0.0
wiki2018,256,8,49744.0,49744.0,0.0,49744.0,49744.0,0.0,1.0,0.0,1.0,0.0
wiki2018,256,16,49744.0,49744.0,0.0,49744.0,49744.0,0.0,1.0,0.0,1.0,0.0
