trace_family,capacity,horizon,n_lru,n_lru_opt,sum_lru_regret,n_mru,n_mru_opt,sum_mru_regret,lru_optimal_rate,lru_mean_regret,mru_optimal_rate,mru_mean_regret
cloudphysics,32,4,49241.0,49134.0,107.0,49241.0,49207.0,34.0,0.9978270140736378,0.002172985926362178,0.9993095184906886,0.0006904815093113462
cloudphysics,32,8,49241.0,49027.0,214.0,49241.0,49146.0,96.0,0.9956540281472757,0.004345971852724356,0.9980707134298653,0.0019495948498202717
cloudphysics,32,16,49241.0,48817.0,425.0,49241.0,48948.0,294.0,0.9913892894132939,0.008631018866391829,0.9940496740521111,0.005970634227574582
cloudphysics,64,4,48511.0,48436.0,83.0,48511.0,48478.0,33.0,0.9984539588959205,0.0017109521551812992,0.999319741914205,0.0006802580857949743
cloudphysics,64,8,48511.0,48367.0,165.0,48511.0,48418.0,93.0,0.9970316010801674,0.0034012904289748716,0.9980829090309414,0.001917090969058564
cloudphysics,64,16,48511.0,48236.0,329.0,48511.0,48226.0,288.0,0.9943311826183752,0.0067819669765620165,0.994125043804498,0.00593679783966523
cloudphysics,128,4,47620.0,47598.0,22.0,47620.0,47588.0,32.0,0.9995380092398152,0.0004619907601847963,0.9993280134397312,0.0006719865602687946
cloudphysics,128,8,47620.0,47577.0,43.0,47620.0,47530.0,90.0,0.9990970180596388,0.0009029819403611927,0.998110037799244,0.0018899622007559848
cloudphysics,128,16,47620.0,47537.0,83.0,47620.0,47342.0,278.0,0.9982570348593028,0.001742965140697186,0.9941621167576649,0.005837883242335153
cloudphysics,256,4,46701.0,46677.0,27.0,46701.0,46669.0,32.0,0.9994860923748956,0.0005781460782424359,0.9993147898331941,0.00068521016680585
cloudphysics,256,8,46701.0,46657.0,55.0,46701.0,46612.0,89.0,0.9990578360206419,0.0011777049741975546,0.9980942592235712,0.0019057407764287702
cloudphysics,256,16,46701.0,46621.0,107.0,46701.0,46427.0,274.0,0.9982869745829853,0.002291171495257061,0.9941328879467249,0.005867112053275091
metacdn,32,4,29348.0,29236.0,112.0,29348.0,23582.0,5770.0,0.9961837263186588,0.003816273681341148,0.8035300531552405,0.19660624233337876
metacdn,32,8,29348.0,29130.0,218.0,29348.0,21468.0,7907.0,0.9925718958702467,0.007428104129753305,0.7314978874199264,0.26942210712825404
metacdn,32,16,29348.0,28928.0,424.0,29348.0,20099.0,9331.0,0.9856889736949707,0.01444732179364863,0.6848507564399618,0.31794330107673435
metacdn,64,4,28552.0,28511.0,41.0,28552.0,22932.0,5625.0,0.9985640235360045,0.001435976463995517,0.8031661529840292,0.19700896609694593
metacdn,64,8,28552.0,28466.0,86.0,28552.0,20880.0,7688.0,0.9969879518072289,0.0030120481927710845,0.7312972821518633,0.2692630989072569
metacdn,64,16,28552.0,28388.0,164.0,28552.0,19549.0,9051.0,0.9942560941440179,0.005743905855982068,0.6846805827963015,0.3170005603810591
metacdn,128,4,27683.0,27674.0,9.0,27683.0,22221.0,5462.0,0.9996748907271611,0.00032510927283892644,0.8026947946393094,0.19730520536069068
metacdn,128,8,27683.0,27669.0,14.0,27683.0,20227.0,7457.0,0.9994942744644728,0.0005057255355272189,0.7306650290792183,0.2693710941733194
metacdn,128,16,27683.0,27657.0,26.0,27683.0,18944.0,8745.0,0.9990607954340209,0.0009392045659791208,0.6843188960734025,0.3158978434418235
metacdn,256,4,26737.0,26735.0,2.0,26737.0,21461.0,5276.0,0.999925197292142,7.480270785802445e-05,0.8026704566705315,0.19732954332946853
metacdn,256,8,26737.0,26733.0,4.0,26737.0,19528.0,7209.0,0.9998503945842839,0.0001496054157160489,0.7303736395257509,0.26962636047424915
metacdn,256,16,26737.0,26728.0,9.0,26737.0,18295.0,8446.0,0.9996633878146389,0.00033661218536111006,0.6842577701312788,0.3158918352844373
metakv,32,4,38032.0,38028.0,4.0,38032.0,35614.0,2419.0,0.9998948254101809,0.00010517458981909971,0.9364219604543542,0.06360433319310055
metakv,32,8,38032.0,38020.0,12.0,38032.0,35355.0,2678.0,0.9996844762305427,0.0003155237694572991,0.9296119057635676,0.07041438788388725
metakv,32,16,38032.0,38010.0,22.0,38032.0,35329.0,2705.0,0.9994215397559949,0.0005784602440050484,0.9289282709297434,0.07112431636516618
metakv,64,4,37977.0,37977.0,0.0,37977.0,35562.0,2415.0,1.0,0.0,0.9364088790583774,0.06359112094162256
metakv,64,8,37977.0,37977.0,0.0,37977.0,35304.0,2673.0,1.0,0.0,0.9296152934670985,0.07038470653290149
metakv,64,16,37977.0,37977.0,0.0,37977.0,35278.0,2699.0,1.0,0.0,0.928930668562551,0.07106933143744898
metakv,128,4,37856.0,37856.0,0.0,37856.0,35454.0,2402.0,1.0,0.0,0.9365490278951818,0.06345097210481826
metakv,128,8,37856.0,37856.0,0.0,37856.0,35198.0,2658.0,1.0,0.0,0.9297865595942519,0.0702134404057481
metakv,128,16,37856.0,37856.0,0.0,37856.0,35172.0,2684.0,1.0,0.0,0.9290997464074388,0.07090025359256129
metakv,256,4,37486.0,37483.0,3.0,37486.0,35119.0,2368.0,0.9999199701221789,8.00298778210532e-05,0.936856426399189,0.06317025022675132
metakv,256,8,37486.0,37479.0,7.0,37486.0,34871.0,2616.0,0.9998132636184175,0.00018673638158245745,0.930240623165982,0.06978605345995838
metakv,256,16,37486.0,37472.0,14.0,37486.0,34846.0,2641.0,0.9996265272368351,0.0003734727631649149,0.9295737075174731,0.07045296910846716
twemcache,32,4,37849.0,37470.0,380.0,37849.0,35861.0,1993.0,0.9899865254035773,0.010039895373721896,0.9474754947290549,0.052656609157441414
twemcache,32,8,37849.0,37119.0,739.0,37849.0,34736.0,3143.0,0.9807128325715343,0.01952495442415916,0.9177521202673783,0.08304050305159978
twemcache,32,16,37849.0,36422.0,1463.0,37849.0,33096.0,4850.0,0.9622975507939444,0.0386535971888293,0.8744220454965785,0.1281407699014505
twemcache,64,4,34748.0,34582.0,166.0,34748.0,32915.0,1836.0,0.9952227466328998,0.004777253367100265,0.9472487625187062,0.05283757338551859
twemcache,64,8,34748.0,34436.0,313.0,34748.0,31871.0,2887.0,0.9910210659606308,0.00900771267411074,0.9172038678485093,0.08308391849890641
twemcache,64,16,34748.0,34112.0,647.0,34748.0,30347.0,4443.0,0.9816967883043628,0.018619776677794405,0.8733452285023598,0.127863474156786
twemcache,128,4,31195.0,31127.0,71.0,31195.0,29525.0,1672.0,0.9978201634877384,0.0022760057701554735,0.9464657797723994,0.053598333066196505
twemcache,128,8,31195.0,31053.0,149.0,31195.0,28559.0,2645.0,0.9954479884596891,0.004776406475396698,0.9154992787305658,0.08478922904311588
twemcache,128,16,31195.0,30881.0,332.0,31195.0,27134.0,4088.0,0.9899342843404392,0.010642731206924187,0.8698188812309665,0.13104664209007855
twemcache,256,4,28706.0,28691.0,18.0,28706.0,27174.0,1532.0,0.9994774611579461,0.0006270466104647113,0.9466313662648923,0.05336863373510764
twemcache,256,8,28706.0,28675.0,35.0,28706.0,26263.0,2443.0,0.9989200863930886,0.0012192572981258273,0.9148958405908173,0.08510415940918276
