target,summary_scope,count,missing_count,total_rows_seen,min,max,mean,std,q05,q25,q50,q75,q95,quantiles_approximate,split,trace_family,capacity,horizon
y_loss,overall,277995072,0,277995072,0.0,16.0,7.756116615621157,4.654172273717624,2.0,4.0,7.0,11.0,16.0,True,,,,
y_loss,group,1002496,0,1002496,3.0,16.0,15.376325691075076,1.2077333203992744,13.0,15.0,16.0,16.0,16.0,True,test,cloudphysics,128,16
y_loss,group,1002496,0,1002496,0.0,4.0,3.8458427764300307,0.4335194785311719,3.0,4.0,4.0,4.0,4.0,True,test,cloudphysics,128,4
y_loss,group,1002496,0,1002496,1.0,8.0,7.691969843271195,0.7046999906687118,6.0,8.0,8.0,8.0,8.0,True,test,cloudphysics,128,8
y_loss,group,1962752,0,1962752,1.0,16.0,15.128451276574932,1.4701920550398757,13.0,15.0,16.0,16.0,16.0,True,test,cloudphysics,256,16
y_loss,group,1962752,0,1962752,0.0,4.0,3.784336482652928,0.5119269880462527,3.0,4.0,4.0,4.0,4.0,True,test,cloudphysics,256,4
y_loss,group,1962752,0,1962752,0.0,8.0,7.5703619204056345,0.8428721834812818,6.0,7.0,8.0,8.0,8.0,True,test,cloudphysics,256,8
y_loss,group,257856,0,257856,7.0,16.0,15.768560747083644,0.7063060509161125,15.0,16.0,16.0,16.0,16.0,True,test,cloudphysics,32,16
y_loss,group,257856,0,257856,1.0,4.0,3.942405838917846,0.26169935986214193,3.0,4.0,4.0,4.0,4.0,True,test,cloudphysics,32,4
y_loss,group,257856,0,257856,3.0,8.0,7.885699770414495,0.41517275000197873,7.0,8.0,8.0,8.0,8.0,True,test,cloudphysics,32,8
y_loss,group,510144,0,510144,7.0,16.0,15.609733722243131,0.9178873694722617,14.0,16.0,16.0,16.0,16.0,True,test,cloudphysics,64,16
y_loss,group,510144,0,510144,0.0,4.0,3.903931046920085,0.33989652522673003,3.0,4.0,4.0,4.0,4.0,True,test,cloudphysics,64,4
y_loss,group,510144,0,510144,1.0,8.0,7.806989791117802,0.5490441374448286,7.0,8.0,8.0,8.0,8.0,True,test,cloudphysics,64,8
y_loss,group,365824,0,365824,3.0,16.0,11.806286629636109,1.9496170838844642,8.0,11.0,12.0,13.0,15.0,True,test,metakv,128,16
y_loss,group,365824,0,365824,0.0,4.0,2.9521819235479354,0.8799198733542947,1.0,2.0,3.0,4.0,4.0,True,test,metakv,128,4
y_loss,group,365824,0,365824,1.0,8.0,5.897702173722883,1.2918771480642794,4.0,5.0,6.0,7.0,8.0,True,test,metakv,128,8
y_loss,group,637184,0,637184,4.0,16.0,11.033307490458014,2.2376683865233593,7.0,10.0,11.0,13.0,14.0,True,test,metakv,256,16
y_loss,group,637184,0,637184,0.0,4.0,2.760973282442748,0.9522891642561593,1.0,2.0,3.0,3.0,4.0,True,test,metakv,256,4
y_loss,group,637184,0,637184,1.0,8.0,5.515370756327843,1.4368275688579129,3.0,5.0,6.0,7.0,8.0,True,test,metakv,256,8
y_loss,group,96096,0,96096,4.0,16.0,11.92219239094239,1.804486999662265,9.0,11.0,12.0,13.0,15.0,True,test,metakv,32,16
y_loss,group,96096,0,96096,0.0,4.0,2.9849213286713288,0.8523704911502875,2.0,3.0,3.0,4.0,4.0,True,test,metakv,32,4
y_loss,group,96096,0,96096,1.0,8.0,5.960810023310024,1.241103918937421,4.0,5.0,6.0,7.0,8.0,True,test,metakv,32,8
y_loss,group,189760,0,189760,3.0,16.0,11.906919266441822,1.8245661127528012,9.0,11.0,12.0,13.0,15.0,True,test,metakv,64,16
y_loss,group,189760,0,189760,0.0,4.0,2.9820615514333895,0.8557874392842632,2.0,2.0,3.0,4.0,4.0,True,test,metakv,64,4
y_loss,group,189760,0,189760,1.0,8.0,5.954131534569983,1.2510172102214787,4.0,5.0,6.0,7.0,8.0,True,test,metakv,64,8
y_loss,group,650624,0,650624,0.0,16.0,10.424423322840841,2.811382831554386,5.0,9.0,11.0,12.0,15.0,True,test,twemcache,128,16
