target,summary_scope,count,missing_count,total_rows_seen,min,max,mean,std,q05,q25,q50,q75,q95,quantiles_approximate,split,trace_family,capacity,horizon
y_value,overall,277995072,0,277995072,-16.0,-0.0,-7.756116615621157,4.654172273717624,-16.0,-11.0,-7.0,-4.0,-2.0,True,,,,
y_value,group,1002496,0,1002496,-16.0,-3.0,-15.376325691075076,1.2077333203992744,-16.0,-16.0,-16.0,-15.0,-13.0,True,test,cloudphysics,128,16
y_value,group,1002496,0,1002496,-4.0,-0.0,-3.8458427764300307,0.4335194785311719,-4.0,-4.0,-4.0,-4.0,-3.0,True,test,cloudphysics,128,4
y_value,group,1002496,0,1002496,-8.0,-1.0,-7.691969843271195,0.7046999906687118,-8.0,-8.0,-8.0,-8.0,-6.0,True,test,cloudphysics,128,8
y_value,group,1962752,0,1962752,-16.0,-1.0,-15.128451276574932,1.4701920550398757,-16.0,-16.0,-16.0,-15.0,-13.0,True,test,cloudphysics,256,16
y_value,group,1962752,0,1962752,-4.0,-0.0,-3.784336482652928,0.5119269880462527,-4.0,-4.0,-4.0,-4.0,-3.0,True,test,cloudphysics,256,4
y_value,group,1962752,0,1962752,-8.0,-0.0,-7.5703619204056345,0.8428721834812818,-8.0,-8.0,-8.0,-7.0,-6.0,True,test,cloudphysics,256,8
y_value,group,257856,0,257856,-16.0,-7.0,-15.768560747083644,0.7063060509161125,-16.0,-16.0,-16.0,-16.0,-15.0,True,test,cloudphysics,32,16
y_value,group,257856,0,257856,-4.0,-1.0,-3.942405838917846,0.26169935986214193,-4.0,-4.0,-4.0,-4.0,-3.0,True,test,cloudphysics,32,4
y_value,group,257856,0,257856,-8.0,-3.0,-7.885699770414495,0.41517275000197873,-8.0,-8.0,-8.0,-8.0,-7.0,True,test,cloudphysics,32,8
y_value,group,510144,0,510144,-16.0,-7.0,-15.609733722243131,0.9178873694722617,-16.0,-16.0,-16.0,-16.0,-14.0,True,test,cloudphysics,64,16
y_value,group,510144,0,510144,-4.0,-0.0,-3.903931046920085,0.33989652522673003,-4.0,-4.0,-4.0,-4.0,-3.0,True,test,cloudphysics,64,4
y_value,group,510144,0,510144,-8.0,-1.0,-7.806989791117802,0.5490441374448286,-8.0,-8.0,-8.0,-8.0,-7.0,True,test,cloudphysics,64,8
y_value,group,365824,0,365824,-16.0,-3.0,-11.806286629636109,1.9496170838844642,-15.0,-13.0,-12.0,-11.0,-8.0,True,test,metakv,128,16
y_value,group,365824,0,365824,-4.0,-0.0,-2.9521819235479354,0.8799198733542947,-4.0,-4.0,-3.0,-2.0,-1.0,True,test,metakv,128,4
y_value,group,365824,0,365824,-8.0,-1.0,-5.897702173722883,1.2918771480642794,-8.0,-7.0,-6.0,-5.0,-4.0,True,test,metakv,128,8
y_value,group,637184,0,637184,-16.0,-4.0,-11.033307490458014,2.2376683865233593,-14.0,-13.0,-11.0,-10.0,-7.0,True,test,metakv,256,16
y_value,group,637184,0,637184,-4.0,-0.0,-2.760973282442748,0.9522891642561593,-4.0,-3.0,-3.0,-2.0,-1.0,True,test,metakv,256,4
y_value,group,637184,0,637184,-8.0,-1.0,-5.515370756327843,1.4368275688579129,-8.0,-7.0,-6.0,-5.0,-3.0,True,test,metakv,256,8
y_value,group,96096,0,96096,-16.0,-4.0,-11.92219239094239,1.804486999662265,-15.0,-13.0,-12.0,-11.0,-9.0,True,test,metakv,32,16
y_value,group,96096,0,96096,-4.0,-0.0,-2.9849213286713288,0.8523704911502875,-4.0,-4.0,-3.0,-3.0,-2.0,True,test,metakv,32,4
y_value,group,96096,0,96096,-8.0,-1.0,-5.960810023310024,1.241103918937421,-8.0,-7.0,-6.0,-5.0,-4.0,True,test,metakv,32,8
y_value,group,189760,0,189760,-16.0,-3.0,-11.906919266441822,1.8245661127528012,-15.0,-13.0,-12.0,-11.0,-9.0,True,test,metakv,64,16
y_value,group,189760,0,189760,-4.0,-0.0,-2.9820615514333895,0.8557874392842632,-4.0,-4.0,-3.0,-2.0,-2.0,True,test,metakv,64,4
y_value,group,189760,0,189760,-8.0,-1.0,-5.954131534569983,1.2510172102214787,-8.0,-7.0,-6.0,-5.0,-4.0,True,test,metakv,64,8
y_value,group,650624,0,650624,-16.0,-0.0,-10.424423322840841,2.811382831554386,-15.0,-12.0,-11.0,-9.0,-5.0,True,test,twemcache,128,16
y_value,group,650624,0,650624,-4.0,-0.0,-2.6659606777493607,1.0867629565431611,-4.0,-4.0,-3.0,-2.0,-1.0,True,test,twemcache,128,4
y_value,group,650624,0,650624,-8.0,-0.0,-5.275590817430651,1.7276958042555917,-8.0,-7.0,-5.0,-4.0,-2.0,True,test,twemcache,128,8
y_value,group,1205760,0,1205760,-16.0,-0.0,-9.878333996815286,3.0518035390906513,-14.0,-12.0,-10.0,-8.0,-4.0,True,test,twemcache,256,16
y_value,group,1205760,0,1205760,-4.0,-0.0,-2.5419411823248406,1.134177955237466,-4.0,-3.0,-3.0,-2.0,-1.0,True,test,twemcache,256,4
y_value,group,1205760,0,1205760,-8.0,-0.0,-5.014058353237792,1.8322435487365836,-8.0,-6.0,-5.0,-4.0,-2.0,True,test,twemcache,256,8
y_value,group,196896,0,196896,-16.0,-0.0,-12.271066959206891,2.2913284263334464,-15.0,-14.0,-13.0,-11.0,-8.0,True,test,twemcache,32,16
y_value,group,196896,0,196896,-4.0,-0.0,-3.102688729075248,0.9200661387713907,-4.0,-4.0,-3.0,-3.0,-1.0,True,test,twemcache,32,4
y_value,group,196896,0,196896,-8.0,-0.0,-6.176941126279863,1.422843179061221,-8.0,-7.0,-6.0,-5.0,-3.0,True,test,twemcache,32,8
y_value,group,360512,0,360512,-16.0,-0.0,-11.34040753151074,2.5285976672248425,-15.0,-13.0,-12.0,-10.0,-7.0,True,test,twemcache,64,16
y_value,group,360512,0,360512,-4.0,-0.0,-2.8802175794425704,1.0068259009752893,-4.0,-4.0,-3.0,-2.0,-1.0,True,test,twemcache,64,4
y_value,group,360512,0,360512,-8.0,-0.0,-5.720766576424641,1.5728255126269088,-8.0,-7.0,-6.0,-5.0,-3.0,True,test,twemcache,64,8
y_value,group,524288,0,524288,-16.0,-16.0,-16.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,True,test,wiki2018,128,16
y_value,group,524288,0,524288,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,True,test,wiki2018,128,4
y_value,group,524288,0,524288,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,True,test,wiki2018,128,8
y_value,group,1048576,0,1048576,-16.0,-16.0,-16.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,True,test,wiki2018,256,16
y_value,group,1048576,0,1048576,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,True,test,wiki2018,256,4
y_value,group,1048576,0,1048576,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,True,test,wiki2018,256,8
y_value,group,131072,0,131072,-16.0,-16.0,-16.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,True,test,wiki2018,32,16
y_value,group,131072,0,131072,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,True,test,wiki2018,32,4
y_value,group,131072,0,131072,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,True,test,wiki2018,32,8
y_value,group,262144,0,262144,-16.0,-16.0,-16.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,True,test,wiki2018,64,16
y_value,group,262144,0,262144,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,True,test,wiki2018,64,4
