family,capacity,policy,seed,scored_requests,misses,miss_ratio,evictions,wallclock_seconds
alibaba-block,128,learned,-1,9458,9175,0.9700782406428421,9047,1584.534686426
alibaba-block,128,lru,-1,9458,9002,0.9517868471135547,8874,0.02603374999944208
alibaba-block,128,mru,-1,9458,9443,0.9984140410234722,9315,0.022548818999894138
alibaba-block,128,sieve,-1,9458,8893,0.9402622118841193,8765,0.08965334399999847
alibaba-block,128,lfu,-1,9458,8893,0.9402622118841193,8765,0.1936984960002519
alibaba-block,128,random,0,9458,9089,0.9609854091774159,8961,0.03261250800005655
alibaba-block,128,random,1,9458,9099,0.9620427151617679,8971,0.03458809800031304
alibaba-block,128,random,2,9458,9086,0.9606682173821104,8958,0.03393368599972746
alibaba-block,128,random,3,9458,9109,0.9631000211461197,8981,0.034754170999804046
alibaba-block,128,random,4,9458,9083,0.9603510255868049,8955,0.03498829199997999
alibaba-block,128,random,5,9458,9088,0.9608796785789807,8960,0.03497957500076154
alibaba-block,128,random,6,9458,9106,0.9627828293508142,8978,0.03540136900028301
alibaba-block,128,random,7,9458,9090,0.9610911397758511,8962,0.03229643299982854
alibaba-block,128,random,8,9458,9109,0.9631000211461197,8981,0.03363939200062305
alibaba-block,128,random,9,9458,9097,0.9618312539648974,8969,0.03365871799996967
alibaba-block,128,random,10,9458,9108,0.9629942905476845,8980,0.0338360810001177
alibaba-block,128,random,11,9458,9087,0.9607739479805456,8959,0.035049326999796904
alibaba-block,128,random,12,9458,9092,0.9613026009727215,8964,0.034795417999703204
alibaba-block,128,random,13,9458,9083,0.9603510255868049,8955,0.03394814300008875
alibaba-block,128,random,14,9458,9084,0.96045675618524,8956,0.032532637000258546
alibaba-block,128,random,15,9458,9086,0.9606682173821104,8958,0.03558151901233941
alibaba-block,128,random,16,9458,9095,0.9616197927680271,8967,0.061128080007620156
alibaba-block,128,random,17,9458,9091,0.9611968703742864,8963,0.07346388092264533
alibaba-block,128,random,18,9458,9094,0.9615140621695919,8966,0.0738294810289517
alibaba-block,128,random,19,9458,9092,0.9613026009727215,8964,0.07365848904009908
alibaba-block,32,learned,-1,9482,9372,0.988399071925754,9340,331.22856434900314
alibaba-block,32,lru,-1,9482,9265,0.9771145327989875,9233,0.02623901702463627
alibaba-block,32,mru,-1,9482,9474,0.9991562961400549,9442,0.025796810048632324
alibaba-block,32,sieve,-1,9482,9173,0.9674119384096183,9141,0.060789974057115614
alibaba-block,32,lfu,-1,9482,9241,0.9745834212191521,9209,0.08366218605078757
alibaba-block,32,random,0,9482,9300,0.9808057371862476,9268,0.04067202191799879
alibaba-block,32,random,1,9482,9304,0.9812275891162202,9272,0.035214572912082076
alibaba-block,32,random,2,9482,9297,0.9804893482387682,9265,0.0439693060470745
alibaba-block,32,random,3,9482,9299,0.9807002742037545,9267,0.04706900694873184
alibaba-block,32,random,4,9482,9297,0.9804893482387682,9265,0.04323918593581766
alibaba-block,32,random,5,9482,9299,0.9807002742037545,9267,0.037730639916844666
alibaba-block,32,random,6,9482,9303,0.9811221261337271,9271,0.03828435996547341
alibaba-block,32,random,7,9482,9309,0.9817549040286859,9277,0.03518428502138704
alibaba-block,32,random,8,9482,9301,0.9809112001687408,9269,0.02459482099948218
alibaba-block,32,random,9,9482,9294,0.9801729592912888,9262,0.028187185000206227
alibaba-block,32,random,10,9482,9290,0.9797511073613162,9258,0.027493098999912036
alibaba-block,32,random,11,9482,9303,0.9811221261337271,9271,0.028870000999631884
alibaba-block,32,random,12,9482,9281,0.9788019405188779,9249,0.026892015999692376
alibaba-block,32,random,13,9482,9298,0.9805948112212614,9266,0.030080569999881845
alibaba-block,32,random,14,9482,9291,0.9798565703438094,9259,0.028791062999516726
alibaba-block,32,random,15,9482,9308,0.9816494410461928,9276,0.028566009000314807
